آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,8,8,0,100.0,0.0,inf,2021-03-11_2021-03-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2025-08-13_2025-08-22
0.0,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2021-10-14_2021-10-23|2022-01-13_2022-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-11-14_2024-11-23
0.1,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-03-11_2021-03-20|2021-10-14_2021-10-23|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21
0.1,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2025-08-13_2025-08-22
0.1,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2022-01-13_2022-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.2,1,PPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.2,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2025-08-13_2025-08-22
0.2,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.3,1,PPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.3,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-07-14_2022-07-23|2025-08-13_2025-08-22
0.3,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.0,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2024-11-14_2024-11-23
0.0,1,Core PPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2025-08-13_2025-08-22
0.0,1,Core PPI m/m,Good,7,5,2,71.4,28.6,2.5,2021-10-14_2021-10-23|2022-07-14_2022-07-23|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.1,1,Core PPI m/m,Neutral,6,6,0,100.0,0.0,inf,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-07-14_2022-07-23|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23
0.1,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2025-08-13_2025-08-22
0.1,1,Core PPI m/m,Good,6,4,2,66.7,33.3,2.0,2021-10-14_2021-10-23|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.2,1,Core PPI m/m,Neutral,8,8,0,100.0,0.0,inf,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-07-14_2022-07-23|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21|2025-07-16_2025-07-25
0.2,1,Core PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2025-08-13_2025-08-22
0.2,1,Core PPI m/m,Good,4,2,2,50.0,50.0,1.0,2021-10-14_2021-10-23|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23
