آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,6,6,0,100.0,0.0,inf,2021-09-07_2021-09-21|2022-08-03_2022-08-17|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2025-06-03_2025-06-17|2025-10-16_2025-10-30
0.0,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-10-07_2021-10-21|2021-11-06_2021-11-20|2022-07-04_2022-07-18|2025-09-01_2025-09-15
0.0,1,CPI m/m,Neutral,3,3,0,100.0,0.0,inf,2023-04-30_2023-05-14|2024-12-05_2024-12-19|2025-07-03_2025-07-17
0.1,1,CPI m/m,Good,4,4,0,100.0,0.0,inf,2021-09-07_2021-09-21|2022-08-03_2022-08-17|2024-07-08_2024-07-22|2025-10-16_2025-10-30
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-10-07_2021-10-21|2021-11-06_2021-11-20|2022-07-04_2022-07-18|2025-09-01_2025-09-15
0.1,1,CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2023-04-30_2023-05-14|2024-06-08_2024-06-22|2024-12-05_2024-12-19|2025-06-03_2025-06-17|2025-07-03_2025-07-17
0.2,1,CPI m/m,Neutral,12,12,0,100.0,0.0,inf,2021-09-07_2021-09-21|2021-10-07_2021-10-21|2022-07-04_2022-07-18|2022-08-03_2022-08-17|2023-04-30_2023-05-14|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2024-12-05_2024-12-19|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-09-01_2025-09-15|2025-10-16_2025-10-30
0.2,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-06_2021-11-20
0.3,1,CPI m/m,Neutral,12,12,0,100.0,0.0,inf,2021-09-07_2021-09-21|2021-10-07_2021-10-21|2022-07-04_2022-07-18|2022-08-03_2022-08-17|2023-04-30_2023-05-14|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2024-12-05_2024-12-19|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-09-01_2025-09-15|2025-10-16_2025-10-30
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-06_2021-11-20
0.0,1,Core CPI m/m,Good,7,7,0,100.0,0.0,inf,2021-09-07_2021-09-21|2022-08-03_2022-08-17|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-10-16_2025-10-30
0.0,1,Core CPI m/m,Neutral,3,3,0,100.0,0.0,inf,2021-10-07_2021-10-21|2024-12-05_2024-12-19|2025-09-01_2025-09-15
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-20|2022-07-04_2022-07-18|2023-04-30_2023-05-14
0.1,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2021-09-07_2021-09-21|2022-08-03_2022-08-17|2025-06-03_2025-06-17
0.1,1,Core CPI m/m,Neutral,7,7,0,100.0,0.0,inf,2021-10-07_2021-10-21|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2024-12-05_2024-12-19|2025-07-03_2025-07-17|2025-09-01_2025-09-15|2025-10-16_2025-10-30
0.1,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-20|2022-07-04_2022-07-18|2023-04-30_2023-05-14
