آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Good,13,10,3,76.9,23.1,3.33,2020-02|2021-09|2022-08|2023-04|2023-06|2023-07|2023-11|2024-05|2024-06|2024-07|2025-06|2025-10|2026-02
0.0,1,CPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2021-01|2021-03|2021-08|2022-03|2023-02|2023-05|2023-08|2024-03|2024-08|2024-09|2024-11|2024-12|2025-01|2025-07|2025-08|2026-01
0.0,1,CPI m/m,Bad,17,12,5,70.6,29.4,2.4,2021-04|2021-05|2021-06|2021-07|2021-10|2021-11|2021-12|2022-01|2022-07|2022-10|2023-10|2023-12|2024-01|2024-02|2024-10|2025-02|2025-09
0.1,1,CPI m/m,Neutral,30,22,8,73.3,26.7,2.75,2020-02|2021-01|2021-03|2021-04|2021-08|2022-01|2022-03|2023-02|2023-04|2023-05|2023-06|2023-07|2023-08|2023-11|2023-12|2024-01|2024-02|2024-03|2024-06|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-06|2025-07|2025-08|2026-01|2026-02
0.1,1,CPI m/m,Bad,11,7,4,63.6,36.4,1.75,2021-05|2021-06|2021-07|2021-10|2021-11|2021-12|2022-07|2022-10|2023-10|2025-02|2025-09
0.1,1,CPI m/m,Good,5,5,0,100.0,0.0,inf,2021-09|2022-08|2024-05|2024-07|2025-10
0.2,1,CPI m/m,Neutral,43,32,11,74.4,25.6,2.91,2020-02|2021-01|2021-03|2021-04|2021-06|2021-08|2021-09|2021-10|2021-12|2022-01|2022-03|2022-07|2022-08|2022-10|2023-02|2023-04|2023-05|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01|2026-02
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05|2021-07|2021-11
0.3,1,CPI m/m,Neutral,43,32,11,74.4,25.6,2.91,2020-02|2021-01|2021-03|2021-04|2021-06|2021-08|2021-09|2021-10|2021-12|2022-01|2022-03|2022-07|2022-08|2022-10|2023-02|2023-04|2023-05|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01|2026-02
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05|2021-07|2021-11
0.0,1,Core CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2020-02|2021-01|2021-10|2021-12|2022-03|2023-02|2023-04|2023-06|2023-08|2023-10|2023-12|2024-01|2024-05|2024-08|2024-11|2024-12|2025-08|2025-09|2026-02
0.0,1,Core CPI m/m,Good,13,11,2,84.6,15.4,5.5,2021-03|2021-08|2021-09|2022-08|2023-07|2023-11|2024-06|2024-07|2025-01|2025-06|2025-07|2025-10|2026-01
0.0,1,Core CPI m/m,Bad,14,10,4,71.4,28.6,2.5,2021-04|2021-05|2021-06|2021-07|2021-11|2022-01|2022-07|2022-10|2023-05|2024-02|2024-03|2024-09|2024-10|2025-02
0.1,1,Core CPI m/m,Neutral,32,24,8,75.0,25.0,3.0,2020-02|2021-01|2021-03|2021-04|2021-10|2021-12|2022-01|2022-03|2023-02|2023-04|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-07|2025-08|2025-09|2025-10|2026-01|2026-02
0.1,1,Core CPI m/m,Bad,10,6,4,60.0,40.0,1.5,2021-05|2021-06|2021-07|2021-11|2022-07|2022-10|2023-05|2024-02|2024-03|2025-02
0.1,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2021-08|2021-09|2022-08|2025-06
0.2,1,Core CPI m/m,Neutral,44,32,12,72.7,27.3,2.67,2020-02|2021-01|2021-03|2021-04|2021-06|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-03|2022-07|2022-08|2022-10|2023-02|2023-04|2023-05|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01|2026-02
0.2,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05|2021-07
0.3,1,Core CPI m/m,Neutral,44,32,12,72.7,27.3,2.67,2020-02|2021-01|2021-03|2021-04|2021-06|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-03|2022-07|2022-08|2022-10|2023-02|2023-04|2023-05|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01|2026-02
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05|2021-07
0.0,1,PPI m/m,Bad,24,17,7,70.8,29.2,2.43,2020-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-12|2022-07|2022-10|2023-02|2023-08|2023-10|2024-02|2024-03|2024-05|2024-07|2024-09|2024-12|2025-02|2025-08|2026-01|2026-02
0.0,1,PPI m/m,Good,18,14,4,77.8,22.2,3.5,2021-01|2021-10|2022-01|2022-03|2022-08|2023-04|2023-05|2023-06|2023-07|2023-11|2024-01|2024-06|2024-08|2024-10|2025-01|2025-06|2025-07|2025-09
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2021-11|2023-12|2024-11|2025-11
0.1,1,PPI m/m,Bad,19,12,7,63.2,36.8,1.71,2020-02|2021-04|2021-05|2021-06|2021-07|2021-08|2021-12|2022-07|2022-10|2023-02|2023-10|2024-02|2024-03|2024-05|2024-12|2025-02|2025-08|2026-01|2026-02
0.1,1,PPI m/m,Good,12,8,4,66.7,33.3,2.0,2021-01|2022-01|2022-03|2022-08|2023-04|2023-06|2023-11|2024-01|2024-06|2025-01|2025-07|2025-09
0.1,1,PPI m/m,Neutral,15,14,1,93.3,6.7,14.0,2021-03|2021-09|2021-10|2021-11|2023-05|2023-07|2023-08|2023-12|2024-07|2024-08|2024-09|2024-10|2024-11|2025-06|2025-11
0.2,1,PPI m/m,Bad,11,8,3,72.7,27.3,2.67,2020-02|2021-04|2021-05|2021-06|2021-07|2021-08|2021-12|2022-07|2023-02|2024-03|2025-08
0.2,1,PPI m/m,Neutral,30,22,8,73.3,26.7,2.75,2021-01|2021-03|2021-09|2021-10|2021-11|2022-01|2022-03|2022-10|2023-05|2023-06|2023-07|2023-08|2023-10|2023-12|2024-01|2024-02|2024-05|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-11|2026-01|2026-02
0.2,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2022-08|2023-04|2023-11|2024-06|2025-09
0.3,1,PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2020-02|2021-04|2021-06|2021-07|2021-08|2021-12|2022-07|2025-08
0.3,1,PPI m/m,Neutral,33,24,9,72.7,27.3,2.67,2021-01|2021-03|2021-05|2021-09|2021-10|2021-11|2022-01|2022-03|2022-10|2023-02|2023-05|2023-06|2023-07|2023-08|2023-10|2023-12|2024-01|2024-02|2024-03|2024-05|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-11|2026-01|2026-02
0.3,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2022-08|2023-04|2023-11|2024-06|2025-09
0.0,1,Core PPI m/m,Bad,19,13,6,68.4,31.6,2.17,2020-02|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-12|2023-02|2023-08|2023-10|2024-02|2024-03|2024-05|2024-07|2024-09|2025-08|2026-01|2026-02
0.0,1,Core PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2021-01|2021-03|2022-01|2022-10|2023-05|2023-06|2024-10|2024-11|2024-12|2025-02
0.0,1,Core PPI m/m,Good,17,14,3,82.4,17.6,4.67,2021-10|2021-11|2022-03|2022-07|2022-08|2023-04|2023-07|2023-11|2023-12|2024-01|2024-06|2024-08|2025-01|2025-06|2025-07|2025-09|2025-11
0.1,1,Core PPI m/m,Bad,14,10,4,71.4,28.6,2.5,2020-02|2021-04|2021-05|2021-06|2021-07|2021-08|2021-12|2023-02|2024-02|2024-05|2024-07|2025-08|2026-01|2026-02
0.1,1,Core PPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2021-01|2021-03|2021-09|2021-11|2022-01|2022-07|2022-10|2023-05|2023-06|2023-07|2023-08|2023-10|2024-03|2024-09|2024-10|2024-11|2024-12|2025-02|2025-11
0.1,1,Core PPI m/m,Good,13,11,2,84.6,15.4,5.5,2021-10|2022-03|2022-08|2023-04|2023-11|2023-12|2024-01|2024-06|2024-08|2025-01|2025-06|2025-07|2025-09
0.2,1,Core PPI m/m,Bad,10,7,3,70.0,30.0,2.33,2020-02|2021-04|2021-05|2021-07|2021-08|2021-12|2024-02|2024-05|2025-08|2026-02
0.2,1,Core PPI m/m,Neutral,30,23,7,76.7,23.3,3.29,2021-01|2021-03|2021-06|2021-09|2021-11|2022-01|2022-07|2022-08|2022-10|2023-02|2023-05|2023-06|2023-07|2023-08|2023-10|2023-12|2024-01|2024-03|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-11|2026-01
0.2,1,Core PPI m/m,Good,6,4,2,66.7,33.3,2.0,2021-10|2022-03|2023-04|2023-11|2024-06|2025-09
0.3,1,Core PPI m/m,Neutral,37,27,10,73.0,27.0,2.7,2020-02|2021-01|2021-03|2021-05|2021-06|2021-09|2021-10|2021-11|2021-12|2022-01|2022-07|2022-08|2022-10|2023-02|2023-05|2023-06|2023-07|2023-08|2023-10|2023-11|2023-12|2024-01|2024-03|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-06|2025-07|2025-11|2026-01
0.3,1,Core PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-04|2021-07|2021-08|2024-02|2025-08|2026-02
0.3,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2022-03|2023-04|2025-09
0.0,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2023-05|2023-06|2023-07|2023-11|2023-12|2024-06|2024-07|2024-11|2024-12|2025-01
0.0,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09
0.1,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2023-05|2023-06|2023-07|2023-11|2023-12|2024-06|2024-07|2024-11|2024-12|2025-01
0.1,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09
0.2,1,FOMC,Neutral,10,8,2,80.0,20.0,4.0,2023-05|2023-06|2023-07|2023-11|2023-12|2024-06|2024-07|2024-11|2024-12|2025-01
0.2,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09
0.3,1,FOMC,Neutral,11,9,2,81.8,18.2,4.5,2023-05|2023-06|2023-07|2023-11|2023-12|2024-06|2024-07|2024-09|2024-11|2024-12|2025-01
0.0,1,CPI y/y,Bad,18,12,6,66.7,33.3,2.0,2020-02|2021-04|2021-05|2021-06|2021-07|2021-08|2021-10|2021-11|2022-07|2022-10|2023-02|2023-10|2024-01|2024-02|2024-03|2024-10|2025-02|2025-07
