آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,5,3,2,60.0,40.0,1.5,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2025-09-06_2025-09-15
0.0,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-08-03_2022-08-12|2024-06-03_2024-06-12
0.0,1,CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-04_2026-01-13
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2025-09-06_2025-09-15
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-08-03_2022-08-12
0.1,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2026-01-04_2026-01-13
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13
0.2,1,CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.3,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13
0.3,1,CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.0,1,Core CPI m/m,Bad,4,2,2,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2024-02-04_2024-02-13
0.0,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2022-08-03_2022-08-12|2024-06-03_2024-06-12|2026-01-04_2026-01-13
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2025-08-07_2025-08-16|2025-09-06_2025-09-15
0.1,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-11-06_2021-11-15|2022-10-12_2022-10-21|2024-02-04_2024-02-13
0.1,1,Core CPI m/m,Neutral,5,3,2,60.0,40.0,1.5,2022-06-04_2022-06-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.1,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-08-03_2022-08-12
0.2,1,Core CPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.3,1,Core CPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-15
0.0,1,PPI m/m,Good,3,3,0,100.0,0.0,inf,2022-08-03_2022-08-12|2024-10-11_2024-10-20|2025-09-06_2025-09-15
0.0,1,PPI m/m,Bad,4,4,0,100.0,0.0,inf,2022-10-12_2022-10-21|2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.1,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-15|2024-10-11_2024-10-20
0.1,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2022-08-03_2022-08-12|2025-09-06_2025-09-15
0.1,1,PPI m/m,Bad,4,4,0,100.0,0.0,inf,2022-10-12_2022-10-21|2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.2,1,PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-10-12_2022-10-21|2024-10-11_2024-10-20|2026-02-23_2026-03-04
0.2,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2022-08-03_2022-08-12|2025-09-06_2025-09-15
0.2,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-24_2026-02-02
0.3,1,PPI m/m,Neutral,5,5,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-10-12_2022-10-21|2024-10-11_2024-10-20|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.3,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2022-08-03_2022-08-12|2025-09-06_2025-09-15
0.3,1,PPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-08-07_2025-08-16
0.0,1,Core PPI m/m,Good,3,3,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-08-03_2022-08-12|2025-09-06_2025-09-15
0.0,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2022-10-12_2022-10-21|2024-10-11_2024-10-20
0.0,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.1,1,Core PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-10-12_2022-10-21|2024-10-11_2024-10-20
0.1,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2022-08-03_2022-08-12|2025-09-06_2025-09-15
0.1,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.2,1,Core PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-10-11_2024-10-20
0.2,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.2,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-09-06_2025-09-15
0.3,1,Core PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-10-11_2024-10-20
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2025-08-07_2025-08-16|2026-01-24_2026-02-02|2026-02-23_2026-03-04
0.3,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-09-06_2025-09-15
0.0,1,FOMC,Neutral,3,0,3,0.0,100.0,0.0,2023-07-19_2023-07-28|2024-06-03_2024-06-12|2024-07-23_2024-08-01
0.1,1,FOMC,Neutral,3,0,3,0.0,100.0,0.0,2023-07-19_2023-07-28|2024-06-03_2024-06-12|2024-07-23_2024-08-01
0.2,1,FOMC,Neutral,3,0,3,0.0,100.0,0.0,2023-07-19_2023-07-28|2024-06-03_2024-06-12|2024-07-23_2024-08-01
0.3,1,FOMC,Neutral,3,0,3,0.0,100.0,0.0,2023-07-19_2023-07-28|2024-06-03_2024-06-12|2024-07-23_2024-08-01
0.0,1,CPI y/y,Bad,4,2,2,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2024-02-04_2024-02-13
0.0,1,CPI y/y,Good,3,2,1,66.7,33.3,2.0,2022-08-03_2022-08-12|2024-06-03_2024-06-12|2025-08-07_2025-08-16
0.0,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.1,1,CPI y/y,Bad,3,1,2,33.3,66.7,0.5,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2024-02-04_2024-02-13
0.1,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2022-08-03_2022-08-12|2024-06-03_2024-06-12
0.1,1,CPI y/y,Neutral,4,4,0,100.0,0.0,inf,2022-10-12_2022-10-21|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.2,1,CPI y/y,Bad,3,1,2,33.3,66.7,0.5,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2024-02-04_2024-02-13
0.2,1,CPI y/y,Neutral,6,5,1,83.3,16.7,5.0,2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.3,1,CPI y/y,Neutral,9,6,3,66.7,33.3,2.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2025-08-07_2025-08-16|2025-09-06_2025-09-15|2026-01-04_2026-01-13
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,4,2,2,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2024-02-04_2024-02-13
0.0,2,CPI m/m|Core CPI m/m,Good|Good,2,1,1,50.0,50.0,1.0,2022-08-03_2022-08-12|2024-06-03_2024-06-12
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2025-08-07_2025-08-16
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-06_2025-09-15
0.0,2,CPI m/m|Core CPI m/m,Neutral|Good,1,1,0,100.0,0.0,inf,2026-01-04_2026-01-13
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-15|2022-10-12_2022-10-21
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,1,1,50.0,50.0,1.0,2022-06-04_2022-06-13|2025-09-06_2025-09-15
0.1,2,CPI m/m|Core CPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2022-08-03_2022-08-12
0.1,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,0,1,0.0,100.0,0.0,2024-02-04_2024-02-13
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,3,2,1,66.7,33.3,2.0,2024-06-03_2024-06-12|2025-08-07_2025-08-16|2026-01-04_2026-01-13
0.2,2,CPI m/m|Core CPI m/m,Bad|Neutral,2,1,1,50.0,50.0,1.0,2021-11-06_2021-11-15|2022-06-04_2022-06-13
