آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-14_2023-09-23|2025-08-13_2025-08-22
0.0,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.1,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-14_2023-09-23|2025-08-13_2025-08-22
0.1,1,PPI m/m,Good,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.1,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-10-11_2024-10-20
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-14_2023-09-23|2025-08-13_2025-08-22
0.2,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.3,1,PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.3,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.3,1,PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.0,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-09-14_2023-09-23|2024-10-11_2024-10-20
0.0,1,Core PPI m/m,Good,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.0,1,Core PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.1,1,Core PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2023-09-14_2023-09-23|2024-10-11_2024-10-20
0.1,1,Core PPI m/m,Good,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.1,1,Core PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.2,1,Core PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.2,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.2,1,Core PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.3,1,Core PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.3,1,Core PPI m/m,Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.3,1,Core PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.0,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.3,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.0,2,PPI m/m|Core PPI m/m,Good|Good,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2024-10-11_2024-10-20
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,2,PPI m/m|Core PPI m/m,Good|Good,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-10-11_2024-10-20
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.2,2,PPI m/m|Core PPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.2,2,PPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,4,2,2,50.0,50.0,1.0,2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.3,2,PPI m/m|Core PPI m/m,Good|Good,1,1,0,100.0,0.0,inf,2025-05-14_2025-05-23
0.3,2,PPI m/m|Core PPI m/m,Bad|Bad,1,0,1,0.0,100.0,0.0,2025-08-13_2025-08-22
0.0,2,PPI m/m|FOMC,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,2,PPI m/m|FOMC,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,2,PPI m/m|FOMC,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.3,2,PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.0,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.3,2,Core PPI m/m|FOMC,Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.0,3,PPI m/m|Core PPI m/m|FOMC,Bad|Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,3,PPI m/m|Core PPI m/m|FOMC,Bad|Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,3,PPI m/m|Core PPI m/m|FOMC,Bad|Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.3,3,PPI m/m|Core PPI m/m|FOMC,Neutral|Neutral|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
