آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,19,11,8,57.9,42.1,1.38,2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-01-13_2023-01-22|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.0,1,PPI m/m,Bad,16,10,6,62.5,37.5,1.67,2019-04-11_2019-04-20|2019-11-14_2019-11-23|2020-06-11_2020-06-20|2020-11-13_2020-11-22|2021-07-14_2021-07-23|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-08-13_2025-08-22
0.0,1,PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2020-12-11_2020-12-20|2023-12-13_2023-12-22|2026-01-14_2026-01-23
0.1,1,PPI m/m,Neutral,10,6,4,60.0,40.0,1.5,2019-01-12_2019-01-21|2019-03-13_2019-03-22|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2026-01-14_2026-01-23
0.1,1,PPI m/m,Good,16,10,6,62.5,37.5,1.67,2019-02-14_2019-02-23|2019-12-12_2019-12-21|2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-01-13_2023-01-22|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-06-14_2023-06-23|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2025-04-11_2025-04-20|2025-05-14_2025-05-23|2025-07-16_2025-07-25
0.1,1,PPI m/m,Bad,12,7,5,58.3,41.7,1.4,2019-04-11_2019-04-20|2019-11-14_2019-11-23|2020-06-11_2020-06-20|2021-07-14_2021-07-23|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-08-13_2025-08-22
0.2,1,PPI m/m,Neutral,21,11,10,52.4,47.6,1.1,2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-11-14_2019-11-23|2019-12-12_2019-12-21|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2022-03-11_2022-03-20|2022-11-11_2022-11-20|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-07-16_2025-07-25|2026-01-14_2026-01-23
0.2,1,PPI m/m,Bad,8,5,3,62.5,37.5,1.67,2019-04-11_2019-04-20|2020-06-11_2020-06-20|2021-07-14_2021-07-23|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2025-08-13_2025-08-22
0.2,1,PPI m/m,Good,9,7,2,77.8,22.2,3.5,2020-03-12_2020-03-21|2020-05-13_2020-05-22|2022-08-11_2022-08-20|2023-01-13_2023-01-22|2023-03-15_2023-03-24|2023-04-13_2023-04-22|2023-11-15_2023-11-24|2025-04-11_2025-04-20|2025-05-14_2025-05-23
0.3,1,PPI m/m,Neutral,25,14,11,56.0,44.0,1.27,2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-04-11_2019-04-20|2019-11-14_2019-11-23|2019-12-12_2019-12-21|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2022-03-11_2022-03-20|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-06-14_2023-06-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-07-16_2025-07-25|2026-01-14_2026-01-23
