آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,6,4,2,66.7,33.3,2.0,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2020-06-09_2020-06-13|2022-08-08_2022-08-12|2025-06-08_2025-06-12
0.0,1,CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2019-01-11_2019-01-15|2022-03-06_2022-03-10|2023-08-08_2023-08-12|2023-09-12_2023-09-16
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-12-06_2020-12-10
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2022-08-08_2022-08-12
0.1,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-06-08_2025-06-12
0.2,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-06-08_2025-06-12
0.3,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-06-08_2025-06-12
0.0,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2020-06-09_2020-06-13|2022-08-08_2022-08-12|2025-06-08_2025-06-12
0.0,1,Core CPI m/m,Neutral,3,3,0,100.0,0.0,inf,2019-01-11_2019-01-15|2022-03-06_2022-03-10|2023-08-08_2023-08-12
0.0,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-12-06_2020-12-10|2023-09-12_2023-09-16
0.1,1,Core CPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2024-07-08_2024-07-12|2025-10-21_2025-10-25|2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2023-08-08_2023-08-12|2023-09-12_2023-09-16
0.1,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2025-04-09_2025-04-13|2022-08-08_2022-08-12|2025-06-08_2025-06-12
0.2,1,Core CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-06-08_2025-06-12
0.3,1,Core CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2024-07-08_2024-07-12|2025-04-09_2025-04-13|2025-10-21_2025-10-25|2019-01-11_2019-01-15|2020-06-09_2020-06-13|2020-12-06_2020-12-10|2022-03-06_2022-03-10|2022-08-08_2022-08-12|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2025-06-08_2025-06-12
0.0,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2023-10-07_2023-10-11|2024-07-08_2024-07-12|2020-06-09_2020-06-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2025-04-09_2025-04-13|2019-01-11_2019-01-15|2022-08-08_2022-08-12|2025-06-08_2025-06-12
0.1,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2023-10-07_2023-10-11|2020-06-09_2020-06-13|2023-09-12_2023-09-16
