آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2018-05-06_2018-05-15|2019-10-08_2019-10-17|2022-08-03_2022-08-12
0.0,1,CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2019-01-11_2019-01-20|2023-08-08_2023-08-17|2023-09-07_2023-09-16|2024-08-12_2024-08-21
0.0,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2019-07-10_2019-07-19|2020-08-03_2020-08-12|2022-07-04_2022-07-13|2024-01-05_2024-01-14
0.1,1,CPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2018-05-06_2018-05-15|2019-01-11_2019-01-20|2019-07-10_2019-07-19|2019-10-08_2019-10-17|2023-08-08_2023-08-17|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2024-08-12_2024-08-21
0.1,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08-03_2020-08-12|2022-07-04_2022-07-13
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-08-03_2022-08-12
0.2,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-05-06_2018-05-15|2019-01-11_2019-01-20|2019-07-10_2019-07-19|2019-10-08_2019-10-17|2022-07-04_2022-07-13|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2024-08-12_2024-08-21
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-03_2020-08-12
0.3,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-05-06_2018-05-15|2019-01-11_2019-01-20|2019-07-10_2019-07-19|2019-10-08_2019-10-17|2020-08-03_2020-08-12|2022-07-04_2022-07-13|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2024-08-12_2024-08-21
0.0,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2018-05-06_2018-05-15|2019-10-08_2019-10-17|2022-08-03_2022-08-12
