آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2018-09-13_2018-09-17|2019-05-06_2019-05-10|2021-09-12_2021-09-16|2023-07-09_2023-07-13|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2025-06-08_2025-06-12
0.0,1,CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2019-03-12_2019-03-16|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2026-01-09_2026-01-13
0.0,1,CPI m/m,Bad,7,4,3,57.1,42.9,1.33,2019-12-07_2019-12-11|2020-07-14_2020-07-18|2021-10-12_2021-10-16|2022-06-09_2022-06-13|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-10-06_2024-10-10
0.1,1,CPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2023-01-10_2023-01-14|2023-07-09_2023-07-13|2024-01-10_2024-01-14|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-05-06_2019-05-10|2021-09-12_2021-09-16|2024-05-14_2024-05-18
0.1,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-10-12_2021-10-16|2022-06-09_2022-06-13|2023-10-12_2023-10-16
0.2,1,CPI m/m,Neutral,19,14,5,73.7,26.3,2.8,2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2023-01-10_2023-01-14|2023-07-09_2023-07-13|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-09_2022-06-13
0.3,1,CPI m/m,Neutral,19,14,5,73.7,26.3,2.8,2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2023-01-10_2023-01-14|2023-07-09_2023-07-13|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-09_2022-06-13
0.0,1,Core CPI m/m,Good,10,9,1,90.0,10.0,9.0,2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2023-07-09_2023-07-13|2024-06-08_2024-06-12|2025-01-14_2025-01-18|2025-06-08_2025-06-12|2026-01-09_2026-01-13
0.0,1,Core CPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2019-12-07_2019-12-11|2021-10-12_2021-10-16|2023-01-10_2023-01-14|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-08-12_2024-08-16
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-07-14_2020-07-18|2022-06-09_2022-06-13|2024-10-06_2024-10-10
0.1,1,Core CPI m/m,Neutral,18,13,5,72.2,27.8,2.6,2018-09-13_2018-09-17|2019-03-12_2019-03-16|2019-05-06_2019-05-10|2019-12-07_2019-12-11|2020-07-14_2020-07-18|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2022-06-09_2022-06-13|2023-01-10_2023-01-14|2023-07-09_2023-07-13|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-05-14_2024-05-18|2024-06-08_2024-06-12|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2026-01-09_2026-01-13
0.1,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2021-09-12_2021-09-16|2025-06-08_2025-06-12
