آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,14,4,10,28.6,71.4,0.4,2018-09-13_2018-09-22|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2020-02-05_2020-02-14|2020-06-04_2020-06-13|2022-08-03_2022-08-12|2022-11-01_2022-11-10|2023-04-10_2023-04-19|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2023-11-06_2023-11-15|2024-05-14_2024-05-23|2024-06-03_2024-06-12|2025-04-09_2025-04-18
0.0,1,CPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-12-12_2018-12-21|2019-03-12_2019-03-21|2019-06-10_2019-06-19|2020-01-06_2020-01-15|2020-10-12_2020-10-21|2023-01-10_2023-01-19|2023-02-09_2023-02-18|2023-05-10_2023-05-19|2023-08-08_2023-08-17|2024-08-12_2024-08-21|2024-12-10_2024-12-19
0.0,1,CPI m/m,Bad,10,9,1,90.0,10.0,9.0,2019-12-07_2019-12-16|2020-07-14_2020-07-23|2021-07-09_2021-07-18|2022-02-04_2022-02-13|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2023-10-07_2023-10-16|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-10-01_2024-10-10
0.1,1,CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2018-09-13_2018-09-22|2018-10-03_2018-10-12|2018-12-12_2018-12-21|2019-02-10_2019-02-19|2019-03-12_2019-03-21|2019-06-10_2019-06-19|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-06-04_2020-06-13|2020-07-14_2020-07-23|2020-10-12_2020-10-21|2023-01-10_2023-01-19|2023-02-09_2023-02-18|2023-04-10_2023-04-19|2023-05-10_2023-05-19|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-10-01_2024-10-10|2024-12-10_2024-12-19
0.1,1,CPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-07-09_2021-07-18|2022-02-04_2022-02-13|2022-06-04_2022-06-13|2022-10-12_2022-10-21|2023-10-07_2023-10-16
0.1,1,CPI m/m,Good,4,0,4,0.0,100.0,0.0,2022-08-03_2022-08-12|2022-11-01_2022-11-10|2024-05-14_2024-05-23|2025-04-09_2025-04-18
0.2,1,CPI m/m,Neutral,33,20,13,60.6,39.4,1.54,2018-09-13_2018-09-22|2018-10-03_2018-10-12|2018-12-12_2018-12-21|2019-02-10_2019-02-19|2019-03-12_2019-03-21|2019-06-10_2019-06-19|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-06-04_2020-06-13|2020-07-14_2020-07-23|2020-10-12_2020-10-21|2022-02-04_2022-02-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2022-11-01_2022-11-10|2023-01-10_2023-01-19|2023-02-09_2023-02-18|2023-04-10_2023-04-19|2023-05-10_2023-05-19|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2023-10-07_2023-10-16|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-05-14_2024-05-23|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-10-01_2024-10-10|2024-12-10_2024-12-19|2025-04-09_2025-04-18
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-07-09_2021-07-18|2022-06-04_2022-06-13
0.3,1,CPI m/m,Neutral,33,20,13,60.6,39.4,1.54,2018-09-13_2018-09-22|2018-10-03_2018-10-12|2018-12-12_2018-12-21|2019-02-10_2019-02-19|2019-03-12_2019-03-21|2019-06-10_2019-06-19|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-06-04_2020-06-13|2020-07-14_2020-07-23|2020-10-12_2020-10-21|2022-02-04_2022-02-13|2022-08-03_2022-08-12|2022-10-12_2022-10-21|2022-11-01_2022-11-10|2023-01-10_2023-01-19|2023-02-09_2023-02-18|2023-04-10_2023-04-19|2023-05-10_2023-05-19|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2023-08-08_2023-08-17|2023-10-07_2023-10-16|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-05-14_2024-05-23|2024-06-03_2024-06-12|2024-08-12_2024-08-21|2024-10-01_2024-10-10|2024-12-10_2024-12-19|2025-04-09_2025-04-18
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-07-09_2021-07-18|2022-06-04_2022-06-13
