آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,9,7,2,77.8,22.2,3.5,2021-05-10_2021-05-14|2021-11-06_2021-11-10|2022-02-09_2022-02-13|2022-06-09_2022-06-13|2022-07-09_2022-07-13|2022-10-12_2022-10-16|2024-02-09_2024-02-13|2024-10-06_2024-10-10|2025-09-11_2025-09-15
0.0,1,CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2022-04-10_2022-04-14|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.0,1,CPI m/m,Good,6,2,4,33.3,66.7,0.5,2022-08-08_2022-08-12|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2026-02-13_2026-02-17
0.1,1,CPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-05-10_2021-05-14|2021-11-06_2021-11-10|2022-02-09_2022-02-13|2022-06-09_2022-06-13|2022-07-09_2022-07-13|2022-10-12_2022-10-16|2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,10,6,4,60.0,40.0,1.5,2022-04-10_2022-04-14|2023-07-09_2023-07-13|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2026-02-13_2026-02-17
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-08-08_2022-08-12|2022-12-11_2022-12-15
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-10_2021-05-14|2021-11-06_2021-11-10|2022-06-09_2022-06-13
0.2,1,CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-07-09_2022-07-13|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2026-02-13_2026-02-17
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-05-10_2021-05-14|2021-11-06_2021-11-10|2022-06-09_2022-06-13
0.3,1,CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2022-02-09_2022-02-13|2022-04-10_2022-04-14|2022-07-09_2022-07-13|2022-08-08_2022-08-12|2022-10-12_2022-10-16|2022-12-11_2022-12-15|2023-07-09_2023-07-13|2024-02-09_2024-02-13|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2024-10-06_2024-10-10|2025-01-14_2025-01-18|2025-03-10_2025-03-14|2025-06-08_2025-06-12|2025-09-11_2025-09-15|2026-02-13_2026-02-17
