آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,9,6,3,66.7,33.3,2.0,2020-09-02_2020-09-11|2021-10-07_2021-10-16|2022-02-04_2022-02-13|2022-06-04_2022-06-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2025-02-08_2025-02-17|2025-09-06_2025-09-15
0.0,1,CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2021-02-09_2021-02-18|2024-09-11_2024-09-20
0.0,1,CPI m/m,Good,5,2,3,40.0,60.0,0.67,2023-06-09_2023-06-18|2023-07-09_2023-07-18|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2025-06-08_2025-06-17
0.1,1,CPI m/m,Bad,8,5,3,62.5,37.5,1.67,2020-09-02_2020-09-11|2021-10-07_2021-10-16|2022-02-04_2022-02-13|2022-06-04_2022-06-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2025-02-08_2025-02-17|2025-09-06_2025-09-15
0.1,1,CPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2021-02-09_2021-02-18|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2024-09-11_2024-09-20|2025-06-08_2025-06-17
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2024-07-03_2024-07-12
0.2,1,CPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2020-09-02_2020-09-11|2021-02-09_2021-02-18|2021-10-07_2021-10-16|2022-02-04_2022-02-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-09-11_2024-09-20|2025-02-08_2025-02-17|2025-06-08_2025-06-17|2025-09-06_2025-09-15
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-06-13
0.3,1,CPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2020-09-02_2020-09-11|2021-02-09_2021-02-18|2021-10-07_2021-10-16|2022-02-04_2022-02-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2023-06-09_2023-06-18|2023-07-09_2023-07-18|2024-02-04_2024-02-13|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-09-11_2024-09-20|2025-02-08_2025-02-17|2025-06-08_2025-06-17|2025-09-06_2025-09-15
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-06-13
0.0,1,Core CPI m/m,Bad,8,5,3,62.5,37.5,1.67,2020-09-02_2020-09-11|2022-02-04_2022-02-13|2022-06-04_2022-06-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2024-09-11_2024-09-20|2025-02-08_2025-02-17
0.0,1,Core CPI m/m,Good,5,2,3,40.0,60.0,0.67,2021-02-09_2021-02-18|2023-07-09_2023-07-18|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2025-06-08_2025-06-17
0.0,1,Core CPI m/m,Neutral,3,3,0,100.0,0.0,inf,2021-10-07_2021-10-16|2023-06-09_2023-06-18|2025-09-06_2025-09-15
0.1,1,Core CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-09-02_2020-09-11|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2024-02-04_2024-02-13|2025-02-08_2025-02-17
