آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.0,1,PPI m/m,Bad,3,1,2,33.3,66.7,0.5,2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-02-14_2024-02-18
0.0,1,PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-11-14_2024-11-18
0.1,1,PPI m/m,Good,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.1,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2023-08-11_2023-08-15|2024-11-14_2024-11-18
0.1,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-09-14_2023-09-18|2024-02-14_2024-02-18
0.2,1,PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2024-02-14_2024-02-18|2024-11-14_2024-11-18
0.2,1,PPI m/m,Bad,1,0,1,0.0,100.0,0.0,2023-09-14_2023-09-18
0.3,1,PPI m/m,Neutral,5,2,3,40.0,60.0,0.67,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-02-14_2024-02-18|2024-11-14_2024-11-18
0.0,1,Core PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2023-06-14_2023-06-18|2023-09-14_2023-09-18|2024-11-14_2024-11-18
0.0,1,Core PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2023-08-11_2023-08-15|2024-02-14_2024-02-18
0.1,1,Core PPI m/m,Neutral,4,1,3,25.0,75.0,0.33,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-11-14_2024-11-18
0.1,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-14_2024-02-18
0.2,1,Core PPI m/m,Neutral,4,1,3,25.0,75.0,0.33,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-11-14_2024-11-18
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-14_2024-02-18
0.3,1,Core PPI m/m,Neutral,4,1,3,25.0,75.0,0.33,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-11-14_2024-11-18
0.3,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2024-02-14_2024-02-18
0.0,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.1,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.2,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.3,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,2,1,1,50.0,50.0,1.0,2023-08-11_2023-08-15|2024-02-14_2024-02-18
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,0,1,0.0,100.0,0.0,2023-09-14_2023-09-18
0.0,2,PPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-11-14_2024-11-18
0.1,2,PPI m/m|Core PPI m/m,Good|Neutral,1,0,1,0.0,100.0,0.0,2023-06-14_2023-06-18
0.1,2,PPI m/m|Core PPI m/m,Neutral|Neutral,2,1,1,50.0,50.0,1.0,2023-08-11_2023-08-15|2024-11-14_2024-11-18
0.1,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,0,1,0.0,100.0,0.0,2023-09-14_2023-09-18
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2024-02-14_2024-02-18
0.2,2,PPI m/m|Core PPI m/m,Neutral|Neutral,3,1,2,33.3,66.7,0.5,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2024-11-14_2024-11-18
0.2,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,0,1,0.0,100.0,0.0,2023-09-14_2023-09-18
0.2,2,PPI m/m|Core PPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2024-02-14_2024-02-18
0.3,2,PPI m/m|Core PPI m/m,Neutral|Neutral,4,1,3,25.0,75.0,0.33,2023-06-14_2023-06-18|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-11-14_2024-11-18
