آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,15,9,6,60.0,40.0,1.5,2018-03-14_2018-03-23|2018-07-13_2018-07-22|2019-01-12_2019-01-21|2020-01-15_2020-01-24|2020-07-15_2020-07-24|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2023-12-13_2023-12-22|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-01-16_2025-01-25
0.0,1,CPI y/y,Good,18,13,5,72.2,27.8,2.6,2018-09-14_2018-09-23|2018-10-12_2018-10-21|2019-03-13_2019-03-22|2019-06-13_2019-06-22|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-11-13_2020-11-22|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.0,1,CPI y/y,Bad,11,7,4,63.6,36.4,1.75,2019-02-14_2019-02-23|2019-04-11_2019-04-20|2019-11-14_2019-11-23|2020-03-12_2020-03-21|2020-09-12_2020-09-21|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-06-11_2022-06-20|2022-07-14_2022-07-23|2023-09-14_2023-09-23|2024-04-11_2024-04-20
0.1,1,CPI y/y,Neutral,24,15,9,62.5,37.5,1.67,2018-03-14_2018-03-23|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2019-01-12_2019-01-21|2019-04-11_2019-04-20|2019-06-13_2019-06-22|2020-01-15_2020-01-24|2020-03-12_2020-03-21|2020-07-15_2020-07-24|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-01-16_2025-01-25|2025-08-13_2025-08-22
0.1,1,CPI y/y,Good,11,8,3,72.7,27.3,2.67,2018-10-12_2018-10-21|2019-03-13_2019-03-22|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-11-13_2020-11-22|2022-08-11_2022-08-20|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-10-25_2025-11-03|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.1,1,CPI y/y,Bad,9,6,3,66.7,33.3,2.0,2019-02-14_2019-02-23|2019-11-14_2019-11-23|2020-09-12_2020-09-21|2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-06-11_2022-06-20|2022-07-14_2022-07-23|2023-09-14_2023-09-23|2024-04-11_2024-04-20
0.2,1,CPI y/y,Neutral,39,25,14,64.1,35.9,1.79,2018-03-14_2018-03-23|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-04-11_2019-04-20|2019-06-13_2019-06-22|2019-11-14_2019-11-23|2020-01-15_2020-01-24|2020-03-12_2020-03-21|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-07-15_2020-07-24|2020-09-12_2020-09-21|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-01-16_2025-01-25|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.2,1,CPI y/y,Bad,4,3,1,75.0,25.0,3.0,2021-05-13_2021-05-22|2021-07-14_2021-07-23|2022-06-11_2022-06-20|2022-07-14_2022-07-23
0.2,1,CPI y/y,Good,1,1,0,100.0,0.0,inf,2025-12-19_2025-12-28
0.3,1,CPI y/y,Neutral,40,26,14,65.0,35.0,1.86,2018-03-14_2018-03-23|2018-07-13_2018-07-22|2018-09-14_2018-09-23|2018-10-12_2018-10-21|2019-01-12_2019-01-21|2019-02-14_2019-02-23|2019-03-13_2019-03-22|2019-04-11_2019-04-20|2019-06-13_2019-06-22|2019-11-14_2019-11-23|2020-01-15_2020-01-24|2020-03-12_2020-03-21|2020-04-11_2020-04-20|2020-05-13_2020-05-22|2020-07-15_2020-07-24|2020-09-12_2020-09-21|2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-01-14_2021-01-23|2021-09-15_2021-09-24|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-06-11_2022-06-20|2022-08-11_2022-08-20|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-06-14_2023-06-23|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-04-11_2024-04-20|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-01-16_2025-01-25|2025-04-11_2025-04-20|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2026-02-14_2026-02-23
