آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,5,4,1,80.0,20.0,4.0,2019-05-06_2019-05-10|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12
0.0,1,CPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2019-06-10_2019-06-14|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2025-07-13_2025-07-17
0.0,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2019-12-07_2019-12-11|2020-03-11_2020-03-15
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-05-06_2019-05-10|2022-11-06_2022-11-10|2024-07-08_2024-07-12
0.1,1,CPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-07-13_2025-07-17
0.2,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.3,1,CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.0,1,Core CPI m/m,Good,7,4,3,57.1,42.9,1.33,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2021-08-08_2021-08-12|2022-11-06_2022-11-10|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.0,1,Core CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2023-04-10_2023-04-14
0.1,1,Core CPI m/m,Neutral,9,8,1,88.9,11.1,8.0,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.1,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2021-08-08_2021-08-12|2022-11-06_2022-11-10
0.2,1,Core CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.3,1,Core CPI m/m,Neutral,11,8,3,72.7,27.3,2.67,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2019-12-07_2019-12-11|2020-03-11_2020-03-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-11-06_2022-11-10|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2024-07-08_2024-07-12|2025-07-13_2025-07-17
0.0,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2018-11-07_2018-11-11|2021-03-11_2021-03-15|2021-08-08_2021-08-12|2024-07-08_2024-07-12
0.0,1,PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2026-01-14_2026-01-18
0.0,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-03-11_2020-03-15|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-07-13_2025-07-17
0.1,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2018-11-07_2018-11-11|2021-08-08_2021-08-12
0.1,1,PPI m/m,Neutral,5,5,0,100.0,0.0,inf,2019-05-06_2019-05-10|2019-06-10_2019-06-14|2021-03-11_2021-03-15|2024-07-08_2024-07-12|2026-01-14_2026-01-18
0.1,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2020-03-11_2020-03-15|2023-04-10_2023-04-14|2023-11-11_2023-11-15|2025-07-13_2025-07-17
