آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-01-11_2018-01-15|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2025-07-13_2025-07-17
0.0,1,CPI m/m,Bad,10,9,1,90.0,10.0,9.0,2018-02-10_2018-02-14|2019-12-07_2019-12-11|2020-09-07_2020-09-11|2022-02-09_2022-02-13|2022-05-10_2022-05-14|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-02-09_2024-02-13|2024-10-06_2024-10-10|2025-02-08_2025-02-12
0.0,1,CPI m/m,Good,10,8,2,80.0,20.0,4.0,2018-07-10_2018-07-14|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2020-11-11_2020-11-15|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-11-11_2023-11-15|2025-04-09_2025-04-13|2026-02-13_2026-02-17
0.1,1,CPI m/m,Neutral,23,17,6,73.9,26.1,2.83,2018-01-11_2018-01-15|2018-07-10_2018-07-14|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-05-10_2022-05-14|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2023-11-11_2023-11-15|2024-01-10_2024-01-14|2024-02-09_2024-02-13|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2025-07-13_2025-07-17|2026-02-13_2026-02-17
0.1,1,CPI m/m,Bad,5,5,0,100.0,0.0,inf,2018-02-10_2018-02-14|2020-09-07_2020-09-11|2022-02-09_2022-02-13|2023-10-12_2023-10-16|2025-02-08_2025-02-12
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2022-12-11_2022-12-15|2025-04-09_2025-04-13
0.2,1,CPI m/m,Neutral,30,24,6,80.0,20.0,4.0,2018-01-11_2018-01-15|2018-02-10_2018-02-14|2018-07-10_2018-07-14|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-05-10_2022-05-14|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-01-10_2024-01-14|2024-02-09_2024-02-13|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2025-07-13_2025-07-17|2026-02-13_2026-02-17
0.3,1,CPI m/m,Neutral,30,24,6,80.0,20.0,4.0,2018-01-11_2018-01-15|2018-02-10_2018-02-14|2018-07-10_2018-07-14|2018-09-13_2018-09-17|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2020-09-07_2020-09-11|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-05-10_2022-05-14|2022-12-11_2022-12-15|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2023-08-08_2023-08-12|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-11-11_2023-11-15|2024-01-10_2024-01-14|2024-02-09_2024-02-13|2024-08-12_2024-08-16|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2025-07-13_2025-07-17|2026-02-13_2026-02-17
0.0,1,Core CPI m/m,Bad,10,10,0,100.0,0.0,inf,2018-01-11_2018-01-15|2018-02-10_2018-02-14|2020-09-07_2020-09-11|2022-02-09_2022-02-13|2022-05-10_2022-05-14|2023-09-12_2023-09-16|2024-02-09_2024-02-13|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2025-02-08_2025-02-12
0.0,1,Core CPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-07-10_2018-07-14|2019-12-07_2019-12-11|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2023-04-10_2023-04-14|2023-08-08_2023-08-12|2023-10-12_2023-10-16|2024-01-10_2024-01-14|2024-08-12_2024-08-16|2026-02-13_2026-02-17
