آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,17,7,10,41.2,58.8,0.7,2020-09-11_2020-10-10|2020-11-14_2020-12-13|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-01-14_2022-02-12|2022-04-14_2022-05-13|2022-06-15_2022-07-14|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-12-14_2024-01-12|2024-09-13_2024-10-12|2025-01-15_2025-02-13|2025-08-15_2025-09-13|2025-09-11_2025-10-10
0.0,1,CPI m/m,Neutral,9,9,0,100.0,0.0,inf,2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-07-15_2021-08-13|2023-02-17_2023-03-18|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2024-02-17_2024-03-17|2024-08-14_2024-09-12|2025-07-17_2025-08-15
0.0,1,CPI m/m,Good,8,5,3,62.5,37.5,1.67,2022-07-15_2022-08-13|2022-11-16_2022-12-15|2023-03-16_2023-04-14|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2025-05-16_2025-06-14|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.1,1,CPI m/m,Bad,11,6,5,54.5,45.5,1.2,2020-09-11_2020-10-10|2021-05-14_2021-06-12|2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-01-14_2022-02-12|2022-06-15_2022-07-14|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2025-08-15_2025-09-13|2025-09-11_2025-10-10
0.1,1,CPI m/m,Neutral,19,14,5,73.7,26.3,2.8,2020-11-14_2020-12-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-07-15_2021-08-13|2022-04-14_2022-05-13|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2025-01-15_2025-02-13|2025-05-16_2025-06-14|2025-07-17_2025-08-15|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.1,1,CPI m/m,Good,4,1,3,25.0,75.0,0.33,2022-07-15_2022-08-13|2022-11-16_2022-12-15|2024-05-15_2024-06-13|2024-06-14_2024-07-13
0.2,1,CPI m/m,Neutral,31,19,12,61.3,38.7,1.58,2020-09-11_2020-10-10|2020-11-14_2020-12-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-07-15_2021-08-13|2022-01-14_2022-02-12|2022-04-14_2022-05-13|2022-06-15_2022-07-14|2022-07-15_2022-08-13|2022-11-16_2022-12-15|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2025-01-15_2025-02-13|2025-05-16_2025-06-14|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09
0.3,1,CPI m/m,Neutral,31,19,12,61.3,38.7,1.58,2020-09-11_2020-10-10|2020-11-14_2020-12-13|2021-01-16_2021-02-14|2021-02-18_2021-03-19|2021-04-10_2021-05-09|2021-05-14_2021-06-12|2021-07-15_2021-08-13|2022-01-14_2022-02-12|2022-04-14_2022-05-13|2022-06-15_2022-07-14|2022-07-15_2022-08-13|2022-11-16_2022-12-15|2023-02-17_2023-03-18|2023-03-16_2023-04-14|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2023-09-15_2023-10-14|2023-10-12_2023-11-10|2023-12-14_2024-01-12|2024-02-17_2024-03-17|2024-05-15_2024-06-13|2024-06-14_2024-07-13|2024-08-14_2024-09-12|2024-09-13_2024-10-12|2025-01-15_2025-02-13|2025-05-16_2025-06-14|2025-07-17_2025-08-15|2025-08-15_2025-09-13|2025-09-11_2025-10-10|2026-01-15_2026-02-13|2026-01-31_2026-03-01
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-06-16_2021-07-15|2021-10-15_2021-11-13|2021-11-10_2021-12-09
