آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,15,10,5,66.7,33.3,2.0,2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2022-01-21_2022-01-25|2024-01-26_2024-01-30|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-03-13_2026-03-17
0.0,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-04-29_2022-05-03|2022-09-16_2022-09-20
0.0,1,FOMC,Good,4,2,2,50.0,50.0,1.0,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.1,1,FOMC,Neutral,15,10,5,66.7,33.3,2.0,2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2022-01-21_2022-01-25|2024-01-26_2024-01-30|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-03-13_2026-03-17
0.1,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-04-29_2022-05-03|2022-09-16_2022-09-20
0.1,1,FOMC,Good,4,2,2,50.0,50.0,1.0,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.2,1,FOMC,Neutral,15,10,5,66.7,33.3,2.0,2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2022-01-21_2022-01-25|2024-01-26_2024-01-30|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-03-13_2026-03-17
0.2,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-04-29_2022-05-03|2022-09-16_2022-09-20
0.2,1,FOMC,Good,4,2,2,50.0,50.0,1.0,2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.3,1,FOMC,Neutral,19,12,7,63.2,36.8,1.71,2021-06-11_2021-06-15|2021-09-17_2021-09-21|2021-10-29_2021-11-02|2021-12-10_2021-12-14|2022-01-21_2022-01-25|2024-01-26_2024-01-30|2024-03-15_2024-03-19|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2024-11-02_2024-11-06|2024-12-13_2024-12-17|2025-01-24_2025-01-28|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2026-03-13_2026-03-17
0.3,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-04-29_2022-05-03|2022-09-16_2022-09-20
