آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-06-11_2021-06-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-09-12_2024-09-21
0.0,1,PPI m/m,Good,9,7,2,77.8,22.2,3.5,2022-01-13_2022-01-22|2023-01-13_2023-01-22|2023-04-13_2023-04-22|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-06-12_2025-06-21
0.0,1,PPI m/m,Neutral,2,1,1,50.0,50.0,1.0,2022-05-12_2022-05-21|2026-01-14_2026-01-23
0.1,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-06-11_2021-06-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22
0.1,1,PPI m/m,Good,6,4,2,66.7,33.3,2.0,2022-01-13_2022-01-22|2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.1,1,PPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2022-05-12_2022-05-21|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-09-12_2024-09-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.2,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-06-11_2021-06-20|2022-07-14_2022-07-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-03-13_2024-03-22
0.2,1,PPI m/m,Neutral,9,5,4,55.6,44.4,1.25,2022-01-13_2022-01-22|2022-05-12_2022-05-21|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-01-12_2024-01-21|2024-09-12_2024-09-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.2,1,PPI m/m,Good,4,4,0,100.0,0.0,inf,2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.3,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-06-11_2021-06-20|2022-07-14_2022-07-23
0.3,1,PPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2022-01-13_2022-01-22|2022-05-12_2022-05-21|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2025-03-13_2025-03-22|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.3,1,PPI m/m,Good,3,3,0,100.0,0.0,inf,2023-01-13_2023-01-22|2023-04-13_2023-04-22|2024-06-13_2024-06-22
0.0,1,Core PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-06-11_2021-06-20|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-09-12_2024-09-21
0.0,1,Core PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2022-01-13_2022-01-22|2023-01-13_2023-01-22|2023-05-11_2023-05-20|2023-09-14_2023-09-23
0.0,1,Core PPI m/m,Good,9,7,2,77.8,22.2,3.5,2022-05-12_2022-05-21|2022-07-14_2022-07-23|2023-04-13_2023-04-22|2023-07-13_2023-07-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.1,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-06-11_2021-06-20|2023-02-15_2023-02-24
0.1,1,Core PPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2022-01-13_2022-01-22|2022-07-14_2022-07-23|2023-01-13_2023-01-22|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-03-13_2024-03-22|2024-09-12_2024-09-21
0.1,1,Core PPI m/m,Good,7,5,2,71.4,28.6,2.5,2022-05-12_2022-05-21|2023-04-13_2023-04-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.2,1,Core PPI m/m,Neutral,15,11,4,73.3,26.7,2.75,2021-06-11_2021-06-20|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-07-14_2022-07-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.2,1,Core PPI m/m,Good,3,3,0,100.0,0.0,inf,2023-04-13_2023-04-22|2024-06-13_2024-06-22|2025-03-13_2025-03-22
0.3,1,Core PPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2021-06-11_2021-06-20|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-07-14_2022-07-23|2023-01-13_2023-01-22|2023-02-15_2023-02-24|2023-05-11_2023-05-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-06-13_2024-06-22|2024-09-12_2024-09-21|2025-06-12_2025-06-21|2026-01-14_2026-01-23
0.3,1,Core PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-04-13_2023-04-22|2025-03-13_2025-03-22
0.0,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.0,1,FOMC,Good,1,0,1,0.0,100.0,0.0,2024-09-12_2024-09-21
0.1,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,1,FOMC,Good,1,0,1,0.0,100.0,0.0,2024-09-12_2024-09-21
0.2,1,FOMC,Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.2,1,FOMC,Good,1,0,1,0.0,100.0,0.0,2024-09-12_2024-09-21
0.3,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-09-14_2023-09-23|2024-09-12_2024-09-21
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,5,4,1,80.0,20.0,4.0,2021-06-11_2021-06-20|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-09-12_2024-09-21
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,3,2,1,66.7,33.3,2.0,2022-01-13_2022-01-22|2023-01-13_2023-01-22|2023-05-11_2023-05-20
0.0,2,PPI m/m|Core PPI m/m,Neutral|Good,2,1,1,50.0,50.0,1.0,2022-05-12_2022-05-21|2026-01-14_2026-01-23
0.0,2,PPI m/m|Core PPI m/m,Bad|Good,1,1,0,100.0,0.0,inf,2022-07-14_2022-07-23
0.0,2,PPI m/m|Core PPI m/m,Good|Good,6,5,1,83.3,16.7,5.0,2023-04-13_2023-04-22|2023-07-13_2023-07-22|2024-01-12_2024-01-21|2024-06-13_2024-06-22|2025-03-13_2025-03-22|2025-06-12_2025-06-21
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-09-14_2023-09-23
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,2,2,0,100.0,0.0,inf,2021-06-11_2021-06-20|2023-02-15_2023-02-24
0.1,2,PPI m/m|Core PPI m/m,Good|Neutral,2,1,1,50.0,50.0,1.0,2022-01-13_2022-01-22|2023-01-13_2023-01-22
