آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,10,5,5,50.0,50.0,1.0,2021-06-09_2021-07-08|2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-05-05_2022-06-03|2022-06-04_2022-07-03|2022-07-04_2022-08-02|2023-09-27_2023-10-26|2024-01-25_2024-02-23|2024-03-25_2024-04-23|2024-09-21_2024-10-20
0.0,1,CPI m/m,Good,8,5,3,62.5,37.5,1.67,2021-09-07_2021-10-06|2023-03-31_2023-04-29|2023-06-29_2023-07-28|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2025-03-20_2025-04-18|2025-05-19_2025-06-17|2025-10-16_2025-11-14
0.0,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-04-30_2023-05-29|2023-08-28_2023-09-26|2024-07-23_2024-08-21|2025-06-18_2025-07-17|2025-12-15_2026-01-13
0.1,1,CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-06-09_2021-07-08|2022-02-04_2022-03-05|2022-06-04_2022-07-03|2022-07-04_2022-08-02|2023-09-27_2023-10-26|2024-03-25_2024-04-23
0.1,1,CPI m/m,Good,4,3,1,75.0,25.0,3.0,2021-09-07_2021-10-06|2024-06-23_2024-07-22|2025-03-20_2025-04-18|2025-10-16_2025-11-14
0.1,1,CPI m/m,Neutral,15,8,7,53.3,46.7,1.14,2022-01-05_2022-02-03|2022-05-05_2022-06-03|2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-04-30_2023-05-29|2023-06-29_2023-07-28|2023-08-28_2023-09-26|2024-01-25_2024-02-23|2024-05-24_2024-06-22|2024-07-23_2024-08-21|2024-09-21_2024-10-20|2025-05-19_2025-06-17|2025-06-18_2025-07-17|2025-12-15_2026-01-13
0.2,1,CPI m/m,Neutral,24,15,9,62.5,37.5,1.67,2021-06-09_2021-07-08|2021-09-07_2021-10-06|2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-05-05_2022-06-03|2022-07-04_2022-08-02|2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-04-30_2023-05-29|2023-06-29_2023-07-28|2023-08-28_2023-09-26|2023-09-27_2023-10-26|2024-01-25_2024-02-23|2024-03-25_2024-04-23|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2024-07-23_2024-08-21|2024-09-21_2024-10-20|2025-03-20_2025-04-18|2025-05-19_2025-06-17|2025-06-18_2025-07-17|2025-10-16_2025-11-14|2025-12-15_2026-01-13
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-07-03
0.3,1,CPI m/m,Neutral,24,15,9,62.5,37.5,1.67,2021-06-09_2021-07-08|2021-09-07_2021-10-06|2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-05-05_2022-06-03|2022-07-04_2022-08-02|2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-04-30_2023-05-29|2023-06-29_2023-07-28|2023-08-28_2023-09-26|2023-09-27_2023-10-26|2024-01-25_2024-02-23|2024-03-25_2024-04-23|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2024-07-23_2024-08-21|2024-09-21_2024-10-20|2025-03-20_2025-04-18|2025-05-19_2025-06-17|2025-06-18_2025-07-17|2025-10-16_2025-11-14|2025-12-15_2026-01-13
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-06-04_2022-07-03
0.0,1,Core CPI m/m,Bad,11,6,5,54.5,45.5,1.2,2021-06-09_2021-07-08|2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-05-05_2022-06-03|2022-06-04_2022-07-03|2022-07-04_2022-08-02|2023-04-30_2023-05-29|2023-08-28_2023-09-26|2024-01-25_2024-02-23|2024-03-25_2024-04-23|2024-09-21_2024-10-20
0.0,1,Core CPI m/m,Good,9,5,4,55.6,44.4,1.25,2021-09-07_2021-10-06|2023-06-29_2023-07-28|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2025-03-20_2025-04-18|2025-05-19_2025-06-17|2025-06-18_2025-07-17|2025-10-16_2025-11-14|2025-12-15_2026-01-13
0.0,1,Core CPI m/m,Neutral,5,5,0,100.0,0.0,inf,2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-09-27_2023-10-26|2024-07-23_2024-08-21
0.1,1,Core CPI m/m,Bad,6,4,2,66.7,33.3,2.0,2021-06-09_2021-07-08|2022-05-05_2022-06-03|2022-07-04_2022-08-02|2023-04-30_2023-05-29|2024-01-25_2024-02-23|2024-03-25_2024-04-23
0.1,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2021-09-07_2021-10-06|2025-03-20_2025-04-18|2025-05-19_2025-06-17
0.1,1,Core CPI m/m,Neutral,16,10,6,62.5,37.5,1.67,2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-06-04_2022-07-03|2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-06-29_2023-07-28|2023-08-28_2023-09-26|2023-09-27_2023-10-26|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2024-07-23_2024-08-21|2024-09-21_2024-10-20|2025-06-18_2025-07-17|2025-10-16_2025-11-14|2025-12-15_2026-01-13
0.2,1,Core CPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2021-06-09_2021-07-08|2021-09-07_2021-10-06|2022-01-05_2022-02-03|2022-02-04_2022-03-05|2022-05-05_2022-06-03|2022-06-04_2022-07-03|2022-07-04_2022-08-02|2022-12-31_2023-01-29|2023-01-30_2023-02-28|2023-03-31_2023-04-29|2023-04-30_2023-05-29|2023-06-29_2023-07-28|2023-08-28_2023-09-26|2023-09-27_2023-10-26|2024-01-25_2024-02-23|2024-03-25_2024-04-23|2024-05-24_2024-06-22|2024-06-23_2024-07-22|2024-07-23_2024-08-21|2024-09-21_2024-10-20|2025-03-20_2025-04-18|2025-05-19_2025-06-17|2025-06-18_2025-07-17|2025-10-16_2025-11-14|2025-12-15_2026-01-13
