آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,13,10,3,76.9,23.1,3.33,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2019-04-11_2019-04-15|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2022-02-11_2022-02-15|2024-07-12_2024-07-16|2025-02-13_2025-02-17
0.0,1,PPI m/m,Good,22,17,5,77.3,22.7,3.4,2022-01-13_2022-01-17|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2025-06-12_2025-06-16|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-03-13_2019-03-17|2020-01-15_2020-01-19|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2021-10-14_2021-10-18|2022-08-11_2022-08-15|2023-06-14_2023-06-18|2023-11-15_2023-11-19|2024-10-11_2024-10-15|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-07-16_2025-07-20
0.0,1,PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2022-05-12_2022-05-16|2026-01-14_2026-01-18|2019-07-12_2019-07-16|2022-06-11_2022-06-15|2023-12-13_2023-12-17|2024-11-14_2024-11-18
0.1,1,PPI m/m,Bad,9,8,1,88.9,11.1,8.0,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2019-04-11_2019-04-15|2020-10-14_2020-10-18|2022-02-11_2022-02-15|2025-02-13_2025-02-17
0.1,1,PPI m/m,Good,14,10,4,71.4,28.6,2.5,2022-01-13_2022-01-17|2023-04-13_2023-04-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2019-02-14_2019-02-18|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-06-14_2023-06-18|2023-11-15_2023-11-19|2025-04-11_2025-04-15|2025-05-14_2025-05-18|2025-07-16_2025-07-20
0.1,1,PPI m/m,Neutral,18,13,5,72.2,27.8,2.6,2022-05-12_2022-05-16|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-09-12_2024-09-16|2025-06-12_2025-06-16|2026-01-14_2026-01-18|2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-07-12_2019-07-16|2020-01-15_2020-01-19|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-06-11_2022-06-15|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18
0.2,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2023-09-14_2023-09-18|2024-03-13_2024-03-17|2019-04-11_2019-04-15|2022-02-11_2022-02-15
0.2,1,PPI m/m,Neutral,25,18,7,72.0,28.0,2.57,2022-01-13_2022-01-17|2022-05-12_2022-05-16|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2024-01-12_2024-01-16|2024-09-12_2024-09-16|2025-06-12_2025-06-16|2026-01-14_2026-01-18|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-03-13_2019-03-17|2019-07-12_2019-07-16|2020-01-15_2020-01-19|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-06-11_2022-06-15|2023-06-14_2023-06-18|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-02-13_2025-02-17|2025-07-16_2025-07-20
0.2,1,PPI m/m,Good,9,7,2,77.8,22.2,3.5,2023-04-13_2023-04-17|2024-06-13_2024-06-17|2025-03-13_2025-03-17|2020-03-12_2020-03-16|2020-05-13_2020-05-17|2022-08-11_2022-08-15|2023-11-15_2023-11-19|2025-04-11_2025-04-15|2025-05-14_2025-05-18
0.3,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2022-02-11_2022-02-15
0.3,1,PPI m/m,Neutral,30,22,8,73.3,26.7,2.75,2022-01-13_2022-01-17|2022-05-12_2022-05-16|2023-02-15_2023-02-19|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-09-14_2023-09-18|2024-01-12_2024-01-16|2024-03-13_2024-03-17|2024-09-12_2024-09-16|2025-03-13_2025-03-17|2025-06-12_2025-06-16|2026-01-14_2026-01-18|2019-01-12_2019-01-16|2019-02-14_2019-02-18|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-07-12_2019-07-16|2020-01-15_2020-01-19|2020-10-14_2020-10-18|2020-11-13_2020-11-17|2021-10-14_2021-10-18|2022-06-11_2022-06-15|2023-06-14_2023-06-18|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-02-13_2025-02-17|2025-07-16_2025-07-20
