آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,4,4,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.0,1,CPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-08-14_2024-08-18
0.0,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2018-09-13_2018-09-17|2024-08-14_2024-08-18
0.1,1,CPI m/m,Good,3,3,0,100.0,0.0,inf,2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.1,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.2,1,CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,1,CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Neutral,4,4,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.2,1,Core CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,1,Core CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,1,CPI y/y,Good,4,4,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2024-08-14_2024-08-18
0.0,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2021-09-11_2021-09-15|2025-09-11_2025-09-15
0.1,1,CPI y/y,Neutral,3,3,0,100.0,0.0,inf,2018-09-13_2018-09-17|2021-09-11_2021-09-15|2025-09-11_2025-09-15
0.1,1,CPI y/y,Good,3,3,0,100.0,0.0,inf,2019-05-10_2019-05-14|2020-04-10_2020-04-14|2024-08-14_2024-08-18
0.2,1,CPI y/y,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,1,CPI y/y,Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,2,CPI m/m|Core CPI m/m,Good|Good,4,4,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-08-14_2024-08-18
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,2,2,0,100.0,0.0,inf,2018-09-13_2018-09-17|2024-08-14_2024-08-18
0.1,2,CPI m/m|Core CPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2019-05-10_2019-05-14
0.1,2,CPI m/m|Core CPI m/m,Good|Good,2,2,0,100.0,0.0,inf,2020-04-10_2020-04-14|2021-09-11_2021-09-15
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,2,CPI m/m|CPI y/y,Good|Good,3,3,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14
0.0,2,CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2021-09-11_2021-09-15
0.0,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2024-08-14_2024-08-18
0.0,2,CPI m/m|CPI y/y,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.1,2,CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2018-09-13_2018-09-17
0.1,2,CPI m/m|CPI y/y,Good|Good,2,2,0,100.0,0.0,inf,2019-05-10_2019-05-14|2020-04-10_2020-04-14
0.1,2,CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2021-09-11_2021-09-15
0.1,2,CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2024-08-14_2024-08-18
0.1,2,CPI m/m|CPI y/y,Bad|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.2,2,CPI m/m|CPI y/y,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.0,2,Core CPI m/m|CPI y/y,Good|Good,3,3,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14
0.0,2,Core CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2021-09-11_2021-09-15
0.0,2,Core CPI m/m|CPI y/y,Neutral|Good,1,1,0,100.0,0.0,inf,2024-08-14_2024-08-18
0.0,2,Core CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2025-09-11_2025-09-15
0.1,2,Core CPI m/m|CPI y/y,Neutral|Neutral,2,2,0,100.0,0.0,inf,2018-09-13_2018-09-17|2025-09-11_2025-09-15
0.1,2,Core CPI m/m|CPI y/y,Neutral|Good,2,2,0,100.0,0.0,inf,2019-05-10_2019-05-14|2024-08-14_2024-08-18
0.1,2,Core CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2020-04-10_2020-04-14
0.1,2,Core CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2021-09-11_2021-09-15
0.2,2,Core CPI m/m|CPI y/y,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
0.3,2,Core CPI m/m|CPI y/y,Neutral|Neutral,6,6,0,100.0,0.0,inf,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2020-04-10_2020-04-14|2021-09-11_2021-09-15|2024-08-14_2024-08-18|2025-09-11_2025-09-15
