آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,21,15,6,71.4,28.6,2.5,2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-09-11_2021-09-15|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2022-10-13_2022-10-17|2022-12-10_2022-12-14|2023-02-17_2023-02-21|2023-10-12_2023-10-16|2024-03-15_2024-03-19|2024-07-13_2024-07-17|2024-09-13_2024-09-17|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.0,1,PPI m/m,Good,18,14,4,77.8,22.2,3.5,2021-10-15_2021-10-19|2022-01-14_2022-01-18|2022-03-16_2022-03-20|2022-08-12_2022-08-16|2023-01-19_2023-01-23|2023-04-14_2023-04-18|2023-05-12_2023-05-16|2024-01-13_2024-01-17|2024-04-12_2024-04-16|2024-06-14_2024-06-18|2024-08-14_2024-08-18|2024-10-12_2024-10-16|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-06-13_2025-06-17|2025-09-11_2025-09-15
0.0,1,PPI m/m,Neutral,7,4,3,57.1,42.9,1.33,2021-11-10_2021-11-14|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2023-12-14_2023-12-18|2024-11-15_2024-11-19|2025-11-26_2025-11-30|2026-01-15_2026-01-19
0.1,1,PPI m/m,Bad,17,11,6,64.7,35.3,1.83,2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2022-10-13_2022-10-17|2023-02-17_2023-02-21|2023-10-12_2023-10-16|2024-03-15_2024-03-19|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.1,1,PPI m/m,Neutral,17,12,5,70.6,29.4,2.4,2021-09-11_2021-09-15|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2022-12-10_2022-12-14|2023-05-12_2023-05-16|2023-12-14_2023-12-18|2024-04-12_2024-04-16|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2025-06-13_2025-06-17|2025-11-26_2025-11-30|2026-01-15_2026-01-19
0.1,1,PPI m/m,Good,12,10,2,83.3,16.7,5.0,2022-01-14_2022-01-18|2022-03-16_2022-03-20|2022-08-12_2022-08-16|2023-01-19_2023-01-23|2023-04-14_2023-04-18|2024-01-13_2024-01-17|2024-06-14_2024-06-18|2025-01-15_2025-01-19|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.2,1,PPI m/m,Bad,12,9,3,75.0,25.0,3.0,2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-05-14_2021-05-18|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-04-14_2022-04-18|2023-02-17_2023-02-21|2024-03-15_2024-03-19|2026-01-31_2026-02-04
0.2,1,PPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2021-09-11_2021-09-15|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2022-10-13_2022-10-17|2022-12-10_2022-12-14|2023-05-12_2023-05-16|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-04-12_2024-04-16|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-01-15_2025-01-19|2025-02-14_2025-02-18|2025-06-13_2025-06-17|2025-11-26_2025-11-30|2026-01-15_2026-01-19|2026-02-28_2026-03-04
0.2,1,PPI m/m,Good,8,7,1,87.5,12.5,7.0,2022-08-12_2022-08-16|2023-01-19_2023-01-23|2023-04-14_2023-04-18|2024-06-14_2024-06-18|2025-03-14_2025-03-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.3,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-02-18_2021-02-22|2021-04-10_2021-04-14|2021-06-16_2021-06-20|2021-07-15_2021-07-19|2021-08-13_2021-08-17|2021-12-15_2021-12-19|2022-02-16_2022-02-20
0.3,1,PPI m/m,Neutral,32,21,11,65.6,34.4,1.91,2021-05-14_2021-05-18|2021-09-11_2021-09-15|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-01-14_2022-01-18|2022-03-16_2022-03-20|2022-04-14_2022-04-18|2022-05-13_2022-05-17|2022-06-15_2022-06-19|2022-10-13_2022-10-17|2022-12-10_2022-12-14|2023-02-17_2023-02-21|2023-05-12_2023-05-16|2023-10-12_2023-10-16|2023-12-14_2023-12-18|2024-01-13_2024-01-17|2024-03-15_2024-03-19|2024-04-12_2024-04-16|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-01-15_2025-01-19|2025-02-14_2025-02-18|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-11-26_2025-11-30|2026-01-15_2026-01-19|2026-01-31_2026-02-04|2026-02-28_2026-03-04
0.3,1,PPI m/m,Good,7,6,1,85.7,14.3,6.0,2022-08-12_2022-08-16|2023-01-19_2023-01-23|2023-04-14_2023-04-18|2024-06-14_2024-06-18|2025-04-12_2025-04-16|2025-05-16_2025-05-20|2025-09-11_2025-09-15
