آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,5,2,3,40.0,60.0,0.67,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2020-05-10_2020-05-14|2020-11-11_2020-11-15|2025-10-21_2025-10-25
0.0,1,CPI m/m,Neutral,11,5,6,45.5,54.5,0.83,2018-12-12_2018-12-16|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2024-09-11_2024-09-15|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-08-12_2025-08-16
0.0,1,CPI m/m,Bad,14,7,7,50.0,50.0,1.0,2019-11-12_2019-11-16|2020-08-08_2020-08-12|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,18,10,8,55.6,44.4,1.25,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-08-08_2021-08-12|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-08-12_2025-08-16
0.1,1,CPI m/m,Bad,10,4,6,40.0,60.0,0.67,2019-11-12_2019-11-16|2020-08-08_2020-08-12|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-10-12_2023-10-16|2025-02-08_2025-02-12|2025-09-11_2025-09-15
0.1,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2020-05-10_2020-05-14|2025-10-21_2025-10-25
0.2,1,CPI m/m,Neutral,28,13,15,46.4,53.6,0.87,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-05-10_2020-05-14|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08-08_2020-08-12|2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,29,13,16,44.8,55.2,0.81,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-05-10_2020-05-14|2020-08-08_2020-08-12|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.0,1,Core CPI m/m,Neutral,14,9,5,64.3,35.7,1.8,2018-04-11_2018-04-15|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-11-10_2024-11-14|2025-08-12_2025-08-16|2025-09-11_2025-09-15
0.0,1,Core CPI m/m,Good,6,1,5,16.7,83.3,0.2,2018-09-13_2018-09-17|2020-05-10_2020-05-14|2020-11-11_2020-11-15|2021-08-08_2021-08-12|2025-01-14_2025-01-18|2025-10-21_2025-10-25
0.0,1,Core CPI m/m,Bad,10,4,6,40.0,60.0,0.67,2020-08-08_2020-08-12|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-01-10_2022-01-14|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-09-12_2023-09-16|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2025-02-08_2025-02-12
0.1,1,Core CPI m/m,Neutral,21,11,10,52.4,47.6,1.1,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-10-12_2020-10-16|2021-01-10_2021-01-14|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.1,1,Core CPI m/m,Good,3,1,2,33.3,66.7,0.5,2020-05-10_2020-05-14|2020-11-11_2020-11-15|2021-08-08_2021-08-12
0.1,1,Core CPI m/m,Bad,6,2,4,33.3,66.7,0.5,2020-08-08_2020-08-12|2021-06-09_2021-06-13|2021-11-06_2021-11-10|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2025-02-08_2025-02-12
0.2,1,Core CPI m/m,Neutral,28,14,14,50.0,50.0,1.0,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-05-10_2020-05-14|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-10-12_2022-10-16|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.2,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2020-08-08_2020-08-12|2022-09-12_2022-09-16
0.3,1,Core CPI m/m,Neutral,29,14,15,48.3,51.7,0.93,2018-04-11_2018-04-15|2018-09-13_2018-09-17|2018-12-12_2018-12-16|2019-11-12_2019-11-16|2020-05-10_2020-05-14|2020-10-12_2020-10-16|2020-11-11_2020-11-15|2021-01-10_2021-01-14|2021-06-09_2021-06-13|2021-08-08_2021-08-12|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2022-09-12_2022-09-16|2022-10-12_2022-10-16|2023-01-10_2023-01-14|2023-09-12_2023-09-16|2023-10-12_2023-10-16|2023-12-11_2023-12-15|2024-01-10_2024-01-14|2024-09-11_2024-09-15|2024-10-06_2024-10-10|2024-11-10_2024-11-14|2025-01-14_2025-01-18|2025-02-08_2025-02-12|2025-08-12_2025-08-16|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.3,1,Core CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2020-08-08_2020-08-12
