آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,12,9,3,75.0,25.0,3.0,2018-06-13_2018-06-17|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2021-05-13_2021-05-17|2021-06-11_2021-06-15|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2025-02-13_2025-02-17|2025-08-13_2025-08-17
0.0,1,PPI m/m,Good,8,7,1,87.5,12.5,7.0,2019-02-14_2019-02-18|2022-01-13_2022-01-17|2023-03-15_2023-03-19|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2024-06-13_2024-06-17|2024-10-11_2024-10-15|2025-06-12_2025-06-16
0.0,1,PPI m/m,Neutral,4,2,2,50.0,50.0,1.0,2019-07-12_2019-07-16|2022-05-12_2022-05-16|2023-12-13_2023-12-17|2024-11-14_2024-11-18
0.1,1,PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2018-06-13_2018-06-17|2021-05-13_2021-05-17|2021-06-11_2021-06-15|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2025-02-13_2025-02-17|2025-08-13_2025-08-17
0.1,1,PPI m/m,Good,5,5,0,100.0,0.0,inf,2019-02-14_2019-02-18|2022-01-13_2022-01-17|2023-03-15_2023-03-19|2023-06-14_2023-06-18|2024-06-13_2024-06-17
0.1,1,PPI m/m,Neutral,11,7,4,63.6,36.4,1.75,2019-07-12_2019-07-16|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2022-05-12_2022-05-16|2023-07-13_2023-07-17|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-06-12_2025-06-16
0.2,1,PPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-07-12_2019-07-16|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2022-01-13_2022-01-17|2022-05-12_2022-05-16|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-02-13_2025-02-17|2025-06-12_2025-06-16
0.2,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2021-05-13_2021-05-17|2021-06-11_2021-06-15|2022-04-13_2022-04-17|2022-07-14_2022-07-18|2023-02-15_2023-02-19|2025-08-13_2025-08-17
0.2,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-03-15_2023-03-19|2024-06-13_2024-06-17
0.3,1,PPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-07-12_2019-07-16|2020-11-13_2020-11-17|2021-03-11_2021-03-15|2021-05-13_2021-05-17|2022-01-13_2022-01-17|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2023-02-15_2023-02-19|2023-06-14_2023-06-18|2023-07-13_2023-07-17|2023-12-13_2023-12-17|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-02-13_2025-02-17|2025-06-12_2025-06-16
0.3,1,PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-06-11_2021-06-15|2022-07-14_2022-07-18|2025-08-13_2025-08-17
0.3,1,PPI m/m,Good,2,2,0,100.0,0.0,inf,2023-03-15_2023-03-19|2024-06-13_2024-06-17
0.0,1,Core PPI m/m,Bad,10,8,2,80.0,20.0,4.0,2018-06-13_2018-06-17|2019-02-14_2019-02-18|2019-07-12_2019-07-16|2021-05-13_2021-05-17|2021-06-11_2021-06-15|2022-04-13_2022-04-17|2023-02-15_2023-02-19|2024-07-12_2024-07-16|2024-09-12_2024-09-16|2025-08-13_2025-08-17
0.0,1,Core PPI m/m,Good,8,6,2,75.0,25.0,3.0,2020-11-13_2020-11-17|2022-05-12_2022-05-16|2022-07-14_2022-07-18|2023-03-15_2023-03-19|2023-07-13_2023-07-17|2023-12-13_2023-12-17|2024-06-13_2024-06-17|2025-06-12_2025-06-16
0.0,1,Core PPI m/m,Neutral,6,4,2,66.7,33.3,2.0,2021-03-11_2021-03-15|2022-01-13_2022-01-17|2023-06-14_2023-06-18|2024-10-11_2024-10-15|2024-11-14_2024-11-18|2025-02-13_2025-02-17
