آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2021-02-24_2021-03-10|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-07-29_2023-08-12|2024-09-06_2024-09-20
0.0,1,CPI m/m,Bad,8,8,0,100.0,0.0,inf,2020-11-26_2020-12-10|2021-05-10_2021-05-24|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-10-06_2024-10-20|2025-02-03_2025-02-17
0.0,1,CPI m/m,Good,4,2,2,50.0,50.0,1.0,2022-08-03_2022-08-17|2023-06-29_2023-07-13|2024-05-09_2024-05-23|2026-02-13_2026-02-27
0.1,1,CPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-05-05_2022-05-19|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-12-11_2023-12-25|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2026-02-13_2026-02-27
0.1,1,CPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-05-10_2021-05-24|2022-02-04_2022-02-18|2023-10-12_2023-10-26|2025-02-03_2025-02-17
0.1,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-08-03_2022-08-17|2024-05-09_2024-05-23
0.2,1,CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-08-03_2022-08-17|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2026-02-13_2026-02-27
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
0.3,1,CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-08-03_2022-08-17|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2026-02-13_2026-02-27
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
0.0,1,Core CPI m/m,Bad,9,9,0,100.0,0.0,inf,2018-06-10_2018-06-24|2020-11-26_2020-12-10|2021-05-10_2021-05-24|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2023-03-01_2023-03-15|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17
0.0,1,Core CPI m/m,Neutral,8,4,4,50.0,50.0,1.0,2018-11-07_2018-11-21|2018-12-07_2018-12-21|2023-02-14_2023-02-28|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2026-02-13_2026-02-27
0.0,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2021-02-24_2021-03-10|2022-08-03_2022-08-17|2023-06-29_2023-07-13
0.1,1,Core CPI m/m,Neutral,16,12,4,75.0,25.0,3.0,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-02-04_2022-02-18|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2026-02-13_2026-02-27
0.1,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-05-10_2021-05-24|2022-05-05_2022-05-19|2025-02-03_2025-02-17
0.1,1,Core CPI m/m,Good,1,1,0,100.0,0.0,inf,2022-08-03_2022-08-17
0.2,1,Core CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-08-03_2022-08-17|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2026-02-13_2026-02-27
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
0.3,1,Core CPI m/m,Neutral,19,15,4,78.9,21.1,3.75,2018-06-10_2018-06-24|2018-11-07_2018-11-21|2018-12-07_2018-12-21|2020-11-26_2020-12-10|2021-02-24_2021-03-10|2022-02-04_2022-02-18|2022-05-05_2022-05-19|2022-08-03_2022-08-17|2023-02-14_2023-02-28|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-07-29_2023-08-12|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-05-09_2024-05-23|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-02-03_2025-02-17|2026-02-13_2026-02-27
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-24
