آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,6,6,0,100.0,0.0,inf,2017-12-13_2017-12-22|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2024-08-14_2024-08-23|2025-01-15_2025-01-24
0.0,1,CPI m/m,Good,6,3,3,50.0,50.0,1.0,2018-04-11_2018-04-20|2018-09-13_2018-09-22|2019-05-10_2019-05-19|2019-10-09_2019-10-18|2021-09-11_2021-09-20|2024-05-15_2024-05-24
0.0,1,CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-09-11_2020-09-20|2022-10-13_2022-10-22|2023-10-12_2023-10-21|2025-09-11_2025-09-20|2021-11-10_2021-11-19
0.1,1,CPI m/m,Neutral,9,7,2,77.8,22.2,3.5,2017-12-13_2017-12-22|2018-04-11_2018-04-20|2018-09-13_2018-09-22|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-10-09_2019-10-18|2024-08-14_2024-08-23|2025-01-15_2025-01-24
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2019-05-10_2019-05-19|2021-09-11_2021-09-20|2024-05-15_2024-05-24
0.1,1,CPI m/m,Bad,5,2,3,40.0,60.0,0.67,2020-09-11_2020-09-20|2022-10-13_2022-10-22|2023-10-12_2023-10-21|2025-09-11_2025-09-20|2021-11-10_2021-11-19
0.2,1,CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2017-12-13_2017-12-22|2018-04-11_2018-04-20|2018-09-13_2018-09-22|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2019-05-10_2019-05-19|2019-08-10_2019-08-19|2019-10-09_2019-10-18|2020-09-11_2020-09-20|2021-09-11_2021-09-20|2022-10-13_2022-10-22|2023-10-12_2023-10-21|2024-05-15_2024-05-24|2024-08-14_2024-08-23|2025-01-15_2025-01-24|2025-09-11_2025-09-20
0.2,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-10_2021-11-19
0.3,1,CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2017-12-13_2017-12-22|2018-04-11_2018-04-20|2018-09-13_2018-09-22|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2019-05-10_2019-05-19|2019-08-10_2019-08-19|2019-10-09_2019-10-18|2020-09-11_2020-09-20|2021-09-11_2021-09-20|2022-10-13_2022-10-22|2023-10-12_2023-10-21|2024-05-15_2024-05-24|2024-08-14_2024-08-23|2025-01-15_2025-01-24|2025-09-11_2025-09-20
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-10_2021-11-19
0.0,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2017-12-13_2017-12-22|2018-09-13_2018-09-22|2019-05-10_2019-05-19|2019-10-09_2019-10-18|2021-09-11_2021-09-20|2025-01-15_2025-01-24
0.0,1,Core CPI m/m,Neutral,7,5,2,71.4,28.6,2.5,2018-04-11_2018-04-20|2018-11-10_2018-11-19|2018-12-12_2018-12-21|2023-10-12_2023-10-21|2024-05-15_2024-05-24|2024-08-14_2024-08-23|2025-09-11_2025-09-20
