آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2018-03-12_2018-03-16|2021-08-08_2021-08-12|2022-03-06_2022-03-10
0.0,1,CPI m/m,Good,6,4,2,66.7,33.3,2.0,2018-10-08_2018-10-12|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2024-07-08_2024-07-12
0.0,1,CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2019-12-07_2019-12-11|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2021-11-06_2021-11-10|2021-12-06_2021-12-10
0.1,1,CPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2021-08-08_2021-08-12|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2022-03-06_2022-03-10
0.1,1,CPI m/m,Bad,5,3,2,60.0,40.0,1.5,2022-02-09_2022-02-13|2022-10-12_2022-10-16|2025-02-08_2025-02-12|2021-11-06_2021-11-10|2021-12-06_2021-12-10
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2025-04-09_2025-04-13|2021-09-12_2021-09-16|2024-07-08_2024-07-12
0.2,1,CPI m/m,Neutral,15,10,5,66.7,33.3,2.0,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2024-07-08_2024-07-12
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,15,10,5,66.7,33.3,2.0,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2024-07-08_2024-07-12
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.0,1,Core CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-03-12_2018-03-16|2019-12-07_2019-12-11|2023-04-10_2023-04-14|2021-12-06_2021-12-10|2022-03-06_2022-03-10
0.0,1,Core CPI m/m,Good,6,3,3,50.0,50.0,1.0,2018-10-08_2018-10-12|2021-08-08_2021-08-12|2023-07-09_2023-07-13|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2024-07-08_2024-07-12
0.0,1,Core CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2022-02-09_2022-02-13|2022-10-12_2022-10-16|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2021-11-06_2021-11-10
0.1,1,Core CPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2022-02-09_2022-02-13|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2024-07-08_2024-07-12
0.1,1,Core CPI m/m,Good,3,2,1,66.7,33.3,2.0,2021-08-08_2021-08-12|2025-04-09_2025-04-13|2021-09-12_2021-09-16
0.1,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2022-10-12_2022-10-16|2025-02-08_2025-02-12|2021-11-06_2021-11-10
0.2,1,Core CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2024-07-08_2024-07-12
0.3,1,Core CPI m/m,Neutral,16,11,5,68.8,31.2,2.2,2018-03-12_2018-03-16|2018-10-08_2018-10-12|2019-12-07_2019-12-11|2021-08-08_2021-08-12|2022-02-09_2022-02-13|2022-10-12_2022-10-16|2023-04-10_2023-04-14|2023-07-09_2023-07-13|2024-10-06_2024-10-10|2025-02-08_2025-02-12|2025-04-09_2025-04-13|2021-09-12_2021-09-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-03-06_2022-03-10|2024-07-08_2024-07-12
