آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2018-05-10_2018-05-19|2019-06-12_2019-06-21|2020-06-12_2020-06-21
0.0,1,Core PPI m/m,Good,13,9,4,69.2,30.8,2.25,2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-03-14_2019-03-23|2019-05-10_2019-05-19|2019-08-10_2019-08-19|2019-12-13_2019-12-22|2020-05-14_2020-05-23|2022-05-13_2022-05-22|2023-04-14_2023-04-23|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24|2025-09-11_2025-09-20
0.0,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2019-04-12_2019-04-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2021-06-16_2021-06-25|2022-02-16_2022-02-25|2022-12-10_2022-12-19
0.1,1,Core PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-05-10_2018-05-19|2019-03-14_2019-03-23|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2020-06-12_2020-06-21
0.1,1,Core PPI m/m,Good,11,7,4,63.6,36.4,1.75,2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-08-10_2019-08-19|2019-12-13_2019-12-22|2020-05-14_2020-05-23|2022-05-13_2022-05-22|2023-04-14_2023-04-23|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24|2025-09-11_2025-09-20
0.1,1,Core PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-06-16_2021-06-25|2022-02-16_2022-02-25|2022-12-10_2022-12-19
0.2,1,Core PPI m/m,Neutral,14,8,6,57.1,42.9,1.33,2018-05-10_2018-05-19|2019-03-14_2019-03-23|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2021-06-16_2021-06-25|2022-05-13_2022-05-22|2022-12-10_2022-12-19|2024-01-13_2024-01-22|2025-01-15_2025-01-24
0.2,1,Core PPI m/m,Good,7,6,1,85.7,14.3,6.0,2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-08-10_2019-08-19|2019-12-13_2019-12-22|2023-04-14_2023-04-23|2024-06-14_2024-06-23|2025-09-11_2025-09-20
0.2,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-02-16_2022-02-25
0.3,1,Core PPI m/m,Neutral,15,9,6,60.0,40.0,1.5,2018-05-10_2018-05-19|2019-03-14_2019-03-23|2019-04-12_2019-04-21|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2020-05-14_2020-05-23|2020-06-12_2020-06-21|2021-06-16_2021-06-25|2022-05-13_2022-05-22|2022-12-10_2022-12-19|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24
0.3,1,Core PPI m/m,Good,6,5,1,83.3,16.7,5.0,2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-08-10_2019-08-19|2019-12-13_2019-12-22|2023-04-14_2023-04-23|2025-09-11_2025-09-20
0.3,1,Core PPI m/m,Bad,1,1,0,100.0,0.0,inf,2022-02-16_2022-02-25
