آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,11,9,2,81.8,18.2,4.5,2018-05-11_2018-05-15|2019-01-12_2019-01-16|2019-07-12_2019-07-16|2025-01-16_2025-01-20|2025-09-12_2025-09-16|2021-12-11_2021-12-15|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2020-12-11_2020-12-15|2021-09-15_2021-09-19|2024-12-12_2024-12-16
0.0,1,CPI y/y,Good,18,14,4,77.8,22.2,3.5,2018-09-14_2018-09-18|2019-03-13_2019-03-17|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-09-13_2019-09-17|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2022-12-14_2022-12-18|2023-04-13_2023-04-17|2024-06-13_2024-06-17|2023-07-13_2023-07-17|2025-06-12_2025-06-16|2026-02-14_2026-02-18|2023-06-14_2023-06-18|2024-08-15_2024-08-19|2025-04-11_2025-04-15|2025-10-25_2025-10-29|2025-12-19_2025-12-23
0.0,1,CPI y/y,Bad,17,10,7,58.8,41.2,1.43,2019-04-11_2019-04-15|2019-08-14_2019-08-18|2019-12-12_2019-12-16|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2022-05-12_2022-05-16|2024-01-12_2024-01-16|2023-02-15_2023-02-19|2024-02-14_2024-02-18|2024-04-11_2024-04-15|2020-03-12_2020-03-16|2020-09-12_2020-09-16|2021-07-14_2021-07-18|2022-07-14_2022-07-18|2023-09-14_2023-09-18|2024-10-11_2024-10-15|2025-02-13_2025-02-17
0.1,1,CPI y/y,Neutral,17,14,3,82.4,17.6,4.67,2018-05-11_2018-05-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-04-11_2019-04-15|2019-06-13_2019-06-17|2019-07-12_2019-07-16|2023-04-13_2023-04-17|2025-01-16_2025-01-20|2025-09-12_2025-09-16|2021-12-11_2021-12-15|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2020-03-12_2020-03-16|2020-12-11_2020-12-15|2021-09-15_2021-09-19|2023-06-14_2023-06-18|2024-12-12_2024-12-16
0.1,1,CPI y/y,Good,14,11,3,78.6,21.4,3.67,2019-03-13_2019-03-17|2019-05-11_2019-05-15|2019-09-13_2019-09-17|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2022-12-14_2022-12-18|2024-06-13_2024-06-17|2023-07-13_2023-07-17|2025-06-12_2025-06-16|2026-02-14_2026-02-18|2024-08-15_2024-08-19|2025-04-11_2025-04-15|2025-10-25_2025-10-29|2025-12-19_2025-12-23
0.1,1,CPI y/y,Bad,15,8,7,53.3,46.7,1.14,2019-08-14_2019-08-18|2019-12-12_2019-12-16|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2022-05-12_2022-05-16|2024-01-12_2024-01-16|2023-02-15_2023-02-19|2024-02-14_2024-02-18|2024-04-11_2024-04-15|2020-09-12_2020-09-16|2021-07-14_2021-07-18|2022-07-14_2022-07-18|2023-09-14_2023-09-18|2024-10-11_2024-10-15|2025-02-13_2025-02-17
0.2,1,CPI y/y,Neutral,37,26,11,70.3,29.7,2.36,2018-05-11_2018-05-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-07-12_2019-07-16|2019-08-14_2019-08-18|2019-09-13_2019-09-17|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2023-04-13_2023-04-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-01-16_2025-01-20|2025-09-12_2025-09-16|2021-12-11_2021-12-15|2023-07-13_2023-07-17|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2025-06-12_2025-06-16|2026-02-14_2026-02-18|2020-03-12_2020-03-16|2020-09-12_2020-09-16|2020-12-11_2020-12-15|2021-09-15_2021-09-19|2023-06-14_2023-06-18|2023-09-14_2023-09-18|2024-08-15_2024-08-19|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-04-11_2025-04-15|2025-10-25_2025-10-29
0.2,1,CPI y/y,Bad,7,5,2,71.4,28.6,2.5,2021-06-11_2021-06-15|2022-02-11_2022-02-15|2022-05-12_2022-05-16|2023-02-15_2023-02-19|2024-02-14_2024-02-18|2021-07-14_2021-07-18|2022-07-14_2022-07-18
0.2,1,CPI y/y,Good,2,2,0,100.0,0.0,inf,2022-12-14_2022-12-18|2025-12-19_2025-12-23
0.3,1,CPI y/y,Neutral,43,30,13,69.8,30.2,2.31,2018-05-11_2018-05-15|2018-09-14_2018-09-18|2019-01-12_2019-01-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-07-12_2019-07-16|2019-08-14_2019-08-18|2019-09-13_2019-09-17|2019-12-12_2019-12-16|2020-05-13_2020-05-17|2020-06-11_2020-06-15|2021-06-11_2021-06-15|2022-02-11_2022-02-15|2022-05-12_2022-05-16|2022-12-14_2022-12-18|2023-04-13_2023-04-17|2024-01-12_2024-01-16|2024-06-13_2024-06-17|2025-01-16_2025-01-20|2025-09-12_2025-09-16|2021-12-11_2021-12-15|2023-02-15_2023-02-19|2023-07-13_2023-07-17|2024-02-14_2024-02-18|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2024-09-12_2024-09-16|2025-06-12_2025-06-16|2026-02-14_2026-02-18|2020-03-12_2020-03-16|2020-09-12_2020-09-16|2020-12-11_2020-12-15|2021-09-15_2021-09-19|2023-06-14_2023-06-18|2023-09-14_2023-09-18|2024-08-15_2024-08-19|2024-10-11_2024-10-15|2024-12-12_2024-12-16|2025-02-13_2025-02-17|2025-04-11_2025-04-15|2025-10-25_2025-10-29
