آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Bad,8,7,1,87.5,12.5,7.0,2018-06-08_2018-06-12|2022-03-11_2022-03-15|2022-06-10_2022-06-14|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2018-09-21_2018-09-25|2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.0,1,FOMC,Neutral,27,18,9,66.7,33.3,2.0,2018-11-03_2018-11-07|2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-07-24_2020-07-28|2021-07-23_2021-07-27|2023-06-09_2023-06-13|2024-03-15_2024-03-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-06-07_2024-06-11|2025-07-25_2025-07-29|2026-06-12_2026-06-16|2020-04-24_2020-04-28|2020-10-31_2020-11-04|2021-01-22_2021-01-26|2021-10-29_2021-11-02|2023-10-27_2023-10-31|2025-01-24_2025-01-28|2025-05-02_2025-05-06|2026-01-23_2026-01-27|2026-03-13_2026-03-17
0.0,1,FOMC,Good,6,5,1,83.3,16.7,5.0,2019-09-13_2019-09-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2024-11-02_2024-11-06|2024-09-13_2024-09-17|2025-12-05_2025-12-09
0.1,1,FOMC,Bad,8,7,1,87.5,12.5,7.0,2018-06-08_2018-06-12|2022-03-11_2022-03-15|2022-06-10_2022-06-14|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2018-09-21_2018-09-25|2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.1,1,FOMC,Neutral,27,18,9,66.7,33.3,2.0,2018-11-03_2018-11-07|2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-07-24_2020-07-28|2021-07-23_2021-07-27|2023-06-09_2023-06-13|2024-03-15_2024-03-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-06-07_2024-06-11|2025-07-25_2025-07-29|2026-06-12_2026-06-16|2020-04-24_2020-04-28|2020-10-31_2020-11-04|2021-01-22_2021-01-26|2021-10-29_2021-11-02|2023-10-27_2023-10-31|2025-01-24_2025-01-28|2025-05-02_2025-05-06|2026-01-23_2026-01-27|2026-03-13_2026-03-17
0.1,1,FOMC,Good,6,5,1,83.3,16.7,5.0,2019-09-13_2019-09-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2024-11-02_2024-11-06|2024-09-13_2024-09-17|2025-12-05_2025-12-09
0.2,1,FOMC,Bad,8,7,1,87.5,12.5,7.0,2018-06-08_2018-06-12|2022-03-11_2022-03-15|2022-06-10_2022-06-14|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2018-09-21_2018-09-25|2022-09-16_2022-09-20|2023-07-21_2023-07-25
0.2,1,FOMC,Neutral,27,18,9,66.7,33.3,2.0,2018-11-03_2018-11-07|2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-07-24_2020-07-28|2021-07-23_2021-07-27|2023-06-09_2023-06-13|2024-03-15_2024-03-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2022-01-21_2022-01-25|2023-09-15_2023-09-19|2024-06-07_2024-06-11|2025-07-25_2025-07-29|2026-06-12_2026-06-16|2020-04-24_2020-04-28|2020-10-31_2020-11-04|2021-01-22_2021-01-26|2021-10-29_2021-11-02|2023-10-27_2023-10-31|2025-01-24_2025-01-28|2025-05-02_2025-05-06|2026-01-23_2026-01-27|2026-03-13_2026-03-17
0.2,1,FOMC,Good,6,5,1,83.3,16.7,5.0,2019-09-13_2019-09-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2024-11-02_2024-11-06|2024-09-13_2024-09-17|2025-12-05_2025-12-09
0.3,1,FOMC,Neutral,38,28,10,73.7,26.3,2.8,2018-06-08_2018-06-12|2018-11-03_2018-11-07|2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2019-09-13_2019-09-17|2020-01-24_2020-01-28|2020-06-05_2020-06-09|2020-07-24_2020-07-28|2021-07-23_2021-07-27|2022-03-11_2022-03-15|2023-01-27_2023-01-31|2023-06-09_2023-06-13|2024-03-15_2024-03-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2022-01-21_2022-01-25|2023-03-17_2023-03-21|2023-09-15_2023-09-19|2024-06-07_2024-06-11|2024-11-02_2024-11-06|2025-07-25_2025-07-29|2026-06-12_2026-06-16|2018-09-21_2018-09-25|2020-04-24_2020-04-28|2020-10-31_2020-11-04|2021-01-22_2021-01-26|2021-10-29_2021-11-02|2023-07-21_2023-07-25|2023-10-27_2023-10-31|2025-01-24_2025-01-28|2025-05-02_2025-05-06|2025-12-05_2025-12-09|2026-01-23_2026-01-27|2026-03-13_2026-03-17
0.3,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-06-10_2022-06-14|2022-09-16_2022-09-20
0.3,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-13_2024-09-17
