آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Good,21,10,11,47.6,52.4,0.91,2017-12-14_2017-12-18|2018-05-11_2018-05-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-10-11_2019-10-15|2020-04-11_2020-04-15|2020-06-11_2020-06-15|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-08-12_2021-08-16|2022-04-13_2022-04-17|2022-11-11_2022-11-15|2023-07-13_2023-07-17|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-10-25_2025-10-29|2026-01-14_2026-01-18
0.0,1,Core CPI m/m,Bad,14,10,4,71.4,28.6,2.5,2018-01-13_2018-01-17|2019-08-14_2019-08-18|2020-07-15_2020-07-19|2021-04-14_2021-04-18|2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-09-14_2022-09-18|2023-03-15_2023-03-19|2023-05-11_2023-05-15|2024-04-11_2024-04-15
0.0,1,Core CPI m/m,Neutral,18,15,3,83.3,16.7,5.0,2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-08-11_2018-08-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-12-11_2021-12-15|2022-03-11_2022-03-15|2023-01-13_2023-01-17|2023-04-13_2023-04-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2025-09-12_2025-09-16|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Neutral,42,27,15,64.3,35.7,1.8,2017-12-14_2017-12-18|2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-06-11_2020-06-15|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2022-06-11_2022-06-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-05-16_2024-05-20|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.1,1,Core CPI m/m,Good,5,3,2,60.0,40.0,1.5,2020-04-11_2020-04-15|2021-02-11_2021-02-15|2021-08-12_2021-08-16|2022-04-13_2022-04-17|2022-11-11_2022-11-15
0.1,1,Core CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-05-13_2021-05-17|2021-11-11_2021-11-15|2022-05-12_2022-05-16|2022-09-14_2022-09-18|2023-05-11_2023-05-15|2024-04-11_2024-04-15
0.2,1,Core CPI m/m,Neutral,51,33,18,64.7,35.3,1.83,2017-12-14_2017-12-18|2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-04-11_2020-04-15|2020-06-11_2020-06-15|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-08-12_2021-08-16|2021-11-11_2021-11-15|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-11-11_2022-11-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.2,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05-13_2021-05-17|2022-09-14_2022-09-18
0.3,1,Core CPI m/m,Neutral,52,34,18,65.4,34.6,1.89,2017-12-14_2017-12-18|2018-01-13_2018-01-17|2018-03-14_2018-03-18|2018-04-12_2018-04-16|2018-05-11_2018-05-15|2018-08-11_2018-08-15|2018-09-14_2018-09-18|2018-10-12_2018-10-16|2019-03-13_2019-03-17|2019-04-11_2019-04-15|2019-05-11_2019-05-15|2019-06-13_2019-06-17|2019-08-14_2019-08-18|2019-10-11_2019-10-15|2019-11-14_2019-11-18|2019-12-12_2019-12-16|2020-02-14_2020-02-18|2020-04-11_2020-04-15|2020-06-11_2020-06-15|2020-07-15_2020-07-19|2020-10-14_2020-10-18|2021-01-14_2021-01-18|2021-02-11_2021-02-15|2021-03-11_2021-03-15|2021-04-14_2021-04-18|2021-08-12_2021-08-16|2021-11-11_2021-11-15|2021-12-11_2021-12-15|2022-01-13_2022-01-17|2022-02-11_2022-02-15|2022-03-11_2022-03-15|2022-04-13_2022-04-17|2022-05-12_2022-05-16|2022-06-11_2022-06-15|2022-09-14_2022-09-18|2022-11-11_2022-11-15|2023-01-13_2023-01-17|2023-03-15_2023-03-19|2023-04-13_2023-04-17|2023-05-11_2023-05-15|2023-07-13_2023-07-17|2023-08-11_2023-08-15|2023-12-13_2023-12-17|2024-01-12_2024-01-16|2024-04-11_2024-04-15|2024-05-16_2024-05-20|2025-05-14_2025-05-18|2025-07-16_2025-07-20|2025-09-12_2025-09-16|2025-10-25_2025-10-29|2026-01-14_2026-01-18|2026-02-14_2026-02-18
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-13_2021-05-17
