آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,16,14,2,87.5,12.5,7.0,2018-01-13_2018-01-27|2018-03-14_2018-03-28|2018-05-11_2018-05-25|2020-10-14_2020-10-28|2020-12-11_2020-12-25|2021-02-11_2021-02-25|2021-03-11_2021-03-25|2021-09-15_2021-09-29|2021-12-11_2021-12-25|2022-01-13_2022-01-27|2023-03-15_2023-03-29|2024-05-16_2024-05-30|2024-09-12_2024-09-26|2025-01-16_2025-01-30|2025-09-12_2025-09-26|2026-01-14_2026-01-28
0.0,1,CPI y/y,Bad,23,17,6,73.9,26.1,2.83,2018-02-15_2018-03-01|2019-04-11_2019-04-25|2019-08-14_2019-08-28|2019-12-12_2019-12-26|2020-08-13_2020-08-27|2020-09-12_2020-09-26|2021-05-13_2021-05-27|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-11-11_2021-11-25|2022-02-11_2022-02-25|2022-04-13_2022-04-27|2022-05-12_2022-05-26|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2023-10-13_2023-10-27|2024-01-12_2024-01-26|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2025-02-13_2025-02-27|2025-07-16_2025-07-30
0.0,1,CPI y/y,Good,12,6,6,50.0,50.0,1.0,2019-10-11_2019-10-25|2022-08-11_2022-08-25|2022-11-11_2022-11-25|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-11-15_2023-11-29|2024-06-13_2024-06-27|2024-07-12_2024-07-26|2025-03-13_2025-03-27|2025-06-12_2025-06-26|2025-08-13_2025-08-27|2026-02-14_2026-02-28
0.1,1,CPI y/y,Neutral,21,19,2,90.5,9.5,9.5,2018-01-13_2018-01-27|2018-03-14_2018-03-28|2018-05-11_2018-05-25|2019-04-11_2019-04-25|2020-10-14_2020-10-28|2020-12-11_2020-12-25|2021-02-11_2021-02-25|2021-03-11_2021-03-25|2021-09-15_2021-09-29|2021-12-11_2021-12-25|2022-01-13_2022-01-27|2022-04-13_2022-04-27|2023-03-15_2023-03-29|2023-06-14_2023-06-28|2023-11-15_2023-11-29|2024-05-16_2024-05-30|2024-09-12_2024-09-26|2025-01-16_2025-01-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2026-01-14_2026-01-28
0.1,1,CPI y/y,Bad,21,15,6,71.4,28.6,2.5,2018-02-15_2018-03-01|2019-08-14_2019-08-28|2019-12-12_2019-12-26|2020-08-13_2020-08-27|2020-09-12_2020-09-26|2021-05-13_2021-05-27|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-11-11_2021-11-25|2022-02-11_2022-02-25|2022-05-12_2022-05-26|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2023-10-13_2023-10-27|2024-01-12_2024-01-26|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2025-02-13_2025-02-27|2025-07-16_2025-07-30
0.1,1,CPI y/y,Good,9,3,6,33.3,66.7,0.5,2019-10-11_2019-10-25|2022-08-11_2022-08-25|2022-11-11_2022-11-25|2023-07-13_2023-07-27|2024-06-13_2024-06-27|2024-07-12_2024-07-26|2025-03-13_2025-03-27|2025-06-12_2025-06-26|2026-02-14_2026-02-28
0.2,1,CPI y/y,Neutral,40,29,11,72.5,27.5,2.64,2018-01-13_2018-01-27|2018-03-14_2018-03-28|2018-05-11_2018-05-25|2019-04-11_2019-04-25|2019-08-14_2019-08-28|2019-10-11_2019-10-25|2019-12-12_2019-12-26|2020-09-12_2020-09-26|2020-10-14_2020-10-28|2020-12-11_2020-12-25|2021-02-11_2021-02-25|2021-03-11_2021-03-25|2021-08-12_2021-08-26|2021-09-15_2021-09-29|2021-12-11_2021-12-25|2022-01-13_2022-01-27|2022-04-13_2022-04-27|2022-08-11_2022-08-25|2023-03-15_2023-03-29|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-09-14_2023-09-28|2023-10-13_2023-10-27|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2024-05-16_2024-05-30|2024-06-13_2024-06-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2025-01-16_2025-01-30|2025-02-13_2025-02-27|2025-03-13_2025-03-27|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2026-01-14_2026-01-28|2026-02-14_2026-02-28
0.2,1,CPI y/y,Bad,10,8,2,80.0,20.0,4.0,2018-02-15_2018-03-01|2020-08-13_2020-08-27|2021-05-13_2021-05-27|2021-06-11_2021-06-25|2021-11-11_2021-11-25|2022-02-11_2022-02-25|2022-05-12_2022-05-26|2022-06-11_2022-06-25|2022-09-14_2022-09-28|2023-02-15_2023-03-01
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2022-11-11_2022-11-25
0.3,1,CPI y/y,Neutral,49,35,14,71.4,28.6,2.5,2018-01-13_2018-01-27|2018-02-15_2018-03-01|2018-03-14_2018-03-28|2018-05-11_2018-05-25|2019-04-11_2019-04-25|2019-08-14_2019-08-28|2019-10-11_2019-10-25|2019-12-12_2019-12-26|2020-09-12_2020-09-26|2020-10-14_2020-10-28|2020-12-11_2020-12-25|2021-02-11_2021-02-25|2021-03-11_2021-03-25|2021-06-11_2021-06-25|2021-08-12_2021-08-26|2021-09-15_2021-09-29|2021-11-11_2021-11-25|2021-12-11_2021-12-25|2022-01-13_2022-01-27|2022-02-11_2022-02-25|2022-04-13_2022-04-27|2022-05-12_2022-05-26|2022-06-11_2022-06-25|2022-08-11_2022-08-25|2022-09-14_2022-09-28|2022-11-11_2022-11-25|2023-02-15_2023-03-01|2023-03-15_2023-03-29|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-09-14_2023-09-28|2023-10-13_2023-10-27|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2024-05-16_2024-05-30|2024-06-13_2024-06-27|2024-07-12_2024-07-26|2024-09-12_2024-09-26|2025-01-16_2025-01-30|2025-02-13_2025-02-27|2025-03-13_2025-03-27|2025-06-12_2025-06-26|2025-07-16_2025-07-30|2025-08-13_2025-08-27|2025-09-12_2025-09-26|2026-01-14_2026-01-28|2026-02-14_2026-02-28
