آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Bad,17,14,3,82.4,17.6,4.67,2020-08-12_2020-08-26|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-09-11_2021-09-25|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-08-12_2023-08-26|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2024-09-13_2024-09-27|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.0,1,Core PPI m/m,Good,16,11,5,68.8,31.2,2.2,2020-12-12_2020-12-26|2021-11-10_2021-11-24|2022-07-15_2022-07-29|2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-07-14_2023-07-28|2023-11-16_2023-11-30|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2025-11-26_2025-12-10
0.0,1,Core PPI m/m,Neutral,6,6,0,100.0,0.0,inf,2023-09-15_2023-09-29|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2026-01-15_2026-01-29
0.1,1,Core PPI m/m,Bad,14,12,2,85.7,14.3,6.0,2020-08-12_2020-08-26|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-07-15_2021-07-29|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2020-12-12_2020-12-26|2021-09-11_2021-09-25|2021-11-10_2021-11-24|2022-07-15_2022-07-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,Core PPI m/m,Good,11,7,4,63.6,36.4,1.75,2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-01-13_2024-01-27|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.2,1,Core PPI m/m,Bad,11,9,2,81.8,18.2,4.5,2020-08-12_2020-08-26|2021-04-10_2021-04-24|2021-05-14_2021-05-28|2021-07-15_2021-07-29|2021-12-15_2021-12-29|2022-04-14_2022-04-28|2024-02-17_2024-03-02|2024-05-15_2024-05-29|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.2,1,Core PPI m/m,Neutral,21,18,3,85.7,14.3,6.0,2020-12-12_2020-12-26|2021-06-16_2021-06-30|2021-09-11_2021-09-25|2021-11-10_2021-11-24|2022-07-15_2022-07-29|2022-09-15_2022-09-29|2022-12-10_2022-12-24|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-01-13_2024-01-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.2,1,Core PPI m/m,Good,7,4,3,57.1,42.9,1.33,2022-11-16_2022-11-30|2023-03-16_2023-03-30|2023-11-16_2023-11-30|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-09-11_2025-09-25
0.3,1,Core PPI m/m,Bad,8,8,0,100.0,0.0,inf,2020-08-12_2020-08-26|2021-04-10_2021-04-24|2021-07-15_2021-07-29|2022-04-14_2022-04-28|2024-02-17_2024-03-02|2025-08-15_2025-08-29|2026-01-31_2026-02-14|2026-02-28_2026-03-14
0.3,1,Core PPI m/m,Neutral,27,21,6,77.8,22.2,3.5,2020-12-12_2020-12-26|2021-05-14_2021-05-28|2021-06-16_2021-06-30|2021-09-11_2021-09-25|2021-11-10_2021-11-24|2021-12-15_2021-12-29|2022-07-15_2022-07-29|2022-09-15_2022-09-29|2022-11-16_2022-11-30|2022-12-10_2022-12-24|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-11-16_2023-11-30|2024-01-13_2024-01-27|2024-05-15_2024-05-29|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-06-13_2025-06-27|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.3,1,Core PPI m/m,Good,4,2,2,50.0,50.0,1.0,2023-03-16_2023-03-30|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-09-11_2025-09-25
