آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.0,1,CPI m/m,Good,2,1,1,50.0,50.0,1.0,2021-09-12_2021-09-16|2023-11-11_2023-11-15
0.0,1,CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-10-12_2021-10-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-05-10_2022-05-14|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.1,1,CPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.1,1,CPI m/m,Good,1,1,0,100.0,0.0,inf,2021-09-12_2021-09-16
0.1,1,CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-10-12_2021-10-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.2,1,CPI m/m,Neutral,15,12,3,80.0,20.0,4.0,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.3,1,CPI m/m,Neutral,15,12,3,80.0,20.0,4.0,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-06_2021-11-10
0.0,1,Core CPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2021-01-10_2021-01-14|2021-10-12_2021-10-16|2021-12-06_2021-12-10|2024-08-12_2024-08-16
0.0,1,Core CPI m/m,Good,6,4,2,66.7,33.3,2.0,2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2022-04-10_2022-04-14|2023-11-11_2023-11-15|2025-01-14_2025-01-18
0.0,1,Core CPI m/m,Bad,6,6,0,100.0,0.0,inf,2021-11-06_2021-11-10|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.1,1,Core CPI m/m,Neutral,8,5,3,62.5,37.5,1.67,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-10-12_2021-10-16|2021-12-06_2021-12-10|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.1,1,Core CPI m/m,Good,3,3,0,100.0,0.0,inf,2021-08-08_2021-08-12|2021-09-12_2021-09-16|2022-04-10_2022-04-14
0.1,1,Core CPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-11-06_2021-11-10|2022-05-10_2022-05-14|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.2,1,Core CPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
0.3,1,Core CPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
0.0,1,PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2021-09-07_2021-09-11|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.0,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2021-10-12_2021-10-16|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.0,1,PPI m/m,Neutral,5,5,0,100.0,0.0,inf,2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.1,1,PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.1,1,PPI m/m,Neutral,9,9,0,100.0,0.0,inf,2021-09-07_2021-09-11|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.1,1,PPI m/m,Good,5,2,3,40.0,60.0,0.67,2023-03-11_2023-03-15|2023-11-11_2023-11-15|2025-01-14_2025-01-18|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.2,1,PPI m/m,Bad,4,4,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.2,1,PPI m/m,Neutral,10,9,1,90.0,10.0,9.0,2021-09-07_2021-09-11|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.2,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2023-03-11_2023-03-15|2023-11-11_2023-11-15|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.3,1,PPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12
0.3,1,PPI m/m,Neutral,12,11,1,91.7,8.3,11.0,2021-09-07_2021-09-11|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.3,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2023-03-11_2023-03-15|2023-11-11_2023-11-15|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.0,1,Core PPI m/m,Bad,5,5,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2021-09-07_2021-09-11|2022-04-10_2022-04-14|2024-03-10_2024-03-14
0.0,1,Core PPI m/m,Good,12,9,3,75.0,25.0,3.0,2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-05-14_2025-05-18|2025-09-06_2025-09-10|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.0,1,Core PPI m/m,Neutral,1,1,0,100.0,0.0,inf,2024-04-09_2024-04-13
0.1,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.1,1,Core PPI m/m,Neutral,6,6,0,100.0,0.0,inf,2021-09-07_2021-09-11|2021-11-06_2021-11-10|2022-06-14_2022-06-18|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-11-25_2025-11-29
0.1,1,Core PPI m/m,Good,9,6,3,66.7,33.3,2.0,2021-10-12_2021-10-16|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-05-14_2025-05-18|2025-09-06_2025-09-10|2026-01-14_2026-01-18
0.2,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.2,1,Core PPI m/m,Neutral,10,9,1,90.0,10.0,9.0,2021-09-07_2021-09-11|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.2,1,Core PPI m/m,Good,5,3,2,60.0,40.0,1.5,2021-10-12_2021-10-16|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2021-04-05_2021-04-09|2021-08-08_2021-08-12|2022-04-10_2022-04-14
0.3,1,Core PPI m/m,Neutral,12,10,2,83.3,16.7,5.0,2021-09-07_2021-09-11|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2022-06-14_2022-06-18|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-11-25_2025-11-29|2026-01-14_2026-01-18
0.3,1,Core PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-03-11_2023-03-15|2025-05-14_2025-05-18|2025-09-06_2025-09-10
0.0,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-04-30_2023-05-04|2024-12-15_2024-12-19
0.1,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-04-30_2023-05-04|2024-12-15_2024-12-19
0.2,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-04-30_2023-05-04|2024-12-15_2024-12-19
0.3,1,FOMC,Neutral,2,2,0,100.0,0.0,inf,2023-04-30_2023-05-04|2024-12-15_2024-12-19
0.0,1,CPI y/y,Neutral,6,4,2,66.7,33.3,2.0,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-12-06_2021-12-10|2023-03-11_2023-03-15|2025-01-14_2025-01-18
0.0,1,CPI y/y,Bad,8,8,0,100.0,0.0,inf,2021-08-08_2021-08-12|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.0,1,CPI y/y,Good,3,1,2,33.3,66.7,0.5,2023-11-11_2023-11-15|2024-08-12_2024-08-16|2025-12-15_2025-12-19
0.1,1,CPI y/y,Neutral,8,5,3,62.5,37.5,1.67,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-09-12_2021-09-16|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2025-01-14_2025-01-18
0.1,1,CPI y/y,Bad,7,7,0,100.0,0.0,inf,2021-08-08_2021-08-12|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2022-05-10_2022-05-14|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2025-02-08_2025-02-12
0.1,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2024-08-12_2024-08-16|2025-12-15_2025-12-19
0.2,1,CPI y/y,Neutral,14,11,3,78.6,21.4,3.67,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
0.2,1,CPI y/y,Bad,2,2,0,100.0,0.0,inf,2021-11-06_2021-11-10|2022-05-10_2022-05-14
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-15_2025-12-19
0.3,1,CPI y/y,Neutral,16,13,3,81.2,18.8,4.33,2021-01-10_2021-01-14|2021-03-06_2021-03-10|2021-08-08_2021-08-12|2021-09-12_2021-09-16|2021-10-12_2021-10-16|2021-11-06_2021-11-10|2021-12-06_2021-12-10|2022-04-10_2022-04-14|2022-05-10_2022-05-14|2023-03-11_2023-03-15|2023-11-11_2023-11-15|2024-03-10_2024-03-14|2024-04-09_2024-04-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-02-08_2025-02-12
