آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Good,14,10,4,71.4,28.6,2.5,2018-09-14_2018-10-13|2019-03-13_2019-04-11|2019-05-11_2019-06-09|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-11-13_2020-12-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2025-05-14_2025-06-12|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.0,1,CPI y/y,Neutral,3,3,0,100.0,0.0,inf,2019-01-12_2019-02-10|2020-10-14_2020-11-12|2025-09-12_2025-10-11
0.0,1,CPI y/y,Bad,6,6,0,100.0,0.0,inf,2021-06-11_2021-07-10|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2023-09-14_2023-10-13|2024-10-11_2024-11-09|2025-07-16_2025-08-14
0.1,1,CPI y/y,Neutral,7,6,1,85.7,14.3,6.0,2018-09-14_2018-10-13|2019-01-12_2019-02-10|2020-10-14_2020-11-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2025-09-12_2025-10-11
0.1,1,CPI y/y,Good,10,7,3,70.0,30.0,2.33,2019-03-13_2019-04-11|2019-05-11_2019-06-09|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-11-13_2020-12-12|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2025-05-14_2025-06-12|2025-12-19_2026-01-17|2026-02-14_2026-03-15
0.1,1,CPI y/y,Bad,6,6,0,100.0,0.0,inf,2021-06-11_2021-07-10|2022-02-11_2022-03-12|2022-07-14_2022-08-12|2023-09-14_2023-10-13|2024-10-11_2024-11-09|2025-07-16_2025-08-14
0.2,1,CPI y/y,Neutral,19,16,3,84.2,15.8,5.33,2018-09-14_2018-10-13|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-05-11_2019-06-09|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-10-14_2020-11-12|2020-11-13_2020-12-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-05-14_2025-06-12|2025-07-16_2025-08-14|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.2,1,CPI y/y,Bad,3,3,0,100.0,0.0,inf,2021-06-11_2021-07-10|2022-02-11_2022-03-12|2022-07-14_2022-08-12
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-19_2026-01-17
0.3,1,CPI y/y,Neutral,21,18,3,85.7,14.3,6.0,2018-09-14_2018-10-13|2019-01-12_2019-02-10|2019-03-13_2019-04-11|2019-05-11_2019-06-09|2020-04-11_2020-05-10|2020-05-13_2020-06-11|2020-10-14_2020-11-12|2020-11-13_2020-12-12|2021-06-11_2021-07-10|2022-02-11_2022-03-12|2023-05-11_2023-06-09|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2023-09-14_2023-10-13|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-05-14_2025-06-12|2025-07-16_2025-08-14|2025-09-12_2025-10-11|2026-02-14_2026-03-15
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2022-07-14_2022-08-12
0.3,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-19_2026-01-17
