آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Good,13,10,3,76.9,23.1,3.33,2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-03-14_2019-03-28|2019-05-10_2019-05-24|2020-05-14_2020-05-28|2020-11-14_2020-11-28|2022-07-15_2022-07-29|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2025-11-26_2025-12-10
0.0,1,Core PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2020-04-10_2020-04-24|2020-10-15_2020-10-29|2021-06-16_2021-06-30|2022-02-16_2022-03-02|2023-08-12_2023-08-26|2026-02-28_2026-03-14
0.0,1,Core PPI m/m,Neutral,4,4,0,100.0,0.0,inf,2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-09-15_2023-09-29|2024-10-12_2024-10-26
0.1,1,Core PPI m/m,Good,8,7,1,87.5,12.5,7.0,2018-09-13_2018-09-27|2019-01-16_2019-01-30|2020-05-14_2020-05-28|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.1,1,Core PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2019-03-14_2019-03-28|2019-05-10_2019-05-24|2020-11-14_2020-11-28|2022-07-15_2022-07-29|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-10-12_2024-10-26|2025-11-26_2025-12-10
0.1,1,Core PPI m/m,Bad,5,5,0,100.0,0.0,inf,2020-04-10_2020-04-24|2020-10-15_2020-10-29|2021-06-16_2021-06-30|2022-02-16_2022-03-02|2026-02-28_2026-03-14
0.2,1,Core PPI m/m,Good,5,4,1,80.0,20.0,4.0,2018-09-13_2018-09-27|2019-01-16_2019-01-30|2024-06-14_2024-06-28|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,Core PPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2019-03-14_2019-03-28|2019-05-10_2019-05-24|2020-04-10_2020-04-24|2020-05-14_2020-05-28|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-06-16_2021-06-30|2022-07-15_2022-07-29|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-07-17_2025-07-31|2025-11-26_2025-12-10
0.2,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2022-02-16_2022-03-02|2026-02-28_2026-03-14
0.3,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2018-09-13_2018-09-27|2019-01-16_2019-01-30|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.3,1,Core PPI m/m,Neutral,17,14,3,82.4,17.6,4.67,2019-03-14_2019-03-28|2019-05-10_2019-05-24|2020-04-10_2020-04-24|2020-05-14_2020-05-28|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-06-16_2021-06-30|2022-07-15_2022-07-29|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-07-17_2025-07-31|2025-11-26_2025-12-10
0.3,1,Core PPI m/m,Bad,2,2,0,100.0,0.0,inf,2022-02-16_2022-03-02|2026-02-28_2026-03-14
