آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Bad,25,15,10,60.0,40.0,1.5,2018-02|2019-04|2019-11|2019-12|2020-08|2020-09|2021-06|2021-07|2021-10|2021-11|2022-01|2022-02|2022-05|2022-06|2022-07|2022-09|2022-10|2023-10|2023-12|2024-01|2024-02|2024-04|2024-10|2025-02|2025-09
0.0,1,CPI m/m,Neutral,24,16,8,66.7,33.3,2.0,2018-03|2018-06|2018-08|2018-11|2019-01|2019-09|2020-10|2021-01|2021-08|2022-03|2023-01|2023-02|2023-03|2023-05|2023-09|2024-03|2024-08|2024-09|2024-11|2024-12|2025-01|2025-07|2025-08|2026-01
0.0,1,CPI m/m,Good,25,17,8,68.0,32.0,2.12,2018-04|2018-05|2018-07|2018-09|2018-10|2019-02|2019-05|2019-10|2020-02|2020-06|2020-11|2021-09|2022-08|2022-11|2023-04|2023-06|2023-07|2023-11|2024-06|2024-07|2025-03|2025-04|2025-05|2025-06|2025-10
0.1,1,CPI m/m,Bad,18,13,5,72.2,27.8,2.6,2018-02|2019-04|2019-11|2020-08|2020-09|2021-06|2021-07|2021-10|2021-11|2022-02|2022-06|2022-07|2022-09|2022-10|2023-10|2024-04|2025-02|2025-09
0.1,1,CPI m/m,Neutral,49,29,20,59.2,40.8,1.45,2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-09|2019-10|2019-12|2020-02|2020-06|2020-10|2020-11|2021-01|2021-08|2022-01|2022-03|2022-05|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-09|2023-11|2023-12|2024-01|2024-02|2024-03|2024-06|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-05|2025-06|2025-07|2025-08|2026-01
0.1,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2019-05|2021-09|2022-08|2022-11|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Neutral,70,47,23,67.1,32.9,2.04,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-04|2019-05|2019-09|2019-10|2019-11|2019-12|2020-02|2020-06|2020-09|2020-10|2020-11|2021-01|2021-06|2021-08|2021-09|2021-10|2022-01|2022-02|2022-03|2022-05|2022-07|2022-08|2022-09|2022-10|2022-11|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01
0.2,1,CPI m/m,Bad,4,1,3,25.0,75.0,0.33,2020-08|2021-07|2021-11|2022-06
0.3,1,CPI m/m,Neutral,71,47,24,66.2,33.8,1.96,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-04|2019-05|2019-09|2019-10|2019-11|2019-12|2020-02|2020-06|2020-08|2020-09|2020-10|2020-11|2021-01|2021-06|2021-08|2021-09|2021-10|2022-01|2022-02|2022-03|2022-05|2022-07|2022-08|2022-09|2022-10|2022-11|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01
0.3,1,CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2021-07|2021-11|2022-06
0.0,1,Core CPI m/m,Bad,24,14,10,58.3,41.7,1.4,2018-02|2018-06|2019-09|2020-08|2020-09|2021-06|2021-07|2021-11|2022-01|2022-02|2022-05|2022-06|2022-07|2022-09|2022-10|2023-03|2023-05|2023-09|2024-02|2024-03|2024-04|2024-09|2024-10|2025-02
0.0,1,Core CPI m/m,Neutral,26,17,9,65.4,34.6,1.89,2018-03|2018-04|2018-07|2018-08|2018-11|2019-01|2019-02|2019-11|2019-12|2020-02|2020-10|2021-01|2021-10|2022-03|2023-01|2023-02|2023-04|2023-06|2023-10|2023-12|2024-01|2024-08|2024-11|2024-12|2025-08|2025-09
0.0,1,Core CPI m/m,Good,24,17,7,70.8,29.2,2.43,2018-05|2018-09|2018-10|2019-04|2019-05|2019-10|2020-06|2020-11|2021-08|2021-09|2022-08|2022-11|2023-07|2023-11|2024-06|2024-07|2025-01|2025-03|2025-04|2025-05|2025-06|2025-07|2025-10|2026-01
0.1,1,Core CPI m/m,Neutral,53,37,16,69.8,30.2,2.31,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-04|2019-05|2019-09|2019-10|2019-11|2019-12|2020-02|2020-06|2020-10|2021-01|2021-10|2022-01|2022-02|2022-03|2022-06|2023-01|2023-02|2023-03|2023-04|2023-06|2023-07|2023-09|2023-10|2023-11|2023-12|2024-01|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-03|2025-05|2025-07|2025-08|2025-09|2025-10|2026-01
0.1,1,Core CPI m/m,Bad,14,8,6,57.1,42.9,1.33,2020-08|2020-09|2021-06|2021-07|2021-11|2022-05|2022-07|2022-09|2022-10|2023-05|2024-02|2024-03|2024-04|2025-02
0.1,1,Core CPI m/m,Good,7,3,4,42.9,57.1,0.75,2020-11|2021-08|2021-09|2022-08|2022-11|2025-04|2025-06
0.2,1,Core CPI m/m,Neutral,71,47,24,66.2,33.8,1.96,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-04|2019-05|2019-09|2019-10|2019-11|2019-12|2020-02|2020-06|2020-09|2020-10|2020-11|2021-01|2021-06|2021-08|2021-09|2021-10|2021-11|2022-01|2022-02|2022-03|2022-05|2022-06|2022-07|2022-08|2022-10|2022-11|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01
0.2,1,Core CPI m/m,Bad,3,1,2,33.3,66.7,0.5,2020-08|2021-07|2022-09
0.3,1,Core CPI m/m,Neutral,72,48,24,66.7,33.3,2.0,2018-02|2018-03|2018-04|2018-05|2018-06|2018-07|2018-08|2018-09|2018-10|2018-11|2019-01|2019-02|2019-04|2019-05|2019-09|2019-10|2019-11|2019-12|2020-02|2020-06|2020-09|2020-10|2020-11|2021-01|2021-06|2021-08|2021-09|2021-10|2021-11|2022-01|2022-02|2022-03|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2026-01
0.3,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2020-08|2021-07
0.0,1,PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-02|2018-10|2019-05|2021-11|2022-05|2022-06|2022-09|2023-12|2024-11|2025-11
0.0,1,PPI m/m,Bad,32,22,10,68.8,31.2,2.2,2018-03|2018-04|2018-06|2018-07|2018-11|2019-04|2019-09|2019-11|2020-02|2020-06|2020-08|2020-09|2020-10|2020-11|2021-06|2021-07|2021-08|2021-09|2022-02|2022-07|2022-10|2023-02|2023-09|2023-10|2024-02|2024-03|2024-07|2024-09|2024-12|2025-02|2025-08|2026-01
0.0,1,PPI m/m,Good,32,18,14,56.2,43.8,1.29,2018-05|2018-08|2018-09|2019-01|2019-02|2019-10|2019-12|2021-01|2021-10|2022-01|2022-03|2022-08|2022-11|2023-01|2023-03|2023-04|2023-05|2023-06|2023-07|2023-11|2024-01|2024-04|2024-06|2024-08|2024-10|2025-01|2025-03|2025-04|2025-05|2025-06|2025-07|2025-09
0.1,1,PPI m/m,Neutral,27,20,7,74.1,25.9,2.86,2018-02|2018-03|2018-05|2018-07|2018-10|2019-01|2019-05|2019-09|2020-09|2020-11|2021-09|2021-10|2021-11|2022-05|2022-06|2022-09|2023-05|2023-07|2023-12|2024-04|2024-07|2024-08|2024-09|2024-10|2024-11|2025-06|2025-11
