آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,17,10,7,58.8,41.2,1.43,2018-02-05_2018-02-14|2019-04-01_2019-04-10|2019-12-07_2019-12-16|2020-07-14_2020-07-23|2020-08-03_2020-08-12|2020-09-02_2020-09-11|2021-07-09_2021-07-18|2021-12-06_2021-12-15|2022-01-05_2022-01-14|2022-05-05_2022-05-14|2022-07-04_2022-07-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-04-04_2024-04-13|2025-02-08_2025-02-17
0.0,1,CPI m/m,Neutral,15,10,5,66.7,33.3,2.0,2018-03-07_2018-03-16|2018-06-05_2018-06-14|2018-08-04_2018-08-13|2019-06-10_2019-06-19|2019-08-09_2019-08-18|2020-01-06_2020-01-15|2020-10-12_2020-10-21|2021-01-10_2021-01-19|2022-03-06_2022-03-15|2023-01-10_2023-01-19|2023-09-07_2023-09-16|2024-03-05_2024-03-14|2024-11-10_2024-11-19|2025-01-09_2025-01-18|2025-08-07_2025-08-16
0.0,1,CPI m/m,Good,18,12,6,66.7,33.3,2.0,2018-04-06_2018-04-15|2018-05-06_2018-05-15|2018-09-13_2018-09-22|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-05-01_2019-05-10|2019-10-08_2019-10-17|2020-02-05_2020-02-14|2020-04-05_2020-04-14|2020-05-05_2020-05-14|2021-09-07_2021-09-16|2022-11-01_2022-11-10|2023-11-06_2023-11-15|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2025-06-08_2025-06-17|2025-10-16_2025-10-25|2026-02-13_2026-02-22
0.1,1,CPI m/m,Bad,11,6,5,54.5,45.5,1.2,2018-02-05_2018-02-14|2019-04-01_2019-04-10|2020-08-03_2020-08-12|2020-09-02_2020-09-11|2021-07-09_2021-07-18|2021-12-06_2021-12-15|2022-07-04_2022-07-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2024-04-04_2024-04-13|2025-02-08_2025-02-17
0.1,1,CPI m/m,Neutral,32,21,11,65.6,34.4,1.91,2018-03-07_2018-03-16|2018-04-06_2018-04-15|2018-05-06_2018-05-15|2018-06-05_2018-06-14|2018-08-04_2018-08-13|2018-09-13_2018-09-22|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-06-10_2019-06-19|2019-08-09_2019-08-18|2019-10-08_2019-10-17|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-07-14_2020-07-23|2020-10-12_2020-10-21|2021-01-10_2021-01-19|2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-05-05_2022-05-14|2023-01-10_2023-01-19|2023-09-07_2023-09-16|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-03-05_2024-03-14|2024-06-03_2024-06-12|2024-11-10_2024-11-19|2025-01-09_2025-01-18|2025-06-08_2025-06-17|2025-08-07_2025-08-16|2026-02-13_2026-02-22
0.1,1,CPI m/m,Good,7,5,2,71.4,28.6,2.5,2019-05-01_2019-05-10|2020-04-05_2020-04-14|2020-05-05_2020-05-14|2021-09-07_2021-09-16|2022-11-01_2022-11-10|2024-07-03_2024-07-12|2025-10-16_2025-10-25
0.2,1,CPI m/m,Neutral,48,30,18,62.5,37.5,1.67,2018-02-05_2018-02-14|2018-03-07_2018-03-16|2018-04-06_2018-04-15|2018-05-06_2018-05-15|2018-06-05_2018-06-14|2018-08-04_2018-08-13|2018-09-13_2018-09-22|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-04-01_2019-04-10|2019-05-01_2019-05-10|2019-06-10_2019-06-19|2019-08-09_2019-08-18|2019-10-08_2019-10-17|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-04-05_2020-04-14|2020-05-05_2020-05-14|2020-07-14_2020-07-23|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-01-10_2021-01-19|2021-09-07_2021-09-16|2021-12-06_2021-12-15|2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-05-05_2022-05-14|2022-07-04_2022-07-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2022-11-01_2022-11-10|2023-01-10_2023-01-19|2023-09-07_2023-09-16|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-03-05_2024-03-14|2024-04-04_2024-04-13|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-11-10_2024-11-19|2025-01-09_2025-01-18|2025-02-08_2025-02-17|2025-06-08_2025-06-17|2025-08-07_2025-08-16|2025-10-16_2025-10-25|2026-02-13_2026-02-22
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-03_2020-08-12|2021-07-09_2021-07-18
0.3,1,CPI m/m,Neutral,49,31,18,63.3,36.7,1.72,2018-02-05_2018-02-14|2018-03-07_2018-03-16|2018-04-06_2018-04-15|2018-05-06_2018-05-15|2018-06-05_2018-06-14|2018-08-04_2018-08-13|2018-09-13_2018-09-22|2018-10-03_2018-10-12|2019-02-10_2019-02-19|2019-04-01_2019-04-10|2019-05-01_2019-05-10|2019-06-10_2019-06-19|2019-08-09_2019-08-18|2019-10-08_2019-10-17|2019-12-07_2019-12-16|2020-01-06_2020-01-15|2020-02-05_2020-02-14|2020-04-05_2020-04-14|2020-05-05_2020-05-14|2020-07-14_2020-07-23|2020-08-03_2020-08-12|2020-09-02_2020-09-11|2020-10-12_2020-10-21|2021-01-10_2021-01-19|2021-09-07_2021-09-16|2021-12-06_2021-12-15|2022-01-05_2022-01-14|2022-03-06_2022-03-15|2022-05-05_2022-05-14|2022-07-04_2022-07-13|2022-09-12_2022-09-21|2022-10-12_2022-10-21|2022-11-01_2022-11-10|2023-01-10_2023-01-19|2023-09-07_2023-09-16|2023-11-06_2023-11-15|2023-12-06_2023-12-15|2024-02-04_2024-02-13|2024-03-05_2024-03-14|2024-04-04_2024-04-13|2024-06-03_2024-06-12|2024-07-03_2024-07-12|2024-11-10_2024-11-19|2025-01-09_2025-01-18|2025-02-08_2025-02-17|2025-06-08_2025-06-17|2025-08-07_2025-08-16|2025-10-16_2025-10-25|2026-02-13_2026-02-22
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-18
