آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,15,9,6,60.0,40.0,1.5,2021-02-11_2021-02-20|2021-03-11_2021-03-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-07-14_2022-07-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-12-12_2024-12-21|2025-02-13_2025-02-22
0.0,1,PPI m/m,Good,9,5,4,55.6,44.4,1.25,2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21
0.0,1,PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2022-05-12_2022-05-21|2023-12-13_2023-12-22|2024-11-14_2024-11-23
0.1,1,PPI m/m,Bad,12,7,5,58.3,41.7,1.4,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-07-14_2022-07-23|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-12-12_2024-12-21|2025-02-13_2025-02-22
0.1,1,PPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-03-11_2021-03-20|2022-05-12_2022-05-21|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2025-06-12_2025-06-21
0.1,1,PPI m/m,Good,7,3,4,42.9,57.1,0.75,2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.2,1,PPI m/m,Bad,9,5,4,55.6,44.4,1.25,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-07-14_2022-07-23|2024-03-13_2024-03-22
0.2,1,PPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21
0.2,1,PPI m/m,Good,4,0,4,0.0,100.0,0.0,2022-08-11_2022-08-20|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.3,1,PPI m/m,Bad,7,4,3,57.1,42.9,1.33,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-07-14_2022-07-23
0.3,1,PPI m/m,Neutral,16,13,3,81.2,18.8,4.33,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-03-11_2022-03-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21
0.3,1,PPI m/m,Good,4,0,4,0.0,100.0,0.0,2022-08-11_2022-08-20|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.0,1,Core PPI m/m,Bad,11,7,4,63.6,36.4,1.75,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21
0.0,1,Core PPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22
0.0,1,Core PPI m/m,Good,11,6,5,54.5,45.5,1.2,2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-07-14_2022-07-23|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21
0.1,1,Core PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23|2024-07-12_2024-07-21
0.1,1,Core PPI m/m,Neutral,9,6,3,66.7,33.3,2.0,2021-03-11_2021-03-20|2022-01-13_2022-01-22|2022-07-14_2022-07-23|2023-07-13_2023-07-22|2024-03-13_2024-03-22|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22
0.1,1,Core PPI m/m,Good,9,5,4,55.6,44.4,1.25,2022-03-11_2022-03-20|2022-05-12_2022-05-21|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21
0.2,1,Core PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2021-02-11_2021-02-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23
0.2,1,Core PPI m/m,Neutral,15,10,5,66.7,33.3,2.0,2021-03-11_2021-03-20|2021-06-11_2021-06-20|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-07-14_2022-07-23|2022-08-11_2022-08-20|2023-07-13_2023-07-22|2023-12-13_2023-12-22|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21
0.2,1,Core PPI m/m,Good,5,2,3,40.0,60.0,0.67,2022-03-11_2022-03-20|2022-11-11_2022-11-20|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23
0.3,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2021-02-11_2021-02-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23
0.3,1,Core PPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2021-03-11_2021-03-20|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-01-13_2022-01-22|2022-05-12_2022-05-21|2022-07-14_2022-07-23|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2023-12-13_2023-12-22|2024-03-13_2024-03-22|2024-06-13_2024-06-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21|2024-11-14_2024-11-23|2024-12-12_2024-12-21|2025-02-13_2025-02-22|2025-06-12_2025-06-21
0.3,1,Core PPI m/m,Good,2,1,1,50.0,50.0,1.0,2022-03-11_2022-03-20|2025-05-14_2025-05-23
0.0,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-12-13_2023-12-22|2024-12-12_2024-12-21
0.0,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-12_2024-09-21
0.1,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-12-13_2023-12-22|2024-12-12_2024-12-21
0.1,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-12_2024-09-21
0.2,1,FOMC,Neutral,2,1,1,50.0,50.0,1.0,2023-12-13_2023-12-22|2024-12-12_2024-12-21
0.2,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-12_2024-09-21
0.3,1,FOMC,Neutral,3,2,1,66.7,33.3,2.0,2023-12-13_2023-12-22|2024-09-12_2024-09-21|2024-12-12_2024-12-21
0.0,2,PPI m/m|Core PPI m/m,Bad|Bad,11,7,4,63.6,36.4,1.75,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-07-12_2024-07-21|2024-09-12_2024-09-21
0.0,2,PPI m/m|Core PPI m/m,Bad|Neutral,3,2,1,66.7,33.3,2.0,2021-03-11_2021-03-20|2024-12-12_2024-12-21|2025-02-13_2025-02-22
0.0,2,PPI m/m|Core PPI m/m,Good|Neutral,1,1,0,100.0,0.0,inf,2022-01-13_2022-01-22
0.0,2,PPI m/m|Core PPI m/m,Good|Good,8,4,4,50.0,50.0,1.0,2022-03-11_2022-03-20|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-06-13_2024-06-22|2025-05-14_2025-05-23|2025-06-12_2025-06-21
0.0,2,PPI m/m|Core PPI m/m,Neutral|Good,2,2,0,100.0,0.0,inf,2022-05-12_2022-05-21|2023-12-13_2023-12-22
0.0,2,PPI m/m|Core PPI m/m,Bad|Good,1,0,1,0.0,100.0,0.0,2022-07-14_2022-07-23
0.0,2,PPI m/m|Core PPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2024-11-14_2024-11-23
0.1,2,PPI m/m|Core PPI m/m,Bad|Bad,8,6,2,75.0,25.0,3.0,2021-02-11_2021-02-20|2021-06-11_2021-06-20|2021-07-14_2021-07-23|2021-08-12_2021-08-21|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2024-02-14_2024-02-23
