آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,11,6,5,54.5,45.5,1.2,2018-01-13_2018-02-11|2018-07-13_2018-08-11|2019-01-12_2019-02-10|2020-10-14_2020-11-12|2021-03-11_2021-04-09|2021-12-11_2022-01-09|2023-01-13_2023-02-11|2025-01-16_2025-02-14|2026-01-14_2026-02-12|2021-09-15_2021-10-14|2022-01-13_2022-02-11
0.0,1,CPI y/y,Bad,15,12,3,80.0,20.0,4.0,2018-02-15_2018-03-16|2019-04-11_2019-05-10|2020-02-14_2020-03-14|2020-03-12_2020-04-10|2020-08-13_2020-09-11|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2023-02-15_2023-03-16|2024-03-13_2024-04-11|2024-10-11_2024-11-09|2020-09-12_2020-10-11|2021-06-11_2021-07-10|2022-07-14_2022-08-12|2024-01-12_2024-02-10
0.0,1,CPI y/y,Good,18,13,5,72.2,27.8,2.6,2018-09-14_2018-10-13|2019-05-11_2019-06-09|2019-06-13_2019-07-12|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-11-13_2020-12-12|2022-12-14_2023-01-12|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2025-10-25_2025-11-23|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-12-19_2026-01-17
0.1,1,CPI y/y,Neutral,19,12,7,63.2,36.8,1.71,2018-01-13_2018-02-11|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2019-01-12_2019-02-10|2019-04-11_2019-05-10|2019-06-13_2019-07-12|2020-03-12_2020-04-10|2020-10-14_2020-11-12|2021-03-11_2021-04-09|2021-12-11_2022-01-09|2023-01-13_2023-02-11|2023-06-14_2023-07-13|2023-08-11_2023-09-09|2025-01-16_2025-02-14|2026-01-14_2026-02-12|2021-09-15_2021-10-14|2022-01-13_2022-02-11|2023-04-13_2023-05-12|2023-05-11_2023-06-09
0.1,1,CPI y/y,Bad,13,10,3,76.9,23.1,3.33,2018-02-15_2018-03-16|2020-02-14_2020-03-14|2020-08-13_2020-09-11|2021-10-14_2021-11-12|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2023-02-15_2023-03-16|2024-03-13_2024-04-11|2024-10-11_2024-11-09|2020-09-12_2020-10-11|2021-06-11_2021-07-10|2022-07-14_2022-08-12|2024-01-12_2024-02-10
0.1,1,CPI y/y,Good,12,9,3,75.0,25.0,3.0,2019-05-11_2019-06-09|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-11-13_2020-12-12|2022-12-14_2023-01-12|2023-07-13_2023-08-11|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2025-10-25_2025-11-23|2025-03-13_2025-04-11|2025-06-12_2025-07-11|2025-12-19_2026-01-17
0.2,1,CPI y/y,Neutral,35,24,11,68.6,31.4,2.18,2018-01-13_2018-02-11|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2019-01-12_2019-02-10|2019-04-11_2019-05-10|2019-05-11_2019-06-09|2019-06-13_2019-07-12|2020-02-14_2020-03-14|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-10-14_2020-11-12|2020-11-13_2020-12-12|2021-03-11_2021-04-09|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2023-01-13_2023-02-11|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-03-13_2024-04-11|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-01-16_2025-02-14|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2020-09-12_2020-10-11|2021-09-15_2021-10-14|2022-01-13_2022-02-11|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2024-01-12_2024-02-10|2025-03-13_2025-04-11|2025-06-12_2025-07-11
0.2,1,CPI y/y,Bad,7,6,1,85.7,14.3,6.0,2018-02-15_2018-03-16|2020-08-13_2020-09-11|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2023-02-15_2023-03-16|2021-06-11_2021-07-10|2022-07-14_2022-08-12
0.2,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2022-12-14_2023-01-12|2025-12-19_2026-01-17
0.3,1,CPI y/y,Neutral,41,29,12,70.7,29.3,2.42,2018-01-13_2018-02-11|2018-02-15_2018-03-16|2018-07-13_2018-08-11|2018-09-14_2018-10-13|2019-01-12_2019-02-10|2019-04-11_2019-05-10|2019-05-11_2019-06-09|2019-06-13_2019-07-12|2020-02-14_2020-03-14|2020-03-12_2020-04-10|2020-05-13_2020-06-11|2020-06-11_2020-07-10|2020-10-14_2020-11-12|2020-11-13_2020-12-12|2021-03-11_2021-04-09|2021-10-14_2021-11-12|2021-12-11_2022-01-09|2022-02-11_2022-03-12|2022-05-12_2022-06-10|2022-12-14_2023-01-12|2023-01-13_2023-02-11|2023-02-15_2023-03-16|2023-06-14_2023-07-13|2023-07-13_2023-08-11|2023-08-11_2023-09-09|2024-03-13_2024-04-11|2024-06-13_2024-07-12|2024-08-15_2024-09-13|2024-10-11_2024-11-09|2025-01-16_2025-02-14|2025-10-25_2025-11-23|2026-01-14_2026-02-12|2020-09-12_2020-10-11|2021-06-11_2021-07-10|2021-09-15_2021-10-14|2022-01-13_2022-02-11|2023-04-13_2023-05-12|2023-05-11_2023-06-09|2024-01-12_2024-02-10|2025-03-13_2025-04-11|2025-06-12_2025-07-11
