آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core CPI m/m,Bad,12,9,3,75.0,25.0,3.0,2018-01-13_2018-01-27|2018-02-15_2018-03-01|2020-08-13_2020-08-27|2022-02-11_2022-02-25|2022-05-12_2022-05-26|2024-03-13_2024-03-27|2024-10-11_2024-10-25|2020-09-12_2020-09-26|2021-06-11_2021-06-25|2022-01-13_2022-01-27|2022-07-14_2022-07-28|2023-05-11_2023-05-25
0.0,1,Core CPI m/m,Neutral,14,10,4,71.4,28.6,2.5,2018-07-13_2018-07-27|2019-01-12_2019-01-26|2020-02-14_2020-02-28|2020-03-12_2020-03-26|2020-10-14_2020-10-28|2021-10-14_2021-10-28|2021-12-11_2021-12-25|2023-01-13_2023-01-27|2023-02-15_2023-03-01|2023-06-14_2023-06-28|2023-08-11_2023-08-25|2024-08-15_2024-08-29|2023-04-13_2023-04-27|2024-01-12_2024-01-26
0.0,1,Core CPI m/m,Good,17,12,5,70.6,29.4,2.4,2018-09-14_2018-09-28|2019-04-11_2019-04-25|2019-05-11_2019-05-25|2019-06-13_2019-06-27|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2021-03-11_2021-03-25|2022-12-14_2022-12-28|2023-07-13_2023-07-27|2024-06-13_2024-06-27|2025-01-16_2025-01-30|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2021-09-15_2021-09-29|2025-03-13_2025-03-27|2025-06-12_2025-06-26
0.1,1,Core CPI m/m,Neutral,32,22,10,68.8,31.2,2.2,2018-01-13_2018-01-27|2018-02-15_2018-03-01|2018-07-13_2018-07-27|2018-09-14_2018-09-28|2019-01-12_2019-01-26|2019-04-11_2019-04-25|2019-05-11_2019-05-25|2019-06-13_2019-06-27|2020-02-14_2020-02-28|2020-03-12_2020-03-26|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-12-14_2022-12-28|2023-01-13_2023-01-27|2023-02-15_2023-03-01|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2025-01-16_2025-01-30|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2022-01-13_2022-01-27|2023-04-13_2023-04-27|2024-01-12_2024-01-26|2025-03-13_2025-03-27
0.1,1,Core CPI m/m,Good,4,4,0,100.0,0.0,inf,2020-05-13_2020-05-27|2020-11-13_2020-11-27|2021-09-15_2021-09-29|2025-06-12_2025-06-26
0.1,1,Core CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2020-08-13_2020-08-27|2022-05-12_2022-05-26|2024-03-13_2024-03-27|2020-09-12_2020-09-26|2021-06-11_2021-06-25|2022-07-14_2022-07-28|2023-05-11_2023-05-25
0.2,1,Core CPI m/m,Neutral,42,30,12,71.4,28.6,2.5,2018-01-13_2018-01-27|2018-02-15_2018-03-01|2018-07-13_2018-07-27|2018-09-14_2018-09-28|2019-01-12_2019-01-26|2019-04-11_2019-04-25|2019-05-11_2019-05-25|2019-06-13_2019-06-27|2020-02-14_2020-02-28|2020-03-12_2020-03-26|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2020-11-13_2020-11-27|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-05-12_2022-05-26|2022-12-14_2022-12-28|2023-01-13_2023-01-27|2023-02-15_2023-03-01|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2025-01-16_2025-01-30|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2020-09-12_2020-09-26|2021-06-11_2021-06-25|2021-09-15_2021-09-29|2022-01-13_2022-01-27|2022-07-14_2022-07-28|2023-04-13_2023-04-27|2023-05-11_2023-05-25|2024-01-12_2024-01-26|2025-03-13_2025-03-27|2025-06-12_2025-06-26
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-27
0.3,1,Core CPI m/m,Neutral,42,30,12,71.4,28.6,2.5,2018-01-13_2018-01-27|2018-02-15_2018-03-01|2018-07-13_2018-07-27|2018-09-14_2018-09-28|2019-01-12_2019-01-26|2019-04-11_2019-04-25|2019-05-11_2019-05-25|2019-06-13_2019-06-27|2020-02-14_2020-02-28|2020-03-12_2020-03-26|2020-05-13_2020-05-27|2020-06-11_2020-06-25|2020-10-14_2020-10-28|2020-11-13_2020-11-27|2021-03-11_2021-03-25|2021-10-14_2021-10-28|2021-12-11_2021-12-25|2022-02-11_2022-02-25|2022-05-12_2022-05-26|2022-12-14_2022-12-28|2023-01-13_2023-01-27|2023-02-15_2023-03-01|2023-06-14_2023-06-28|2023-07-13_2023-07-27|2023-08-11_2023-08-25|2024-03-13_2024-03-27|2024-06-13_2024-06-27|2024-08-15_2024-08-29|2024-10-11_2024-10-25|2025-01-16_2025-01-30|2025-10-25_2025-11-08|2026-01-14_2026-01-28|2020-09-12_2020-09-26|2021-06-11_2021-06-25|2021-09-15_2021-09-29|2022-01-13_2022-01-27|2022-07-14_2022-07-28|2023-04-13_2023-04-27|2023-05-11_2023-05-25|2024-01-12_2024-01-26|2025-03-13_2025-03-27|2025-06-12_2025-06-26
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-13_2020-08-27
