آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,19,12,7,63.2,36.8,1.71,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2020-01-16_2020-01-30|2020-05-14_2020-05-28|2021-10-15_2021-10-29|2023-01-19_2023-02-02|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2022-01-14_2022-01-28|2023-04-14_2023-04-28|2023-05-12_2023-05-26|2024-01-13_2024-01-27|2025-03-14_2025-03-28|2025-06-13_2025-06-27
0.0,1,PPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2018-02-16_2018-03-02|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2022-05-13_2022-05-27|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.0,1,PPI m/m,Bad,19,17,2,89.5,10.5,8.5,2018-07-12_2018-07-26|2019-04-12_2019-04-26|2020-04-10_2020-04-24|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-12-10_2022-12-24|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2024-03-15_2024-03-29|2026-01-31_2026-02-14|2020-09-11_2020-09-25|2021-06-16_2021-06-30|2021-09-11_2021-09-25|2022-07-15_2022-07-29
0.1,1,PPI m/m,Good,11,7,4,63.6,36.4,1.75,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2020-05-14_2020-05-28|2023-01-19_2023-02-02|2023-06-15_2023-06-29|2024-06-14_2024-06-28|2025-01-15_2025-01-29|2022-01-14_2022-01-28|2023-04-14_2023-04-28|2024-01-13_2024-01-27|2025-03-14_2025-03-28
0.1,1,PPI m/m,Neutral,22,14,8,63.6,36.4,1.75,2018-02-16_2018-03-02|2018-07-12_2018-07-26|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2021-10-15_2021-10-29|2022-05-13_2022-05-27|2022-12-10_2022-12-24|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-11-26_2025-12-10|2020-09-11_2020-09-25|2021-09-11_2021-09-25|2023-05-12_2023-05-26|2025-06-13_2025-06-27|2026-01-15_2026-01-29
0.1,1,PPI m/m,Bad,11,11,0,100.0,0.0,inf,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-10-15_2020-10-29|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2026-01-31_2026-02-14|2021-06-16_2021-06-30|2022-07-15_2022-07-29
0.2,1,PPI m/m,Good,7,6,1,85.7,14.3,6.0,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2020-05-14_2020-05-28|2023-01-19_2023-02-02|2024-06-14_2024-06-28|2023-04-14_2023-04-28|2025-03-14_2025-03-28
0.2,1,PPI m/m,Neutral,27,16,11,59.3,40.7,1.45,2018-02-16_2018-03-02|2018-07-12_2018-07-26|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2020-01-16_2020-01-30|2020-04-10_2020-04-24|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2021-10-15_2021-10-29|2022-05-13_2022-05-27|2022-12-10_2022-12-24|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-11-26_2025-12-10|2020-09-11_2020-09-25|2021-09-11_2021-09-25|2022-01-14_2022-01-28|2023-05-12_2023-05-26|2024-01-13_2024-01-27|2025-06-13_2025-06-27|2026-01-15_2026-01-29
0.2,1,PPI m/m,Bad,10,10,0,100.0,0.0,inf,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2023-02-17_2023-03-03|2024-03-15_2024-03-29|2026-01-31_2026-02-14|2021-06-16_2021-06-30|2022-07-15_2022-07-29
0.3,1,PPI m/m,Good,6,5,1,83.3,16.7,5.0,2018-01-12_2018-01-26|2018-09-13_2018-09-27|2020-05-14_2020-05-28|2023-01-19_2023-02-02|2024-06-14_2024-06-28|2023-04-14_2023-04-28
