آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,7,7,0,100.0,0.0,inf,2020-09-02_2020-09-11|2021-05-10_2021-05-19|2021-11-06_2021-11-15|2024-01-05_2024-01-14|2025-02-08_2025-02-17|2019-07-10_2019-07-19|2020-12-01_2020-12-10
0.0,1,CPI m/m,Good,6,6,0,100.0,0.0,inf,2020-11-11_2020-11-20|2025-05-09_2025-05-18|2018-05-06_2018-05-15|2020-06-04_2020-06-13|2022-08-03_2022-08-12|2024-07-03_2024-07-12
0.0,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2021-01-10_2021-01-19|2021-03-01_2021-03-10|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2025-08-07_2025-08-16|2023-08-08_2023-08-17|2024-08-12_2024-08-21
0.1,1,CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-09-02_2020-09-11|2021-05-10_2021-05-19|2021-11-06_2021-11-15|2025-02-08_2025-02-17
0.1,1,CPI m/m,Neutral,14,13,1,92.9,7.1,13.0,2020-11-11_2020-11-20|2021-01-10_2021-01-19|2021-03-01_2021-03-10|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2023-08-08_2023-08-17|2024-08-12_2024-08-21
0.1,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2022-08-03_2022-08-12|2024-07-03_2024-07-12
0.2,1,CPI m/m,Neutral,18,17,1,94.4,5.6,17.0,2020-09-02_2020-09-11|2020-11-11_2020-11-20|2021-01-10_2021-01-19|2021-03-01_2021-03-10|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-02-08_2025-02-17|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-08-12_2024-08-21
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-19|2021-11-06_2021-11-15
0.3,1,CPI m/m,Neutral,18,17,1,94.4,5.6,17.0,2020-09-02_2020-09-11|2020-11-11_2020-11-20|2021-01-10_2021-01-19|2021-03-01_2021-03-10|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-02-08_2025-02-17|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-08-12_2024-08-21
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-05-10_2021-05-19|2021-11-06_2021-11-15
0.0,1,Core CPI m/m,Bad,7,7,0,100.0,0.0,inf,2020-09-02_2020-09-11|2021-05-10_2021-05-19|2021-11-06_2021-11-15|2023-09-07_2023-09-16|2025-02-08_2025-02-17|2019-07-10_2019-07-19|2020-12-01_2020-12-10
0.0,1,Core CPI m/m,Good,7,7,0,100.0,0.0,inf,2020-11-11_2020-11-20|2021-03-01_2021-03-10|2025-05-09_2025-05-18|2018-05-06_2018-05-15|2020-06-04_2020-06-13|2022-08-03_2022-08-12|2024-07-03_2024-07-12
0.0,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-01-10_2021-01-19|2022-03-06_2022-03-15|2024-01-05_2024-01-14|2025-08-07_2025-08-16|2023-08-08_2023-08-17|2024-08-12_2024-08-21
0.1,1,Core CPI m/m,Bad,4,4,0,100.0,0.0,inf,2020-09-02_2020-09-11|2021-05-10_2021-05-19|2021-11-06_2021-11-15|2025-02-08_2025-02-17
0.1,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2020-11-11_2020-11-20|2022-08-03_2022-08-12
0.1,1,Core CPI m/m,Neutral,14,13,1,92.9,7.1,13.0,2021-01-10_2021-01-19|2021-03-01_2021-03-10|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-08-12_2024-08-21
0.2,1,Core CPI m/m,Neutral,19,18,1,94.7,5.3,18.0,2020-09-02_2020-09-11|2020-11-11_2020-11-20|2021-01-10_2021-01-19|2021-03-01_2021-03-10|2021-11-06_2021-11-15|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-02-08_2025-02-17|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-08-12_2024-08-21
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-19
0.3,1,Core CPI m/m,Neutral,19,18,1,94.7,5.3,18.0,2020-09-02_2020-09-11|2020-11-11_2020-11-20|2021-01-10_2021-01-19|2021-03-01_2021-03-10|2021-11-06_2021-11-15|2022-03-06_2022-03-15|2023-09-07_2023-09-16|2024-01-05_2024-01-14|2025-02-08_2025-02-17|2025-05-09_2025-05-18|2025-08-07_2025-08-16|2018-05-06_2018-05-15|2019-07-10_2019-07-19|2020-06-04_2020-06-13|2020-12-01_2020-12-10|2022-08-03_2022-08-12|2023-08-08_2023-08-17|2024-07-03_2024-07-12|2024-08-12_2024-08-21
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05-10_2021-05-19
0.0,1,PPI m/m,Bad,12,10,2,83.3,16.7,5.0,2020-09-02_2020-09-11|2020-11-11_2020-11-20|2021-03-11_2021-03-20|2021-05-10_2021-05-19|2022-02-14_2022-02-23|2022-12-01_2022-12-10|2023-09-07_2023-09-16|2025-02-08_2025-02-17|2025-08-07_2025-08-16|2020-06-04_2020-06-13|2023-08-08_2023-08-17|2024-07-03_2024-07-12
0.0,1,PPI m/m,Neutral,4,3,1,75.0,25.0,3.0,2020-12-11_2020-12-20|2021-11-06_2021-11-15|2022-06-14_2022-06-23|2019-07-10_2019-07-19
0.0,1,PPI m/m,Good,8,6,2,75.0,25.0,3.0,2021-01-10_2021-01-19|2022-03-06_2022-03-15|2024-01-05_2024-01-14|2024-10-11_2024-10-20|2025-05-09_2025-05-18|2018-05-06_2018-05-15|2022-08-03_2022-08-12|2024-08-12_2024-08-21
