آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Bad,5,5,0,100.0,0.0,inf,2018-06-08_2018-06-12|2018-12-14_2018-12-18|2022-09-16_2022-09-20|2023-01-27_2023-01-31|2023-03-17_2023-03-21
0.0,1,FOMC,Neutral,13,11,2,84.6,15.4,5.5,2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-04-24_2020-04-28|2020-06-05_2020-06-09|2020-12-11_2020-12-15|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27
0.0,1,FOMC,Good,3,3,0,100.0,0.0,inf,2019-07-26_2019-07-30|2024-09-13_2024-09-17|2024-12-13_2024-12-17
0.1,1,FOMC,Bad,5,5,0,100.0,0.0,inf,2018-06-08_2018-06-12|2018-12-14_2018-12-18|2022-09-16_2022-09-20|2023-01-27_2023-01-31|2023-03-17_2023-03-21
0.1,1,FOMC,Neutral,13,11,2,84.6,15.4,5.5,2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-04-24_2020-04-28|2020-06-05_2020-06-09|2020-12-11_2020-12-15|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27
0.1,1,FOMC,Good,3,3,0,100.0,0.0,inf,2019-07-26_2019-07-30|2024-09-13_2024-09-17|2024-12-13_2024-12-17
0.2,1,FOMC,Bad,5,5,0,100.0,0.0,inf,2018-06-08_2018-06-12|2018-12-14_2018-12-18|2022-09-16_2022-09-20|2023-01-27_2023-01-31|2023-03-17_2023-03-21
0.2,1,FOMC,Neutral,13,11,2,84.6,15.4,5.5,2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2020-04-24_2020-04-28|2020-06-05_2020-06-09|2020-12-11_2020-12-15|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27
0.2,1,FOMC,Good,3,3,0,100.0,0.0,inf,2019-07-26_2019-07-30|2024-09-13_2024-09-17|2024-12-13_2024-12-17
0.3,1,FOMC,Neutral,19,17,2,89.5,10.5,8.5,2018-06-08_2018-06-12|2018-12-14_2018-12-18|2019-01-25_2019-01-29|2019-03-15_2019-03-19|2019-04-26_2019-04-30|2019-06-14_2019-06-18|2019-07-26_2019-07-30|2020-04-24_2020-04-28|2020-06-05_2020-06-09|2020-12-11_2020-12-15|2023-01-27_2023-01-31|2023-03-17_2023-03-21|2023-09-15_2023-09-19|2024-07-26_2024-07-30|2024-12-13_2024-12-17|2025-03-14_2025-03-18|2025-06-13_2025-06-17|2025-07-25_2025-07-29|2026-01-23_2026-01-27
0.3,1,FOMC,Bad,1,1,0,100.0,0.0,inf,2022-09-16_2022-09-20
0.3,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09-13_2024-09-17
