آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,7,6,1,85.7,14.3,6.0,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.0,1,CPI m/m,Good,6,2,4,33.3,66.7,0.5,2020-11-06_2020-11-20|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-11-02_2023-11-16|2024-05-02_2024-05-16|2025-05-08_2025-05-22
0.0,1,CPI m/m,Neutral,8,3,5,37.5,62.5,0.6,2021-01-28_2021-02-11|2021-07-29_2021-08-12|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14
0.1,1,CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2025-01-30_2025-02-13
0.1,1,CPI m/m,Neutral,13,6,7,46.2,53.8,0.86,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-05-05_2022-05-19|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.1,1,CPI m/m,Good,3,1,2,33.3,66.7,0.5,2022-07-28_2022-08-11|2022-11-03_2022-11-17|2024-05-02_2024-05-16
0.2,1,CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18
0.2,1,CPI m/m,Neutral,18,8,10,44.4,55.6,0.8,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.3,1,CPI m/m,Neutral,19,9,10,47.4,52.6,0.9,2020-07-30_2020-08-13|2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.3,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2021-04-29_2021-05-13|2021-11-04_2021-11-18
0.0,1,Core CPI m/m,Bad,8,6,2,75.0,25.0,3.0,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.0,1,Core CPI m/m,Good,7,3,4,42.9,57.1,0.75,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-11-02_2023-11-16|2025-05-08_2025-05-22
0.0,1,Core CPI m/m,Neutral,6,2,4,33.3,66.7,0.5,2023-02-02_2023-02-16|2023-07-27_2023-08-10|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-07-31_2025-08-14
0.1,1,Core CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-02-01_2024-02-15|2025-01-30_2025-02-13
0.1,1,Core CPI m/m,Good,5,2,3,40.0,60.0,0.67,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2022-07-28_2022-08-11|2022-11-03_2022-11-17
0.1,1,Core CPI m/m,Neutral,9,4,5,44.4,55.6,0.8,2022-01-27_2022-02-10|2023-02-02_2023-02-16|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.2,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-07-30_2020-08-13|2021-04-29_2021-05-13
0.2,1,Core CPI m/m,Neutral,19,9,10,47.4,52.6,0.9,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.3,1,Core CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-07-30_2020-08-13|2021-04-29_2021-05-13
0.3,1,Core CPI m/m,Neutral,19,9,10,47.4,52.6,0.9,2020-11-06_2020-11-20|2021-01-28_2021-02-11|2021-07-29_2021-08-12|2021-11-04_2021-11-18|2022-01-27_2022-02-10|2022-05-05_2022-05-19|2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-02-02_2023-02-16|2023-05-04_2023-05-18|2023-07-27_2023-08-10|2023-11-02_2023-11-16|2024-02-01_2024-02-15|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13|2025-05-08_2025-05-22|2025-07-31_2025-08-14
0.0,1,PPI m/m,Bad,9,2,7,22.2,77.8,0.29,2020-07-30_2020-08-13|2020-11-06_2020-11-20|2021-04-29_2021-05-13|2021-07-29_2021-08-12|2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2026-01-29_2026-02-12
0.0,1,PPI m/m,Neutral,3,3,0,100.0,0.0,inf,2021-11-04_2021-11-18|2022-05-05_2022-05-19|2024-11-08_2024-11-22
0.0,1,PPI m/m,Good,7,2,5,28.6,71.4,0.4,2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-05-04_2023-05-18|2023-11-02_2023-11-16|2024-06-13_2024-06-27|2024-08-01_2024-08-15|2025-05-08_2025-05-22
0.1,1,PPI m/m,Bad,8,2,6,25.0,75.0,0.33,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-07-29_2021-08-12|2023-02-02_2023-02-16|2024-05-02_2024-05-16|2025-01-30_2025-02-13|2025-07-31_2025-08-14|2026-01-29_2026-02-12
0.1,1,PPI m/m,Neutral,6,3,3,50.0,50.0,1.0,2020-11-06_2020-11-20|2021-11-04_2021-11-18|2022-05-05_2022-05-19|2023-05-04_2023-05-18|2024-08-01_2024-08-15|2024-11-08_2024-11-22
0.1,1,PPI m/m,Good,5,2,3,40.0,60.0,0.67,2022-07-28_2022-08-11|2022-11-03_2022-11-17|2023-11-02_2023-11-16|2024-06-13_2024-06-27|2025-05-08_2025-05-22
0.2,1,PPI m/m,Bad,6,2,4,33.3,66.7,0.5,2020-07-30_2020-08-13|2021-04-29_2021-05-13|2021-07-29_2021-08-12|2023-02-02_2023-02-16|2025-07-31_2025-08-14|2026-01-29_2026-02-12
0.2,1,PPI m/m,Neutral,9,3,6,33.3,66.7,0.5,2020-11-06_2020-11-20|2021-11-04_2021-11-18|2022-05-05_2022-05-19|2022-11-03_2022-11-17|2023-05-04_2023-05-18|2024-05-02_2024-05-16|2024-08-01_2024-08-15|2024-11-08_2024-11-22|2025-01-30_2025-02-13
0.2,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2022-07-28_2022-08-11|2023-11-02_2023-11-16|2024-06-13_2024-06-27|2025-05-08_2025-05-22
