آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2020-11-06_2020-11-15|2025-05-08_2025-05-17
0.0,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-04_2021-11-13
0.0,1,CPI m/m,Neutral,2,0,2,0.0,100.0,0.0,2023-05-04_2023-05-13|2024-11-08_2024-11-17
0.1,1,CPI m/m,Neutral,4,0,4,0.0,100.0,0.0,2020-11-06_2020-11-15|2023-05-04_2023-05-13|2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.1,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-04_2021-11-13
0.2,1,CPI m/m,Neutral,4,0,4,0.0,100.0,0.0,2020-11-06_2020-11-15|2023-05-04_2023-05-13|2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.2,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-04_2021-11-13
0.3,1,CPI m/m,Neutral,4,0,4,0.0,100.0,0.0,2020-11-06_2020-11-15|2023-05-04_2023-05-13|2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2021-11-04_2021-11-13
0.0,1,Core CPI m/m,Good,2,0,2,0.0,100.0,0.0,2020-11-06_2020-11-15|2025-05-08_2025-05-17
0.0,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2021-11-04_2021-11-13|2023-05-04_2023-05-13
0.0,1,Core CPI m/m,Neutral,1,0,1,0.0,100.0,0.0,2024-11-08_2024-11-17
0.1,1,Core CPI m/m,Good,1,0,1,0.0,100.0,0.0,2020-11-06_2020-11-15
0.1,1,Core CPI m/m,Bad,2,0,2,0.0,100.0,0.0,2021-11-04_2021-11-13|2023-05-04_2023-05-13
0.1,1,Core CPI m/m,Neutral,2,0,2,0.0,100.0,0.0,2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.2,1,Core CPI m/m,Neutral,5,0,5,0.0,100.0,0.0,2020-11-06_2020-11-15|2021-11-04_2021-11-13|2023-05-04_2023-05-13|2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.3,1,Core CPI m/m,Neutral,5,0,5,0.0,100.0,0.0,2020-11-06_2020-11-15|2021-11-04_2021-11-13|2023-05-04_2023-05-13|2024-11-08_2024-11-17|2025-05-08_2025-05-17
0.0,1,PPI m/m,Bad,2,0,2,0.0,100.0,0.0,2020-11-06_2020-11-15|2026-01-29_2026-02-07
0.0,1,PPI m/m,Neutral,2,0,2,0.0,100.0,0.0,2021-11-04_2021-11-13|2024-11-08_2024-11-17
