آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2018-08|2019-01|2019-08|2019-09|2020-01|2021-01|2021-08|2022-03|2022-04|2023-01|2023-02|2023-03|2023-05|2023-09|2024-08|2024-09|2024-11|2024-12|2026-01
0.0,1,CPI m/m,Good,16,13,3,81.2,18.8,4.33,2018-09|2019-05|2019-10|2020-05|2020-06|2020-11|2022-11|2022-12|2023-04|2023-07|2023-11|2024-06|2024-07|2025-04|2025-05|2025-10
0.0,1,CPI m/m,Bad,22,14,8,63.6,36.4,1.75,2019-04|2019-11|2019-12|2020-03|2020-07|2020-08|2020-09|2021-04|2021-05|2021-10|2021-12|2022-02|2022-05|2022-09|2022-10|2023-10|2023-12|2024-02|2024-04|2024-10|2025-02|2025-09
0.1,1,CPI m/m,Neutral,36,23,13,63.9,36.1,1.77,2018-08|2018-09|2019-01|2019-08|2019-09|2019-10|2019-12|2020-01|2020-03|2020-06|2020-07|2020-11|2021-01|2021-04|2021-08|2022-03|2022-04|2022-05|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-09|2023-11|2023-12|2024-02|2024-06|2024-08|2024-09|2024-10|2024-11|2024-12|2025-05|2026-01
0.1,1,CPI m/m,Bad,14,10,4,71.4,28.6,2.5,2019-04|2019-11|2020-08|2020-09|2021-05|2021-10|2021-12|2022-02|2022-09|2022-10|2023-10|2024-04|2025-02|2025-09
0.1,1,CPI m/m,Good,7,6,1,85.7,14.3,6.0,2019-05|2020-05|2022-11|2022-12|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Neutral,55,37,18,67.3,32.7,2.06,2018-08|2018-09|2019-01|2019-04|2019-05|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-09|2020-11|2021-01|2021-04|2021-08|2021-10|2021-12|2022-02|2022-03|2022-04|2022-05|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-09|2023-10|2023-11|2023-12|2024-02|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-02|2025-04|2025-05|2025-09|2025-10|2026-01
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08|2021-05
0.3,1,CPI m/m,Neutral,56,38,18,67.9,32.1,2.11,2018-08|2018-09|2019-01|2019-04|2019-05|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-05|2020-06|2020-07|2020-08|2020-09|2020-11|2021-01|2021-04|2021-08|2021-10|2021-12|2022-02|2022-03|2022-04|2022-05|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-07|2023-09|2023-10|2023-11|2023-12|2024-02|2024-04|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-02|2025-04|2025-05|2025-09|2025-10|2026-01
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-05
0.0,1,Core CPI m/m,Neutral,18,11,7,61.1,38.9,1.57,2018-08|2019-01|2019-11|2019-12|2020-03|2021-01|2021-10|2021-12|2022-03|2023-01|2023-02|2023-04|2023-10|2023-12|2024-08|2024-11|2024-12|2025-09
0.0,1,Core CPI m/m,Good,20,15,5,75.0,25.0,3.0,2018-09|2019-04|2019-05|2019-10|2020-01|2020-05|2020-06|2020-11|2021-08|2022-04|2022-11|2022-12|2023-07|2023-11|2024-06|2024-07|2025-04|2025-05|2025-10|2026-01
0.0,1,Core CPI m/m,Bad,19,13,6,68.4,31.6,2.17,2019-08|2019-09|2020-07|2020-08|2020-09|2021-04|2021-05|2022-02|2022-05|2022-09|2022-10|2023-03|2023-05|2023-09|2024-02|2024-04|2024-09|2024-10|2025-02
0.1,1,Core CPI m/m,Neutral,41,26,15,63.4,36.6,1.73,2018-08|2018-09|2019-01|2019-04|2019-05|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-03|2020-06|2020-07|2021-01|2021-04|2021-10|2021-12|2022-02|2022-03|2022-12|2023-01|2023-02|2023-03|2023-04|2023-07|2023-09|2023-10|2023-11|2023-12|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-05|2025-09|2025-10|2026-01
