آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,FOMC,Neutral,14,12,2,85.7,14.3,6.0,2021-03-12_2021-03-16|2021-04-23_2021-04-27|2021-07-23_2021-07-27|2022-01-21_2022-01-25|2023-06-09_2023-06-13|2024-01-26_2024-01-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-06-12_2026-06-16
0.0,1,FOMC,Bad,4,3,1,75.0,25.0,3.0,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-06-10_2022-06-14|2023-03-17_2023-03-21
0.0,1,FOMC,Good,2,1,1,50.0,50.0,1.0,2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.1,1,FOMC,Neutral,14,12,2,85.7,14.3,6.0,2021-03-12_2021-03-16|2021-04-23_2021-04-27|2021-07-23_2021-07-27|2022-01-21_2022-01-25|2023-06-09_2023-06-13|2024-01-26_2024-01-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-06-12_2026-06-16
0.1,1,FOMC,Bad,4,3,1,75.0,25.0,3.0,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-06-10_2022-06-14|2023-03-17_2023-03-21
0.1,1,FOMC,Good,2,1,1,50.0,50.0,1.0,2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.2,1,FOMC,Neutral,14,12,2,85.7,14.3,6.0,2021-03-12_2021-03-16|2021-04-23_2021-04-27|2021-07-23_2021-07-27|2022-01-21_2022-01-25|2023-06-09_2023-06-13|2024-01-26_2024-01-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-06-12_2026-06-16
0.2,1,FOMC,Bad,4,3,1,75.0,25.0,3.0,2022-03-11_2022-03-15|2022-04-29_2022-05-03|2022-06-10_2022-06-14|2023-03-17_2023-03-21
0.2,1,FOMC,Good,2,1,1,50.0,50.0,1.0,2025-09-12_2025-09-16|2025-10-24_2025-10-28
0.3,1,FOMC,Neutral,18,15,3,83.3,16.7,5.0,2021-03-12_2021-03-16|2021-04-23_2021-04-27|2021-07-23_2021-07-27|2022-01-21_2022-01-25|2022-03-11_2022-03-15|2023-03-17_2023-03-21|2023-06-09_2023-06-13|2024-01-26_2024-01-30|2024-06-07_2024-06-11|2024-07-26_2024-07-30|2025-03-14_2025-03-18|2025-05-02_2025-05-06|2025-06-13_2025-06-17|2025-09-12_2025-09-16|2025-10-24_2025-10-28|2026-01-23_2026-01-27|2026-03-13_2026-03-17|2026-06-12_2026-06-16
0.3,1,FOMC,Bad,2,1,1,50.0,50.0,1.0,2022-04-29_2022-05-03|2022-06-10_2022-06-14
