آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,27,20,7,74.1,25.9,2.86,2018-01-12_2018-01-21|2018-05-10_2018-05-19|2018-09-13_2018-09-22|2019-01-16_2019-01-25|2019-02-15_2019-02-24|2019-10-09_2019-10-18|2020-01-16_2020-01-25|2020-05-14_2020-05-23|2021-01-16_2021-01-25|2021-10-15_2021-10-24|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-05-12_2023-05-21|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-11-16_2023-11-25|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2024-06-14_2024-06-23|2024-10-12_2024-10-21|2025-01-15_2025-01-24|2025-06-13_2025-06-22|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.0,1,PPI m/m,Neutral,11,9,2,81.8,18.2,4.5,2018-02-16_2018-02-25|2018-10-11_2018-10-20|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2022-05-13_2022-05-22|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2023-12-14_2023-12-23|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.0,1,PPI m/m,Bad,21,17,4,81.0,19.0,4.25,2018-04-11_2018-04-20|2018-11-10_2018-11-19|2019-09-12_2019-09-21|2019-11-15_2019-11-24|2020-06-12_2020-06-21|2020-08-12_2020-08-21|2020-09-11_2020-09-20|2020-10-15_2020-10-24|2020-11-14_2020-11-23|2021-02-18_2021-02-27|2021-03-13_2021-03-22|2021-08-13_2021-08-22|2022-10-13_2022-10-22|2022-12-10_2022-12-19|2023-02-17_2023-02-26|2023-08-12_2023-08-21|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-09-13_2024-09-22|2024-12-13_2024-12-22|2026-02-28_2026-03-09
0.1,1,PPI m/m,Good,18,13,5,72.2,27.8,2.6,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-02-15_2019-02-24|2019-10-09_2019-10-18|2020-05-14_2020-05-23|2021-01-16_2021-01-25|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-06-15_2023-06-24|2023-11-16_2023-11-25|2024-01-13_2024-01-22|2024-06-14_2024-06-23|2025-01-15_2025-01-24|2025-07-17_2025-07-26|2025-09-11_2025-09-20
0.1,1,PPI m/m,Neutral,27,22,5,81.5,18.5,4.4,2018-02-16_2018-02-25|2018-05-10_2018-05-19|2018-10-11_2018-10-20|2019-01-16_2019-01-25|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2020-01-16_2020-01-25|2020-09-11_2020-09-20|2020-11-14_2020-11-23|2021-03-13_2021-03-22|2021-10-15_2021-10-24|2022-05-13_2022-05-22|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2022-12-10_2022-12-19|2023-05-12_2023-05-21|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-12-14_2023-12-23|2024-04-12_2024-04-21|2024-09-13_2024-09-22|2024-10-12_2024-10-21|2025-06-13_2025-06-22|2025-11-26_2025-12-05|2026-01-15_2026-01-24
0.1,1,PPI m/m,Bad,14,11,3,78.6,21.4,3.67,2018-04-11_2018-04-20|2018-11-10_2018-11-19|2019-11-15_2019-11-24|2020-06-12_2020-06-21|2020-08-12_2020-08-21|2020-10-15_2020-10-24|2021-02-18_2021-02-27|2021-08-13_2021-08-22|2022-10-13_2022-10-22|2023-02-17_2023-02-26|2024-03-15_2024-03-24|2024-05-15_2024-05-24|2024-12-13_2024-12-22|2026-02-28_2026-03-09
0.2,1,PPI m/m,Good,10,8,2,80.0,20.0,4.0,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-10-09_2019-10-18|2020-05-14_2020-05-23|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-11-16_2023-11-25|2024-06-14_2024-06-23|2025-09-11_2025-09-20
0.2,1,PPI m/m,Neutral,42,33,9,78.6,21.4,3.67,2018-02-16_2018-02-25|2018-04-11_2018-04-20|2018-05-10_2018-05-19|2018-10-11_2018-10-20|2019-01-16_2019-01-25|2019-02-15_2019-02-24|2019-05-10_2019-05-19|2019-06-12_2019-06-21|2019-07-13_2019-07-22|2019-09-12_2019-09-21|2019-11-15_2019-11-24|2020-01-16_2020-01-25|2020-09-11_2020-09-20|2020-10-15_2020-10-24|2020-11-14_2020-11-23|2021-01-16_2021-01-25|2021-03-13_2021-03-22|2021-10-15_2021-10-24|2022-01-14_2022-01-23|2022-03-16_2022-03-25|2022-05-13_2022-05-22|2022-06-15_2022-06-24|2022-09-15_2022-09-24|2022-10-13_2022-10-22|2022-12-10_2022-12-19|2023-05-12_2023-05-21|2023-06-15_2023-06-24|2023-07-14_2023-07-23|2023-08-12_2023-08-21|2023-12-14_2023-12-23|2024-01-13_2024-01-22|2024-04-12_2024-04-21|2024-05-15_2024-05-24|2024-09-13_2024-09-22|2024-10-12_2024-10-21|2024-12-13_2024-12-22|2025-01-15_2025-01-24|2025-06-13_2025-06-22|2025-07-17_2025-07-26|2025-11-26_2025-12-05|2026-01-15_2026-01-24|2026-02-28_2026-03-09
0.2,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-11-10_2018-11-19|2020-06-12_2020-06-21|2020-08-12_2020-08-21|2021-02-18_2021-02-27|2021-08-13_2021-08-22|2023-02-17_2023-02-26|2024-03-15_2024-03-24
0.3,1,PPI m/m,Good,10,8,2,80.0,20.0,4.0,2018-01-12_2018-01-21|2018-09-13_2018-09-22|2019-10-09_2019-10-18|2020-05-14_2020-05-23|2023-01-19_2023-01-28|2023-03-16_2023-03-25|2023-04-14_2023-04-23|2023-11-16_2023-11-25|2024-06-14_2024-06-23|2025-09-11_2025-09-20
