آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,ماه‌ها
0.0,1,CPI m/m,Neutral,22,16,6,72.7,27.3,2.67,2018-06|2018-08|2019-03|2019-06|2019-08|2019-09|2020-01|2020-10|2021-02|2021-03|2022-03|2022-04|2023-01|2023-05|2023-08|2023-09|2024-08|2024-09|2024-11|2025-01|2025-08|2026-01
0.0,1,CPI m/m,Good,21,16,5,76.2,23.8,3.2,2018-07|2018-09|2018-10|2019-05|2019-10|2020-04|2020-05|2020-06|2020-11|2021-09|2022-12|2023-04|2023-07|2023-11|2024-05|2024-06|2024-07|2025-03|2025-04|2025-06|2025-10
0.0,1,CPI m/m,Bad,19,14,5,73.7,26.3,2.8,2019-04|2019-12|2020-07|2020-08|2020-09|2021-06|2021-10|2021-12|2022-01|2022-05|2022-06|2022-09|2022-10|2023-10|2023-12|2024-01|2024-04|2024-10|2025-02
0.1,1,CPI m/m,Neutral,41,31,10,75.6,24.4,3.1,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-06|2020-07|2020-10|2020-11|2021-02|2021-03|2022-01|2022-03|2022-04|2022-05|2023-01|2023-04|2023-05|2023-07|2023-08|2023-09|2023-11|2023-12|2024-01|2024-06|2024-08|2024-09|2024-10|2024-11|2025-01|2025-03|2025-06|2025-08|2026-01
0.1,1,CPI m/m,Bad,12,9,3,75.0,25.0,3.0,2019-04|2020-08|2020-09|2021-06|2021-10|2021-12|2022-06|2022-09|2022-10|2023-10|2024-04|2025-02
0.1,1,CPI m/m,Good,9,6,3,66.7,33.3,2.0,2019-05|2020-04|2020-05|2021-09|2022-12|2024-05|2024-07|2025-04|2025-10
0.2,1,CPI m/m,Neutral,60,45,15,75.0,25.0,3.0,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-04|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2021-02|2021-03|2021-06|2021-09|2021-10|2021-12|2022-01|2022-03|2022-04|2022-05|2022-09|2022-10|2022-12|2023-01|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-03|2025-04|2025-06|2025-08|2025-10|2026-01
0.2,1,CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08|2022-06
0.3,1,CPI m/m,Neutral,61,46,15,75.4,24.6,3.07,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2021-02|2021-03|2021-06|2021-09|2021-10|2021-12|2022-01|2022-03|2022-04|2022-05|2022-09|2022-10|2022-12|2023-01|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-03|2025-04|2025-06|2025-08|2025-10|2026-01
0.3,1,CPI m/m,Bad,1,0,1,0.0,100.0,0.0,2022-06
0.0,1,Core CPI m/m,Bad,18,13,5,72.2,27.8,2.6,2018-06|2019-08|2019-09|2020-07|2020-08|2020-09|2021-06|2022-01|2022-05|2022-06|2022-09|2022-10|2023-05|2023-09|2024-04|2024-09|2024-10|2025-02
0.0,1,Core CPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2018-07|2018-08|2019-12|2020-10|2021-10|2021-12|2022-03|2023-01|2023-04|2023-08|2023-10|2023-12|2024-01|2024-05|2024-08|2024-11|2025-08
0.0,1,Core CPI m/m,Good,27,20,7,74.1,25.9,2.86,2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-10|2020-01|2020-04|2020-05|2020-06|2020-11|2021-02|2021-03|2021-09|2022-04|2022-12|2023-07|2023-11|2024-06|2024-07|2025-01|2025-03|2025-04|2025-06|2025-10|2026-01
0.1,1,Core CPI m/m,Neutral,45,31,14,68.9,31.1,2.21,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-06|2020-07|2020-10|2021-03|2021-10|2021-12|2022-01|2022-03|2022-06|2022-12|2023-01|2023-04|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-03|2025-08|2025-10|2026-01
0.1,1,Core CPI m/m,Good,8,8,0,100.0,0.0,inf,2020-04|2020-05|2020-11|2021-02|2021-09|2022-04|2025-04|2025-06
0.1,1,Core CPI m/m,Bad,9,7,2,77.8,22.2,3.5,2020-08|2020-09|2021-06|2022-05|2022-09|2022-10|2023-05|2024-04|2025-02
0.2,1,Core CPI m/m,Neutral,60,45,15,75.0,25.0,3.0,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-04|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2021-02|2021-03|2021-06|2021-09|2021-10|2021-12|2022-01|2022-03|2022-04|2022-05|2022-06|2022-10|2022-12|2023-01|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-03|2025-04|2025-06|2025-08|2025-10|2026-01
0.2,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2020-08|2022-09
0.3,1,Core CPI m/m,Neutral,61,45,16,73.8,26.2,2.81,2018-06|2018-07|2018-08|2018-09|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-10|2019-12|2020-01|2020-04|2020-05|2020-06|2020-07|2020-09|2020-10|2020-11|2021-02|2021-03|2021-06|2021-09|2021-10|2021-12|2022-01|2022-03|2022-04|2022-05|2022-06|2022-09|2022-10|2022-12|2023-01|2023-04|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-03|2025-04|2025-06|2025-08|2025-10|2026-01
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08
0.0,1,PPI m/m,Bad,27,21,6,77.8,22.2,3.5,2018-06|2018-07|2019-04|2019-09|2020-04|2020-06|2020-08|2020-09|2020-10|2020-11|2021-02|2021-03|2021-06|2021-09|2021-12|2022-04|2022-10|2022-12|2023-08|2023-09|2023-10|2024-05|2024-07|2024-09|2025-02|2025-08|2026-01
0.0,1,PPI m/m,Good,25,18,7,72.0,28.0,2.57,2018-08|2018-09|2019-03|2019-10|2019-12|2020-01|2020-05|2020-07|2021-10|2022-01|2022-03|2023-01|2023-04|2023-05|2023-07|2023-11|2024-01|2024-04|2024-06|2024-08|2024-10|2025-01|2025-03|2025-04|2025-06
0.0,1,PPI m/m,Neutral,10,7,3,70.0,30.0,2.33,2018-10|2019-05|2019-06|2019-08|2022-05|2022-06|2022-09|2023-12|2024-11|2025-11
0.1,1,PPI m/m,Bad,16,13,3,81.2,18.8,4.33,2018-06|2019-04|2020-06|2020-08|2020-10|2021-02|2021-06|2021-12|2022-04|2022-10|2023-09|2023-10|2024-05|2025-02|2025-08|2026-01
0.1,1,PPI m/m,Neutral,30,22,8,73.3,26.7,2.75,2018-07|2018-10|2019-03|2019-05|2019-06|2019-08|2019-09|2020-01|2020-04|2020-09|2020-11|2021-03|2021-09|2021-10|2022-05|2022-06|2022-09|2022-12|2023-05|2023-07|2023-08|2023-12|2024-04|2024-07|2024-08|2024-09|2024-10|2024-11|2025-06|2025-11
0.1,1,PPI m/m,Good,16,11,5,68.8,31.2,2.2,2018-08|2018-09|2019-10|2019-12|2020-05|2020-07|2022-01|2022-03|2023-01|2023-04|2023-11|2024-01|2024-06|2025-01|2025-03|2025-04
0.2,1,PPI m/m,Neutral,43,33,10,76.7,23.3,3.3,2018-06|2018-07|2018-08|2018-10|2019-03|2019-05|2019-06|2019-08|2019-09|2019-12|2020-01|2020-04|2020-09|2020-10|2020-11|2021-03|2021-09|2021-10|2022-01|2022-03|2022-05|2022-06|2022-09|2022-10|2022-12|2023-05|2023-07|2023-08|2023-10|2023-12|2024-01|2024-04|2024-05|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-06|2025-11|2026-01
0.2,1,PPI m/m,Good,10,6,4,60.0,40.0,1.5,2018-09|2019-10|2020-05|2020-07|2023-01|2023-04|2023-11|2024-06|2025-03|2025-04
0.2,1,PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2019-04|2020-06|2020-08|2021-02|2021-06|2021-12|2022-04|2023-09|2025-08
0.3,1,PPI m/m,Neutral,48,38,10,79.2,20.8,3.8,2018-06|2018-07|2018-08|2018-10|2019-03|2019-04|2019-05|2019-06|2019-08|2019-09|2019-12|2020-01|2020-04|2020-08|2020-09|2020-10|2020-11|2021-03|2021-09|2021-10|2022-01|2022-03|2022-04|2022-05|2022-06|2022-09|2022-10|2022-12|2023-05|2023-07|2023-08|2023-09|2023-10|2023-12|2024-01|2024-04|2024-05|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-03|2025-06|2025-11|2026-01
0.3,1,PPI m/m,Good,9,5,4,55.6,44.4,1.25,2018-09|2019-10|2020-05|2020-07|2023-01|2023-04|2023-11|2024-06|2025-04
0.3,1,PPI m/m,Bad,5,3,2,60.0,40.0,1.5,2020-06|2021-02|2021-06|2021-12|2025-08
0.0,1,Core PPI m/m,Bad,22,15,7,68.2,31.8,2.14,2018-06|2018-07|2019-04|2019-09|2020-04|2020-08|2020-09|2020-10|2021-02|2021-06|2021-09|2021-12|2022-04|2022-09|2022-12|2023-08|2023-10|2024-05|2024-07|2024-09|2025-08|2026-01
0.0,1,Core PPI m/m,Good,27,19,8,70.4,29.6,2.38,2018-08|2018-09|2019-03|2019-05|2019-08|2019-10|2019-12|2020-01|2020-05|2020-07|2020-11|2021-10|2022-03|2022-05|2022-06|2023-04|2023-07|2023-11|2023-12|2024-01|2024-06|2024-08|2025-01|2025-03|2025-04|2025-06|2025-11
0.0,1,Core PPI m/m,Neutral,13,12,1,92.3,7.7,12.0,2018-10|2019-06|2020-06|2021-03|2022-01|2022-10|2023-01|2023-05|2023-09|2024-04|2024-10|2024-11|2025-02
0.1,1,Core PPI m/m,Neutral,29,24,5,82.8,17.2,4.8,2018-06|2018-07|2018-08|2018-10|2019-03|2019-04|2019-05|2019-06|2019-09|2020-01|2020-06|2020-11|2021-03|2021-09|2022-01|2022-06|2022-10|2023-01|2023-05|2023-07|2023-08|2023-09|2023-10|2024-04|2024-09|2024-10|2024-11|2025-02|2025-11
0.1,1,Core PPI m/m,Good,19,14,5,73.7,26.3,2.8,2018-09|2019-08|2019-10|2019-12|2020-05|2020-07|2021-10|2022-03|2022-05|2023-04|2023-11|2023-12|2024-01|2024-06|2024-08|2025-01|2025-03|2025-04|2025-06
0.1,1,Core PPI m/m,Bad,14,8,6,57.1,42.9,1.33,2020-04|2020-08|2020-09|2020-10|2021-02|2021-06|2021-12|2022-04|2022-09|2022-12|2024-05|2024-07|2025-08|2026-01
0.2,1,Core PPI m/m,Neutral,44,33,11,75.0,25.0,3.0,2018-06|2018-07|2018-08|2018-10|2019-03|2019-04|2019-05|2019-06|2019-09|2020-01|2020-04|2020-05|2020-06|2020-09|2020-10|2020-11|2021-03|2021-06|2021-09|2022-01|2022-05|2022-06|2022-09|2022-10|2022-12|2023-01|2023-05|2023-07|2023-08|2023-09|2023-10|2023-12|2024-01|2024-04|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-06|2025-11|2026-01
0.2,1,Core PPI m/m,Good,12,9,3,75.0,25.0,3.0,2018-09|2019-08|2019-10|2019-12|2020-07|2021-10|2022-03|2023-04|2023-11|2024-06|2025-03|2025-04
0.2,1,Core PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2020-08|2021-02|2021-12|2022-04|2024-05|2025-08
0.3,1,Core PPI m/m,Neutral,49,36,13,73.5,26.5,2.77,2018-06|2018-07|2018-08|2018-10|2019-03|2019-04|2019-05|2019-06|2019-09|2020-01|2020-04|2020-05|2020-06|2020-09|2020-10|2020-11|2021-03|2021-06|2021-09|2021-10|2021-12|2022-01|2022-05|2022-06|2022-09|2022-10|2022-12|2023-01|2023-05|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2025-01|2025-02|2025-06|2025-11|2026-01
0.3,1,Core PPI m/m,Good,9,7,2,77.8,22.2,3.5,2018-09|2019-08|2019-10|2019-12|2020-07|2022-03|2023-04|2025-03|2025-04
0.3,1,Core PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2020-08|2021-02|2022-04|2025-08
0.0,1,FOMC,Neutral,9,5,4,55.6,44.4,1.25,2023-05|2023-07|2023-09|2023-11|2023-12|2024-06|2024-07|2024-11|2025-01
0.0,1,FOMC,Good,1,1,0,100.0,0.0,inf,2024-09
