آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,12,8,4,66.7,33.3,2.0,2020-11-13_2020-11-27|2021-02-11_2021-02-25|2021-06-11_2021-06-25|2021-12-11_2021-12-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-09-12_2024-09-26|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.0,1,PPI m/m,Neutral,2,2,0,100.0,0.0,inf,2020-12-11_2020-12-25|2024-11-14_2024-11-28
0.0,1,PPI m/m,Good,9,7,2,77.8,22.2,3.5,2021-10-14_2021-10-28|2022-03-11_2022-03-25|2023-01-13_2023-01-27|2023-04-13_2023-04-27|2023-07-13_2023-07-27|2024-01-12_2024-01-26|2024-04-11_2024-04-25|2024-10-11_2024-10-25|2025-07-16_2025-07-30
0.1,1,PPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2020-11-13_2020-11-27|2020-12-11_2020-12-25|2021-10-14_2021-10-28|2023-07-13_2023-07-27|2024-04-11_2024-04-25|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28
0.1,1,PPI m/m,Bad,10,6,4,60.0,40.0,1.5,2021-02-11_2021-02-25|2021-06-11_2021-06-25|2021-12-11_2021-12-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-12-12_2024-12-26|2026-02-14_2026-02-28
0.1,1,PPI m/m,Good,5,4,1,80.0,20.0,4.0,2022-03-11_2022-03-25|2023-01-13_2023-01-27|2023-04-13_2023-04-27|2024-01-12_2024-01-26|2025-07-16_2025-07-30
0.2,1,PPI m/m,Neutral,14,12,2,85.7,14.3,6.0,2020-11-13_2020-11-27|2020-12-11_2020-12-25|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2023-07-13_2023-07-27|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-04-11_2024-04-25|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-07-16_2025-07-30|2026-02-14_2026-02-28
0.2,1,PPI m/m,Bad,7,4,3,57.1,42.9,1.33,2021-02-11_2021-02-25|2021-06-11_2021-06-25|2021-12-11_2021-12-25|2022-07-14_2022-07-28|2023-02-15_2023-03-01|2023-09-14_2023-09-28|2024-03-13_2024-03-27
0.2,1,PPI m/m,Good,2,1,1,50.0,50.0,1.0,2023-01-13_2023-01-27|2023-04-13_2023-04-27
0.3,1,PPI m/m,Neutral,17,14,3,82.4,17.6,4.67,2020-11-13_2020-11-27|2020-12-11_2020-12-25|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2023-02-15_2023-03-01|2023-07-13_2023-07-27|2023-09-14_2023-09-28|2024-01-12_2024-01-26|2024-02-14_2024-02-28|2024-03-13_2024-03-27|2024-04-11_2024-04-25|2024-09-12_2024-09-26|2024-10-11_2024-10-25|2024-11-14_2024-11-28|2024-12-12_2024-12-26|2025-07-16_2025-07-30|2026-02-14_2026-02-28
