آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Bad,15,12,3,80.0,20.0,4.0,2020-08-13_2020-08-22|2021-06-11_2021-06-20|2021-10-14_2021-10-23|2021-11-11_2021-11-20|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2025-07-16_2025-07-25
0.0,1,CPI y/y,Good,10,6,4,60.0,40.0,1.5,2020-11-13_2020-11-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-06-13_2024-06-22|2025-06-12_2025-06-21|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.0,1,CPI y/y,Neutral,6,3,3,50.0,50.0,1.0,2020-12-11_2020-12-20|2022-01-13_2022-01-22|2023-12-13_2023-12-22|2024-05-16_2024-05-25|2024-12-12_2024-12-21|2026-01-14_2026-01-23
0.1,1,CPI y/y,Bad,13,10,3,76.9,23.1,3.33,2020-08-13_2020-08-22|2021-06-11_2021-06-20|2021-10-14_2021-10-23|2021-11-11_2021-11-20|2022-02-11_2022-02-20|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2023-02-15_2023-02-24|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2025-07-16_2025-07-25
0.1,1,CPI y/y,Good,8,4,4,50.0,50.0,1.0,2020-11-13_2020-11-22|2022-08-11_2022-08-20|2022-11-11_2022-11-20|2023-07-13_2023-07-22|2024-06-13_2024-06-22|2025-06-12_2025-06-21|2025-10-25_2025-11-03|2026-02-14_2026-02-23
0.1,1,CPI y/y,Neutral,10,7,3,70.0,30.0,2.33,2020-12-11_2020-12-20|2022-01-13_2022-01-22|2022-04-13_2022-04-22|2022-10-14_2022-10-23|2023-08-11_2023-08-20|2023-12-13_2023-12-22|2024-05-16_2024-05-25|2024-12-12_2024-12-21|2025-08-13_2025-08-22|2026-01-14_2026-01-23
0.2,1,CPI y/y,Bad,8,6,2,75.0,25.0,3.0,2020-08-13_2020-08-22|2021-06-11_2021-06-20|2021-11-11_2021-11-20|2022-02-11_2022-02-20|2022-05-12_2022-05-21|2022-09-14_2022-09-23|2023-02-15_2023-02-24|2024-02-14_2024-02-23
0.2,1,CPI y/y,Neutral,22,15,7,68.2,31.8,2.14,2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-10-14_2021-10-23|2022-01-13_2022-01-22|2022-04-13_2022-04-22|2022-08-11_2022-08-20|2022-10-14_2022-10-23|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-12-12_2024-12-21|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2022-11-11_2022-11-20
0.3,1,CPI y/y,Bad,1,0,1,0.0,100.0,0.0,2020-08-13_2020-08-22
0.3,1,CPI y/y,Neutral,30,21,9,70.0,30.0,2.33,2020-11-13_2020-11-22|2020-12-11_2020-12-20|2021-06-11_2021-06-20|2021-10-14_2021-10-23|2021-11-11_2021-11-20|2022-01-13_2022-01-22|2022-02-11_2022-02-20|2022-04-13_2022-04-22|2022-05-12_2022-05-21|2022-08-11_2022-08-20|2022-09-14_2022-09-23|2022-10-14_2022-10-23|2022-11-11_2022-11-20|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2023-09-14_2023-09-23|2023-12-13_2023-12-22|2024-01-12_2024-01-21|2024-02-14_2024-02-23|2024-03-13_2024-03-22|2024-05-16_2024-05-25|2024-06-13_2024-06-22|2024-12-12_2024-12-21|2025-06-12_2025-06-21|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-10-25_2025-11-03|2026-01-14_2026-01-23|2026-02-14_2026-02-23
