آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,17,11,6,64.7,35.3,1.83,2020-08-12_2020-09-10|2020-11-14_2020-12-13|2021-04-10_2021-05-09|2021-06-16_2021-07-15|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-08-15_2025-09-13|2026-01-31_2026-03-01|2026-02-28_2026-03-29
0.0,1,PPI m/m,Good,9,4,5,44.4,55.6,0.8,2021-10-15_2021-11-13|2022-01-14_2022-02-12|2022-08-12_2022-09-10|2023-04-14_2023-05-13|2023-07-14_2023-08-12|2024-01-13_2024-02-11|2024-06-14_2024-07-13|2025-05-16_2025-06-14|2025-06-13_2025-07-12
0.0,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-11-10_2021-12-09|2022-05-13_2022-06-11|2022-09-15_2022-10-14|2023-12-14_2024-01-12|2024-11-15_2024-12-14|2025-11-26_2025-12-25
0.1,1,PPI m/m,Bad,14,8,6,57.1,42.9,1.33,2020-08-12_2020-09-10|2021-04-10_2021-05-09|2021-06-16_2021-07-15|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2024-05-15_2024-06-13|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-08-15_2025-09-13|2026-01-31_2026-03-01|2026-02-28_2026-03-29
0.1,1,PPI m/m,Neutral,12,8,4,66.7,33.3,2.0,2020-11-14_2020-12-13|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-05-13_2022-06-11|2022-09-15_2022-10-14|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-12-14_2024-01-12|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2025-06-13_2025-07-12|2025-11-26_2025-12-25
0.1,1,PPI m/m,Good,6,4,2,66.7,33.3,2.0,2022-01-14_2022-02-12|2022-08-12_2022-09-10|2023-04-14_2023-05-13|2024-01-13_2024-02-11|2024-06-14_2024-07-13|2025-05-16_2025-06-14
0.2,1,PPI m/m,Bad,9,5,4,55.6,44.4,1.25,2020-08-12_2020-09-10|2021-04-10_2021-05-09|2021-06-16_2021-07-15|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2023-02-17_2023-03-18|2023-09-15_2023-10-14|2025-08-15_2025-09-13|2026-01-31_2026-03-01
0.2,1,PPI m/m,Neutral,19,12,7,63.2,36.8,1.71,2020-11-14_2020-12-13|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-01-14_2022-02-12|2022-05-13_2022-06-11|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-12-14_2024-01-12|2024-01-13_2024-02-11|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-02-28_2026-03-29
0.2,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-08-12_2022-09-10|2023-04-14_2023-05-13|2024-06-14_2024-07-13|2025-05-16_2025-06-14
0.3,1,PPI m/m,Neutral,23,13,10,56.5,43.5,1.3,2020-08-12_2020-09-10|2020-11-14_2020-12-13|2021-10-15_2021-11-13|2021-11-10_2021-12-09|2022-01-14_2022-02-12|2022-05-13_2022-06-11|2022-09-15_2022-10-14|2022-10-13_2022-11-11|2023-02-17_2023-03-18|2023-07-14_2023-08-12|2023-08-12_2023-09-10|2023-09-15_2023-10-14|2023-12-14_2024-01-12|2024-01-13_2024-02-11|2024-05-15_2024-06-13|2024-09-13_2024-10-12|2024-11-15_2024-12-14|2024-12-13_2025-01-11|2025-02-14_2025-03-15|2025-06-13_2025-07-12|2025-11-26_2025-12-25|2026-01-31_2026-03-01|2026-02-28_2026-03-29
0.3,1,PPI m/m,Bad,5,4,1,80.0,20.0,4.0,2021-04-10_2021-05-09|2021-06-16_2021-07-15|2022-02-16_2022-03-17|2022-07-15_2022-08-13|2025-08-15_2025-09-13
0.3,1,PPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-08-12_2022-09-10|2023-04-14_2023-05-13|2024-06-14_2024-07-13|2025-05-16_2025-06-14
