آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI y/y,Neutral,7,3,4,42.9,57.1,0.75,2022-03-11_2022-03-20|2023-03-15_2023-03-24|2024-05-16_2024-05-25|2024-09-12_2024-09-21|2025-01-16_2025-01-25|2025-09-12_2025-09-21|2026-01-14_2026-01-23
0.0,1,CPI y/y,Bad,5,1,4,20.0,80.0,0.25,2022-10-14_2022-10-23|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.0,1,CPI y/y,Good,6,4,2,66.7,33.3,2.0,2024-08-15_2024-08-24|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-08-13_2025-08-22|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.1,1,CPI y/y,Neutral,9,4,5,44.4,55.6,0.8,2022-03-11_2022-03-20|2022-10-14_2022-10-23|2023-03-15_2023-03-24|2024-05-16_2024-05-25|2024-09-12_2024-09-21|2025-01-16_2025-01-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-01-14_2026-01-23
0.1,1,CPI y/y,Bad,4,1,3,25.0,75.0,0.33,2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-10-11_2024-10-20|2025-07-16_2025-07-25
0.1,1,CPI y/y,Good,5,3,2,60.0,40.0,1.5,2024-08-15_2024-08-24|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-12-19_2025-12-28|2026-02-14_2026-02-23
0.2,1,CPI y/y,Neutral,17,8,9,47.1,52.9,0.89,2022-03-11_2022-03-20|2022-10-14_2022-10-23|2023-03-15_2023-03-24|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-01-16_2025-01-25|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-19_2025-12-28
0.3,1,CPI y/y,Neutral,17,8,9,47.1,52.9,0.89,2022-03-11_2022-03-20|2022-10-14_2022-10-23|2023-03-15_2023-03-24|2023-09-14_2023-09-23|2024-01-12_2024-01-21|2024-05-16_2024-05-25|2024-08-15_2024-08-24|2024-09-12_2024-09-21|2024-10-11_2024-10-20|2025-01-16_2025-01-25|2025-03-13_2025-03-22|2025-05-14_2025-05-23|2025-07-16_2025-07-25|2025-08-13_2025-08-22|2025-09-12_2025-09-21|2026-01-14_2026-01-23|2026-02-14_2026-02-23
0.3,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2025-12-19_2025-12-28
