آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,Core PPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2021-03-13_2021-03-27|2022-10-13_2022-10-27|2023-09-15_2023-09-29|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2026-01-15_2026-01-29
0.0,1,Core PPI m/m,Bad,10,7,3,70.0,30.0,2.33,2021-05-14_2021-05-28|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-09-15_2022-09-29|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.0,1,Core PPI m/m,Good,14,8,6,57.1,42.9,1.33,2021-10-15_2021-10-29|2021-11-10_2021-11-24|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2022-07-15_2022-07-29|2023-03-16_2023-03-30|2023-07-14_2023-07-28|2024-01-13_2024-01-27|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25|2025-11-26_2025-12-10
0.1,1,Core PPI m/m,Neutral,14,11,3,78.6,21.4,3.67,2021-03-13_2021-03-27|2021-11-10_2021-11-24|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2023-07-14_2023-07-28|2023-09-15_2023-09-29|2024-03-15_2024-03-29|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-02-14_2025-02-28|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.1,1,Core PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2021-05-14_2021-05-28|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-09-15_2022-09-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.1,1,Core PPI m/m,Good,10,5,5,50.0,50.0,1.0,2021-10-15_2021-10-29|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2023-03-16_2023-03-30|2024-01-13_2024-01-27|2024-08-14_2024-08-28|2025-01-15_2025-01-29|2025-05-16_2025-05-30|2025-07-17_2025-07-31|2025-09-11_2025-09-25
0.2,1,Core PPI m/m,Neutral,21,13,8,61.9,38.1,1.62,2021-03-13_2021-03-27|2021-11-10_2021-11-24|2022-05-13_2022-05-27|2022-07-15_2022-07-29|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2023-07-14_2023-07-28|2023-09-15_2023-09-29|2024-01-13_2024-01-27|2024-03-15_2024-03-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-02-14_2025-02-28|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.2,1,Core PPI m/m,Bad,6,5,1,83.3,16.7,5.0,2021-05-14_2021-05-28|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2024-05-15_2024-05-29|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.2,1,Core PPI m/m,Good,5,4,1,80.0,20.0,4.0,2021-10-15_2021-10-29|2022-03-16_2022-03-30|2023-03-16_2023-03-30|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.3,1,Core PPI m/m,Neutral,25,16,9,64.0,36.0,1.78,2021-03-13_2021-03-27|2021-05-14_2021-05-28|2021-10-15_2021-10-29|2021-11-10_2021-11-24|2021-12-15_2021-12-29|2022-05-13_2022-05-27|2022-07-15_2022-07-29|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2023-07-14_2023-07-28|2023-09-15_2023-09-29|2024-01-13_2024-01-27|2024-03-15_2024-03-29|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2024-11-15_2024-11-29|2024-12-13_2024-12-27|2025-01-15_2025-01-29|2025-02-14_2025-02-28|2025-07-17_2025-07-31|2025-11-26_2025-12-10|2026-01-15_2026-01-29
0.3,1,Core PPI m/m,Bad,3,3,0,100.0,0.0,inf,2022-02-16_2022-03-02|2025-08-15_2025-08-29|2026-02-28_2026-03-14
0.3,1,Core PPI m/m,Good,4,3,1,75.0,25.0,3.0,2022-03-16_2022-03-30|2023-03-16_2023-03-30|2025-05-16_2025-05-30|2025-09-11_2025-09-25
