آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Bad,15,12,3,80.0,20.0,4.0,2021-03-13_2021-03-17|2021-05-14_2021-05-18|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-07-15_2022-07-19|2022-10-13_2022-10-17|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2024-09-13_2024-09-17|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2025-08-15_2025-08-19|2026-02-28_2026-03-04
0.0,1,PPI m/m,Good,11,5,6,45.5,54.5,0.83,2021-10-15_2021-10-19|2022-03-16_2022-03-20|2023-03-16_2023-03-20|2023-07-14_2023-07-18|2024-01-13_2024-01-17|2024-08-14_2024-08-18|2024-10-12_2024-10-16|2025-01-15_2025-01-19|2025-05-16_2025-05-20|2025-07-17_2025-07-21|2025-09-11_2025-09-15
0.0,1,PPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2021-11-10_2021-11-14|2022-05-13_2022-05-17|2022-09-15_2022-09-19|2024-11-15_2024-11-19|2025-11-26_2025-11-30|2026-01-15_2026-01-19
0.1,1,PPI m/m,Neutral,13,7,6,53.8,46.2,1.17,2021-03-13_2021-03-17|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-05-13_2022-05-17|2022-09-15_2022-09-19|2023-07-14_2023-07-18|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2025-11-26_2025-11-30|2026-01-15_2026-01-19
0.1,1,PPI m/m,Bad,12,11,1,91.7,8.3,11.0,2021-05-14_2021-05-18|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-07-15_2022-07-19|2022-10-13_2022-10-17|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2024-12-13_2024-12-17|2025-02-14_2025-02-18|2025-08-15_2025-08-19|2026-02-28_2026-03-04
0.1,1,PPI m/m,Good,7,4,3,57.1,42.9,1.33,2022-03-16_2022-03-20|2023-03-16_2023-03-20|2024-01-13_2024-01-17|2025-01-15_2025-01-19|2025-05-16_2025-05-20|2025-07-17_2025-07-21|2025-09-11_2025-09-15
0.2,1,PPI m/m,Neutral,22,14,8,63.6,36.4,1.75,2021-03-13_2021-03-17|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2023-07-14_2023-07-18|2024-01-13_2024-01-17|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-01-15_2025-01-19|2025-02-14_2025-02-18|2025-07-17_2025-07-21|2025-11-26_2025-11-30|2026-01-15_2026-01-19|2026-02-28_2026-03-04
0.2,1,PPI m/m,Bad,7,6,1,85.7,14.3,6.0,2021-05-14_2021-05-18|2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-07-15_2022-07-19|2023-09-15_2023-09-19|2024-03-15_2024-03-19|2025-08-15_2025-08-19
0.2,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-03-16_2023-03-20|2025-05-16_2025-05-20|2025-09-11_2025-09-15
0.3,1,PPI m/m,Neutral,25,17,8,68.0,32.0,2.12,2021-03-13_2021-03-17|2021-05-14_2021-05-18|2021-10-15_2021-10-19|2021-11-10_2021-11-14|2022-03-16_2022-03-20|2022-05-13_2022-05-17|2022-09-15_2022-09-19|2022-10-13_2022-10-17|2023-07-14_2023-07-18|2023-09-15_2023-09-19|2024-01-13_2024-01-17|2024-03-15_2024-03-19|2024-05-15_2024-05-19|2024-07-13_2024-07-17|2024-08-14_2024-08-18|2024-09-13_2024-09-17|2024-10-12_2024-10-16|2024-11-15_2024-11-19|2024-12-13_2024-12-17|2025-01-15_2025-01-19|2025-02-14_2025-02-18|2025-07-17_2025-07-21|2025-11-26_2025-11-30|2026-01-15_2026-01-19|2026-02-28_2026-03-04
0.3,1,PPI m/m,Bad,4,3,1,75.0,25.0,3.0,2021-12-15_2021-12-19|2022-02-16_2022-02-20|2022-07-15_2022-07-19|2025-08-15_2025-08-19
0.3,1,PPI m/m,Good,3,2,1,66.7,33.3,2.0,2023-03-16_2023-03-20|2025-05-16_2025-05-20|2025-09-11_2025-09-15
