آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2021-02-09_2021-02-23|2021-02-24_2021-03-10|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-12-31_2023-01-14|2023-03-01_2023-03-15|2024-03-10_2024-03-24|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2025-01-04_2025-01-18|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-12-30_2026-01-13
0.0,1,CPI m/m,Bad,17,13,4,76.5,23.5,3.25,2021-04-10_2021-04-24|2021-06-09_2021-06-23|2021-07-09_2021-07-23|2021-10-07_2021-10-21|2021-11-06_2021-11-20|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-05-05_2022-05-19|2022-06-04_2022-06-18|2022-07-04_2022-07-18|2022-09-02_2022-09-16|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2023-12-11_2023-12-25|2024-04-09_2024-04-23|2024-10-06_2024-10-20|2025-02-03_2025-02-17
0.0,1,CPI m/m,Good,11,5,6,45.5,54.5,0.83,2021-09-07_2021-09-21|2022-11-01_2022-11-15|2023-06-29_2023-07-13|2023-11-11_2023-11-25|2024-05-09_2024-05-23|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2025-03-05_2025-03-19|2025-04-04_2025-04-18|2025-05-04_2025-05-18|2025-06-03_2025-06-17
0.1,1,CPI m/m,Neutral,24,16,8,66.7,33.3,2.0,2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2022-01-05_2022-01-19|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-05-05_2022-05-19|2022-12-31_2023-01-14|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-06-08_2024-06-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-01-04_2025-01-18|2025-03-05_2025-03-19|2025-05-04_2025-05-18|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-12-30_2026-01-13
0.1,1,CPI m/m,Bad,12,9,3,75.0,25.0,3.0,2021-06-09_2021-06-23|2021-07-09_2021-07-23|2021-10-07_2021-10-21|2021-11-06_2021-11-20|2021-12-06_2021-12-20|2022-06-04_2022-06-18|2022-07-04_2022-07-18|2022-09-02_2022-09-16|2022-10-02_2022-10-16|2023-10-12_2023-10-26|2024-04-09_2024-04-23|2025-02-03_2025-02-17
0.1,1,CPI m/m,Good,5,2,3,40.0,60.0,0.67,2021-09-07_2021-09-21|2022-11-01_2022-11-15|2024-05-09_2024-05-23|2024-07-08_2024-07-22|2025-04-04_2025-04-18
0.2,1,CPI m/m,Neutral,38,25,13,65.8,34.2,1.92,2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2021-06-09_2021-06-23|2021-09-07_2021-09-21|2021-10-07_2021-10-21|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-05-05_2022-05-19|2022-07-04_2022-07-18|2022-09-02_2022-09-16|2022-10-02_2022-10-16|2022-11-01_2022-11-15|2022-12-31_2023-01-14|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-10-12_2023-10-26|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-04-09_2024-04-23|2024-05-09_2024-05-23|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-01-04_2025-01-18|2025-02-03_2025-02-17|2025-03-05_2025-03-19|2025-04-04_2025-04-18|2025-05-04_2025-05-18|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-12-30_2026-01-13
0.2,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-07-09_2021-07-23|2021-11-06_2021-11-20|2022-06-04_2022-06-18
0.3,1,CPI m/m,Neutral,38,25,13,65.8,34.2,1.92,2021-02-09_2021-02-23|2021-02-24_2021-03-10|2021-04-10_2021-04-24|2021-06-09_2021-06-23|2021-09-07_2021-09-21|2021-10-07_2021-10-21|2021-12-06_2021-12-20|2022-01-05_2022-01-19|2022-03-06_2022-03-20|2022-04-05_2022-04-19|2022-05-05_2022-05-19|2022-07-04_2022-07-18|2022-09-02_2022-09-16|2022-10-02_2022-10-16|2022-11-01_2022-11-15|2022-12-31_2023-01-14|2023-03-01_2023-03-15|2023-06-29_2023-07-13|2023-10-12_2023-10-26|2023-11-11_2023-11-25|2023-12-11_2023-12-25|2024-03-10_2024-03-24|2024-04-09_2024-04-23|2024-05-09_2024-05-23|2024-06-08_2024-06-22|2024-07-08_2024-07-22|2024-08-07_2024-08-21|2024-09-06_2024-09-20|2024-10-06_2024-10-20|2025-01-04_2025-01-18|2025-02-03_2025-02-17|2025-03-05_2025-03-19|2025-04-04_2025-04-18|2025-05-04_2025-05-18|2025-06-03_2025-06-17|2025-07-03_2025-07-17|2025-08-02_2025-08-16|2025-12-30_2026-01-13
0.3,1,CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2021-07-09_2021-07-23|2021-11-06_2021-11-20|2022-06-04_2022-06-18
