آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-02-15_2018-03-01|2019-07-12_2019-07-26|2022-05-12_2022-05-26
0.0,1,PPI m/m,Bad,9,7,2,77.8,22.2,3.5,2018-06-13_2018-06-27|2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2020-11-13_2020-11-27|2022-02-11_2022-02-25|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2024-03-13_2024-03-27
0.0,1,PPI m/m,Good,10,8,2,80.0,20.0,4.0,2019-01-12_2019-01-26|2019-12-12_2019-12-26|2020-05-13_2020-05-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-06-13_2024-06-27|2024-10-11_2024-10-25
0.1,1,PPI m/m,Neutral,8,6,2,75.0,25.0,3.0,2018-02-15_2018-03-01|2019-01-12_2019-01-26|2019-07-12_2019-07-26|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-05-12_2022-05-26|2023-08-11_2023-08-25|2024-10-11_2024-10-25
0.1,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-06-13_2018-06-27|2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2022-02-11_2022-02-25|2023-02-15_2023-03-01|2024-03-13_2024-03-27
0.1,1,PPI m/m,Good,7,5,2,71.4,28.6,2.5,2019-12-12_2019-12-26|2020-05-13_2020-05-27|2022-03-11_2022-03-25|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2024-01-12_2024-01-26|2024-06-13_2024-06-27
0.2,1,PPI m/m,Neutral,12,10,2,83.3,16.7,5.0,2018-02-15_2018-03-01|2018-06-13_2018-06-27|2019-01-12_2019-01-26|2019-07-12_2019-07-26|2019-12-12_2019-12-26|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-05-12_2022-05-26|2023-08-11_2023-08-25|2024-01-12_2024-01-26|2024-10-11_2024-10-25
0.2,1,PPI m/m,Bad,6,4,2,66.7,33.3,2.0,2019-04-11_2019-04-25|2020-02-14_2020-02-28|2020-06-11_2020-06-25|2022-02-11_2022-02-25|2023-02-15_2023-03-01|2024-03-13_2024-03-27
0.2,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-27|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2024-06-13_2024-06-27
0.3,1,PPI m/m,Neutral,15,12,3,80.0,20.0,4.0,2018-02-15_2018-03-01|2018-06-13_2018-06-27|2019-01-12_2019-01-26|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2019-12-12_2019-12-26|2020-11-13_2020-11-27|2021-10-14_2021-10-28|2022-03-11_2022-03-25|2022-05-12_2022-05-26|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2024-01-12_2024-01-26|2024-03-13_2024-03-27|2024-10-11_2024-10-25
0.3,1,PPI m/m,Bad,3,2,1,66.7,33.3,2.0,2020-02-14_2020-02-28|2020-06-11_2020-06-25|2022-02-11_2022-02-25
0.3,1,PPI m/m,Good,4,2,2,50.0,50.0,1.0,2020-05-13_2020-05-27|2022-08-11_2022-08-25|2023-11-15_2023-11-29|2024-06-13_2024-06-27
0.0,1,Core PPI m/m,Bad,9,6,3,66.7,33.3,2.0,2018-02-15_2018-03-01|2018-06-13_2018-06-27|2019-04-11_2019-04-25|2019-07-12_2019-07-26|2020-02-14_2020-02-28|2022-02-11_2022-02-25|2023-02-15_2023-03-01|2023-08-11_2023-08-25|2024-03-13_2024-03-27
