آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-02-15_2018-02-24|2019-07-12_2019-07-21|2022-05-12_2022-05-21
0.0,1,PPI m/m,Bad,14,11,3,78.6,21.4,3.67,2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2020-11-13_2020-11-22|2021-03-11_2021-03-20|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2023-08-11_2023-08-20|2024-03-13_2024-03-22|2024-12-12_2024-12-21
0.0,1,PPI m/m,Good,13,10,3,76.9,23.1,3.33,2019-01-12_2019-01-21|2019-12-12_2019-12-21|2020-05-13_2020-05-22|2021-10-14_2021-10-23|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2023-01-13_2023-01-22|2023-07-13_2023-07-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-04-11_2024-04-20|2024-06-13_2024-06-22|2024-10-11_2024-10-20
0.1,1,PPI m/m,Neutral,12,9,3,75.0,25.0,3.0,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2019-01-12_2019-01-21|2019-07-12_2019-07-21|2020-11-13_2020-11-22|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-05-12_2022-05-21|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-04-11_2024-04-20|2024-10-11_2024-10-20
0.1,1,PPI m/m,Bad,10,8,2,80.0,20.0,4.0,2018-06-13_2018-06-22|2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2024-03-13_2024-03-22|2024-12-12_2024-12-21
0.1,1,PPI m/m,Good,8,5,3,62.5,37.5,1.67,2019-12-12_2019-12-21|2020-05-13_2020-05-22|2022-03-11_2022-03-20|2022-08-11_2022-08-20|2023-01-13_2023-01-22|2023-11-15_2023-11-24|2024-01-12_2024-01-21|2024-06-13_2024-06-22
0.2,1,PPI m/m,Neutral,17,13,4,76.5,23.5,3.25,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-01-12_2019-01-21|2019-07-12_2019-07-21|2019-12-12_2019-12-21|2020-11-13_2020-11-22|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-01-12_2024-01-21|2024-04-11_2024-04-20|2024-10-11_2024-10-20|2024-12-12_2024-12-21
0.2,1,PPI m/m,Bad,8,6,2,75.0,25.0,3.0,2019-04-11_2019-04-20|2020-02-14_2020-02-23|2020-06-11_2020-06-20|2021-06-11_2021-06-20|2021-12-11_2021-12-20|2022-02-11_2022-02-20|2023-02-15_2023-02-24|2024-03-13_2024-03-22
0.2,1,PPI m/m,Good,5,3,2,60.0,40.0,1.5,2020-05-13_2020-05-22|2022-08-11_2022-08-20|2023-01-13_2023-01-22|2023-11-15_2023-11-24|2024-06-13_2024-06-22
0.3,1,PPI m/m,Neutral,20,15,5,75.0,25.0,3.0,2018-02-15_2018-02-24|2018-03-14_2018-03-23|2018-06-13_2018-06-22|2019-01-12_2019-01-21|2019-04-11_2019-04-20|2019-07-12_2019-07-21|2019-12-12_2019-12-21|2020-11-13_2020-11-22|2021-03-11_2021-03-20|2021-10-14_2021-10-23|2022-03-11_2022-03-20|2022-05-12_2022-05-21|2023-02-15_2023-02-24|2023-07-13_2023-07-22|2023-08-11_2023-08-20|2024-01-12_2024-01-21|2024-03-13_2024-03-22|2024-04-11_2024-04-20|2024-10-11_2024-10-20|2024-12-12_2024-12-21
