آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-10-11_2018-10-20
0.0,1,CPI m/m,Neutral,3,2,1,66.7,33.3,2.0,2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21
0.0,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.1,1,CPI m/m,Neutral,5,4,1,80.0,20.0,4.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21
0.1,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.2,1,CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,1,CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.0,1,Core CPI m/m,Good,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-10-11_2018-10-20
0.0,1,Core CPI m/m,Neutral,2,2,0,100.0,0.0,inf,2018-12-12_2018-12-21|2023-10-12_2023-10-21
0.0,1,Core CPI m/m,Bad,3,2,1,66.7,33.3,2.0,2019-08-10_2019-08-19|2019-09-12_2019-09-21|2020-08-12_2020-08-21
0.1,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.1,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.2,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,1,Core CPI m/m,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-12-12_2018-12-21
0.0,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2018-10-11_2018-10-20|2019-09-12_2019-09-21
0.0,1,CPI y/y,Bad,3,3,0,100.0,0.0,inf,2019-08-10_2019-08-19|2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.1,1,CPI y/y,Neutral,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-12-12_2018-12-21
0.1,1,CPI y/y,Good,2,1,1,50.0,50.0,1.0,2018-10-11_2018-10-20|2019-09-12_2019-09-21
0.1,1,CPI y/y,Bad,3,3,0,100.0,0.0,inf,2019-08-10_2019-08-19|2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.2,1,CPI y/y,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.2,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,1,CPI y/y,Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.3,1,CPI y/y,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,2,CPI m/m|Core CPI m/m,Good|Good,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-10-11_2018-10-20
0.0,2,CPI m/m|Core CPI m/m,Neutral|Neutral,1,1,0,100.0,0.0,inf,2018-12-12_2018-12-21
0.0,2,CPI m/m|Core CPI m/m,Neutral|Bad,2,1,1,50.0,50.0,1.0,2019-08-10_2019-08-19|2019-09-12_2019-09-21
0.0,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-10-12_2023-10-21
0.1,2,CPI m/m|Core CPI m/m,Neutral|Neutral,5,4,1,80.0,20.0,4.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21
0.1,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.1,2,CPI m/m|Core CPI m/m,Bad|Neutral,1,1,0,100.0,0.0,inf,2023-10-12_2023-10-21
0.2,2,CPI m/m|Core CPI m/m,Neutral|Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.2,2,CPI m/m|Core CPI m/m,Bad|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,2,CPI m/m|Core CPI m/m,Neutral|Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.3,2,CPI m/m|Core CPI m/m,Neutral|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,2,CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2018-05-10_2018-05-19
0.0,2,CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2018-10-11_2018-10-20
0.0,2,CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2018-12-12_2018-12-21
0.0,2,CPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2019-08-10_2019-08-19
0.0,2,CPI m/m|CPI y/y,Neutral|Good,1,0,1,0.0,100.0,0.0,2019-09-12_2019-09-21
0.0,2,CPI m/m|CPI y/y,Bad|Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.1,2,CPI m/m|CPI y/y,Neutral|Neutral,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-12-12_2018-12-21
0.1,2,CPI m/m|CPI y/y,Neutral|Good,2,1,1,50.0,50.0,1.0,2018-10-11_2018-10-20|2019-09-12_2019-09-21
0.1,2,CPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2019-08-10_2019-08-19
0.1,2,CPI m/m|CPI y/y,Bad|Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-21|2023-10-12_2023-10-21
0.2,2,CPI m/m|CPI y/y,Neutral|Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.2,2,CPI m/m|CPI y/y,Bad|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.3,2,CPI m/m|CPI y/y,Neutral|Neutral,6,5,1,83.3,16.7,5.0,2018-05-10_2018-05-19|2018-10-11_2018-10-20|2018-12-12_2018-12-21|2019-08-10_2019-08-19|2019-09-12_2019-09-21|2023-10-12_2023-10-21
0.3,2,CPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-21
0.0,2,Core CPI m/m|CPI y/y,Good|Neutral,1,1,0,100.0,0.0,inf,2018-05-10_2018-05-19
0.0,2,Core CPI m/m|CPI y/y,Good|Good,1,1,0,100.0,0.0,inf,2018-10-11_2018-10-20
0.0,2,Core CPI m/m|CPI y/y,Neutral|Neutral,1,1,0,100.0,0.0,inf,2018-12-12_2018-12-21
0.0,2,Core CPI m/m|CPI y/y,Bad|Bad,2,2,0,100.0,0.0,inf,2019-08-10_2019-08-19|2020-08-12_2020-08-21
0.0,2,Core CPI m/m|CPI y/y,Bad|Good,1,0,1,0.0,100.0,0.0,2019-09-12_2019-09-21
0.0,2,Core CPI m/m|CPI y/y,Neutral|Bad,1,1,0,100.0,0.0,inf,2023-10-12_2023-10-21
0.1,2,Core CPI m/m|CPI y/y,Neutral|Neutral,2,2,0,100.0,0.0,inf,2018-05-10_2018-05-19|2018-12-12_2018-12-21
0.1,2,Core CPI m/m|CPI y/y,Neutral|Good,2,1,1,50.0,50.0,1.0,2018-10-11_2018-10-20|2019-09-12_2019-09-21
