آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-02-10_2018-02-14|2021-07-09_2021-07-13|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2025-09-11_2025-09-15
0.0,1,CPI m/m,Good,5,2,3,40.0,60.0,0.67,2018-10-08_2018-10-12|2019-02-10_2019-02-14|2022-12-11_2022-12-15|2024-07-08_2024-07-12|2025-10-21_2025-10-25
0.0,1,CPI m/m,Neutral,8,7,1,87.5,12.5,7.0,2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-03-06_2022-03-10|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.1,1,CPI m/m,Bad,4,3,1,75.0,25.0,3.0,2018-02-10_2018-02-14|2021-07-09_2021-07-13|2022-02-09_2022-02-13|2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,13,9,4,69.2,30.8,2.25,2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-03-06_2022-03-10|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-08-12_2024-08-16|2025-01-14_2025-01-18
0.1,1,CPI m/m,Good,3,2,1,66.7,33.3,2.0,2022-12-11_2022-12-15|2024-07-08_2024-07-12|2025-10-21_2025-10-25
0.2,1,CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-02-10_2018-02-14|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.2,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.3,1,CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-02-10_2018-02-14|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.0,1,Core CPI m/m,Bad,6,4,2,66.7,33.3,2.0,2018-02-10_2018-02-14|2019-09-08_2019-09-12|2021-07-09_2021-07-13|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2024-02-09_2024-02-13
0.0,1,Core CPI m/m,Good,7,4,3,57.1,42.9,1.33,2018-10-08_2018-10-12|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2022-12-11_2022-12-15|2024-07-08_2024-07-12|2025-01-14_2025-01-18|2025-10-21_2025-10-25
0.0,1,Core CPI m/m,Neutral,7,6,1,85.7,14.3,6.0,2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2022-03-06_2022-03-10|2023-12-11_2023-12-15|2024-08-12_2024-08-16|2025-09-11_2025-09-15
0.1,1,Core CPI m/m,Neutral,18,13,5,72.2,27.8,2.6,2018-02-10_2018-02-14|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-12-11_2023-12-15|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.1,1,Core CPI m/m,Bad,2,1,1,50.0,50.0,1.0,2021-07-09_2021-07-13|2024-02-09_2024-02-13
0.2,1,Core CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-02-10_2018-02-14|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.3,1,Core CPI m/m,Neutral,19,13,6,68.4,31.6,2.17,2018-02-10_2018-02-14|2018-10-08_2018-10-12|2018-12-12_2018-12-16|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2022-01-10_2022-01-14|2022-02-09_2022-02-13|2022-03-06_2022-03-10|2022-12-11_2022-12-15|2023-12-11_2023-12-15|2024-02-09_2024-02-13|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2025-01-14_2025-01-18|2025-09-11_2025-09-15|2025-10-21_2025-10-25
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-07-09_2021-07-13
0.0,1,PPI m/m,Bad,7,5,2,71.4,28.6,2.5,2018-04-06_2018-04-10|2019-04-11_2019-04-15|2019-09-08_2019-09-12|2020-02-15_2020-02-19|2020-04-05_2020-04-09|2024-02-14_2024-02-18|2024-07-08_2024-07-12
0.0,1,PPI m/m,Neutral,3,1,2,33.3,66.7,0.5,2018-10-08_2018-10-12|2019-06-10_2019-06-14|2023-12-11_2023-12-15
0.0,1,PPI m/m,Good,10,8,2,80.0,20.0,4.0,2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-12-12_2019-12-16|2022-01-10_2022-01-14|2023-06-14_2023-06-18|2024-06-13_2024-06-17|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2025-01-14_2025-01-18
0.1,1,PPI m/m,Bad,4,2,2,50.0,50.0,1.0,2018-04-06_2018-04-10|2019-04-11_2019-04-15|2020-02-15_2020-02-19|2024-02-14_2024-02-18
0.1,1,PPI m/m,Neutral,10,8,2,80.0,20.0,4.0,2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2020-04-05_2020-04-09|2023-12-11_2023-12-15|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-11_2024-10-15
0.1,1,PPI m/m,Good,6,4,2,66.7,33.3,2.0,2019-02-10_2019-02-14|2019-12-12_2019-12-16|2022-01-10_2022-01-14|2023-06-14_2023-06-18|2024-06-13_2024-06-17|2025-01-14_2025-01-18
0.2,1,PPI m/m,Neutral,17,12,5,70.6,29.4,2.4,2018-04-06_2018-04-10|2018-10-08_2018-10-12|2019-01-11_2019-01-15|2019-02-10_2019-02-14|2019-03-12_2019-03-16|2019-06-10_2019-06-14|2019-09-08_2019-09-12|2019-12-12_2019-12-16|2020-04-05_2020-04-09|2022-01-10_2022-01-14|2023-06-14_2023-06-18|2023-12-11_2023-12-15|2024-02-14_2024-02-18|2024-07-08_2024-07-12|2024-08-12_2024-08-16|2024-10-11_2024-10-15|2025-01-14_2025-01-18
0.2,1,PPI m/m,Bad,2,1,1,50.0,50.0,1.0,2019-04-11_2019-04-15|2020-02-15_2020-02-19
0.2,1,PPI m/m,Good,1,1,0,100.0,0.0,inf,2024-06-13_2024-06-17
