آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,PPI m/m,Good,23,13,10,56.5,43.5,1.3,2018-05-10_2018-05-24|2018-09-13_2018-09-27|2019-01-16_2019-01-30|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2020-01-16_2020-01-30|2022-03-16_2022-03-30|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2024-06-14_2024-06-28|2024-08-14_2024-08-28|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.0,1,PPI m/m,Bad,24,11,13,45.8,54.2,0.85,2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-12-12_2018-12-26|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2023-02-17_2023-03-03|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-09-13_2024-09-27|2026-02-28_2026-03-14
0.0,1,PPI m/m,Neutral,9,2,7,22.2,77.8,0.29,2018-10-11_2018-10-25|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2023-12-14_2023-12-28|2025-11-26_2025-12-10
0.1,1,PPI m/m,Neutral,24,11,13,45.8,54.2,0.85,2018-05-10_2018-05-24|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2020-01-16_2020-01-30|2020-09-11_2020-09-25|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2023-05-12_2023-05-26|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-12-14_2023-12-28|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-11-26_2025-12-10
0.1,1,PPI m/m,Bad,16,7,9,43.8,56.2,0.78,2018-06-14_2018-06-28|2019-04-12_2019-04-26|2019-11-15_2019-11-29|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2020-10-15_2020-10-29|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-07-15_2022-07-29|2022-10-13_2022-10-27|2023-02-17_2023-03-03|2023-09-15_2023-09-29|2023-10-12_2023-10-26|2024-05-15_2024-05-29|2026-02-28_2026-03-14
0.1,1,PPI m/m,Good,16,8,8,50.0,50.0,1.0,2018-09-13_2018-09-27|2019-10-09_2019-10-23|2019-12-13_2019-12-27|2022-03-16_2022-03-30|2022-08-12_2022-08-26|2022-11-16_2022-11-30|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2023-06-15_2023-06-29|2024-06-14_2024-06-28|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,PPI m/m,Neutral,36,18,18,50.0,50.0,1.0,2018-05-10_2018-05-24|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2019-11-15_2019-11-29|2019-12-13_2019-12-27|2020-01-16_2020-01-30|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-11-16_2022-11-30|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-11-26_2025-12-10|2026-02-28_2026-03-14
0.2,1,PPI m/m,Good,11,5,6,45.5,54.5,0.83,2018-09-13_2018-09-27|2019-10-09_2019-10-23|2022-08-12_2022-08-26|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2024-06-14_2024-06-28|2025-03-14_2025-03-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
0.2,1,PPI m/m,Bad,9,3,6,33.3,66.7,0.5,2019-04-12_2019-04-26|2020-06-12_2020-06-26|2020-08-12_2020-08-26|2021-08-13_2021-08-27|2021-12-15_2021-12-29|2022-02-16_2022-03-02|2022-07-15_2022-07-29|2023-02-17_2023-03-03|2023-09-15_2023-09-29
0.3,1,PPI m/m,Neutral,41,19,22,46.3,53.7,0.86,2018-05-10_2018-05-24|2018-06-14_2018-06-28|2018-07-12_2018-07-26|2018-10-11_2018-10-25|2018-12-12_2018-12-26|2019-01-16_2019-01-30|2019-04-12_2019-04-26|2019-05-10_2019-05-24|2019-06-12_2019-06-26|2019-07-13_2019-07-27|2019-08-10_2019-08-24|2019-11-15_2019-11-29|2019-12-13_2019-12-27|2020-01-16_2020-01-30|2020-08-12_2020-08-26|2020-09-11_2020-09-25|2020-10-15_2020-10-29|2020-11-14_2020-11-28|2021-03-13_2021-03-27|2022-03-16_2022-03-30|2022-05-13_2022-05-27|2022-09-15_2022-09-29|2022-10-13_2022-10-27|2022-11-16_2022-11-30|2023-02-17_2023-03-03|2023-05-12_2023-05-26|2023-06-15_2023-06-29|2023-07-14_2023-07-28|2023-08-12_2023-08-26|2023-09-15_2023-09-29|2023-10-12_2023-10-26|2023-12-14_2023-12-28|2024-05-15_2024-05-29|2024-07-13_2024-07-27|2024-08-14_2024-08-28|2024-09-13_2024-09-27|2024-10-12_2024-10-26|2025-01-15_2025-01-29|2025-03-14_2025-03-28|2025-11-26_2025-12-10|2026-02-28_2026-03-14
0.3,1,PPI m/m,Good,10,5,5,50.0,50.0,1.0,2018-09-13_2018-09-27|2019-10-09_2019-10-23|2022-08-12_2022-08-26|2023-01-19_2023-02-02|2023-03-16_2023-03-30|2023-04-14_2023-04-28|2024-06-14_2024-06-28|2025-04-12_2025-04-26|2025-05-16_2025-05-30|2025-09-11_2025-09-25
