آستانه,تعداد_شاخص‌ها,لیست_شاخص‌ها,الگوی_وضعیت,تعداد_کل_وقوع,تعداد_ضررده,تعداد_سودده,درصد_ضررده,درصد_سودده,نسبت_شانس,دوره‌ها
0.0,1,CPI m/m,Good,7,3,4,42.9,57.1,0.75,2018-07-12_2018-07-16|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-10-09_2019-10-13|2022-12-10_2022-12-14|2018-05-10_2018-05-14|2018-10-11_2018-10-15
0.0,1,CPI m/m,Neutral,7,2,5,28.6,71.4,0.4,2018-08-10_2018-08-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.0,1,CPI m/m,Bad,7,5,2,71.4,28.6,2.5,2020-07-11_2020-07-15|2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14|2023-10-12_2023-10-16|2025-09-11_2025-09-15
0.1,1,CPI m/m,Neutral,14,6,8,42.9,57.1,0.75,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2021-04-10_2021-04-14|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.1,1,CPI m/m,Good,2,0,2,0.0,100.0,0.0,2019-05-10_2019-05-14|2022-12-10_2022-12-14
0.1,1,CPI m/m,Bad,5,4,1,80.0,20.0,4.0,2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-11-10_2021-11-14|2023-10-12_2023-10-16|2025-09-11_2025-09-15
0.2,1,CPI m/m,Neutral,19,8,11,42.1,57.9,0.73,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.2,1,CPI m/m,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-16|2021-11-10_2021-11-14
0.3,1,CPI m/m,Neutral,20,9,11,45.0,55.0,0.82,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.3,1,CPI m/m,Bad,1,1,0,100.0,0.0,inf,2021-11-10_2021-11-14
0.0,1,Core CPI m/m,Neutral,7,2,5,28.6,71.4,0.4,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-09-11_2025-09-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.0,1,Core CPI m/m,Good,8,3,5,37.5,62.5,0.6,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-10-09_2019-10-13|2022-12-10_2022-12-14|2025-01-15_2025-01-19|2018-05-10_2018-05-14|2018-10-11_2018-10-15
0.0,1,Core CPI m/m,Bad,6,5,1,83.3,16.7,5.0,2019-09-12_2019-09-16|2020-07-11_2020-07-15|2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14
0.1,1,Core CPI m/m,Neutral,18,7,11,38.9,61.1,0.64,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2021-04-10_2021-04-14|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.1,1,Core CPI m/m,Bad,3,3,0,100.0,0.0,inf,2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-11-10_2021-11-14
0.2,1,Core CPI m/m,Neutral,20,9,11,45.0,55.0,0.82,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.2,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-16
0.3,1,Core CPI m/m,Neutral,20,9,11,45.0,55.0,0.82,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14|2022-12-10_2022-12-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.3,1,Core CPI m/m,Bad,1,1,0,100.0,0.0,inf,2020-08-12_2020-08-16
0.0,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-12-14_2023-12-18
0.1,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-12-14_2023-12-18
0.2,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-12-14_2023-12-18
0.3,1,FOMC,Neutral,1,0,1,0.0,100.0,0.0,2023-12-14_2023-12-18
0.0,1,CPI y/y,Neutral,8,1,7,12.5,87.5,0.14,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2020-07-11_2020-07-15|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.0,1,CPI y/y,Good,8,5,3,62.5,37.5,1.67,2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2022-12-10_2022-12-14|2024-08-14_2024-08-18|2018-10-11_2018-10-15
0.0,1,CPI y/y,Bad,5,4,1,80.0,20.0,4.0,2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14|2023-10-12_2023-10-16
0.1,1,CPI y/y,Neutral,10,2,8,20.0,80.0,0.25,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-06-12_2019-06-16|2020-07-11_2020-07-15|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.1,1,CPI y/y,Good,6,4,2,66.7,33.3,2.0,2019-05-10_2019-05-14|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2022-12-10_2022-12-14|2024-08-14_2024-08-18|2018-10-11_2018-10-15
0.1,1,CPI y/y,Bad,5,4,1,80.0,20.0,4.0,2020-08-12_2020-08-16|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2021-11-10_2021-11-14|2023-10-12_2023-10-16
0.2,1,CPI y/y,Neutral,18,8,10,44.4,55.6,0.8,2018-07-12_2018-07-16|2018-08-10_2018-08-14|2018-09-13_2018-09-17|2019-05-10_2019-05-14|2019-06-12_2019-06-16|2019-09-12_2019-09-16|2019-10-09_2019-10-13|2020-07-11_2020-07-15|2020-09-11_2020-09-15|2021-04-10_2021-04-14|2023-10-12_2023-10-16|2024-08-14_2024-08-18|2025-01-15_2025-01-19|2025-09-11_2025-09-15|2018-05-10_2018-05-14|2018-10-11_2018-10-15|2018-11-10_2018-11-14|2018-12-12_2018-12-16
0.2,1,CPI y/y,Bad,2,2,0,100.0,0.0,inf,2020-08-12_2020-08-16|2021-11-10_2021-11-14
0.2,1,CPI y/y,Good,1,0,1,0.0,100.0,0.0,2022-12-10_2022-12-14
